date,open,high,low,close,volume
2016-01-05,118.2673,120.9693,117.1941,120.5765,2163572
2016-01-06,120.0015,120.289,114.9232,114.9616,2386461
2016-01-07,111.5121,114.7316,110.1228,110.1419,2489451
2016-01-08,110.6498,112.5278,108.7526,111.7421,2006267
2016-01-11,112.1158,112.4224,109.3179,110.1611,1408550
2016-01-12,110.6785,111.2055,109.7108,110.7169,1098024
2016-01-13,111.5888,112.1685,107.8807,108.1298,949576
2016-01-14,108.7622,110.2186,105.4469,109.5958,785469
2016-01-15,108.5897,110.0749,107.2387,107.8232,1093741
2016-01-19,108.9059,111.0235,105.2744,105.7631,1523527
2016-01-20,104.4983,106.9321,103.7893,104.7283,1654181
2016-01-21,105.1403,105.9547,103.7845,105.399,944335
2016-01-22,107.2004,108.2246,105.581,107.2674,745066
2016-01-25,106.6638,109.8353,105.399,105.514,703799
2016-01-26,105.8014,106.7404,102.8143,106.3572,563603
2016-01-27,106.1368,107.8615,104.46,106.0793,896948
2016-01-28,106.2613,108.2448,105.3032,107.8711,680420
2016-01-29,108.6089,109.797,106.9991,109.682,749928
2016-02-01,109.2317,110.0461,108.1777,109.7108,574170
2016-02-02,108.5131,109.0975,105.1595,105.9356,694826
2016-02-03,108.6376,109.8449,105.0541,109.2796,896326
2016-02-04,109.3083,111.4546,109.3083,110.8702,956336
2016-02-05,110.3048,111.6175,105.1211,109.2508,997061
2016-02-08,108.561,108.561,105.8398,106.5105,1200452
2016-02-09,106.5201,107.4188,105.0541,106.0218,1725244
2016-02-10,102.2658,107.4206,101.9112,103.0227,1945964
2016-02-11,101.2118,104.6852,99.7554,102.649,1319536
2016-02-12,104.0192,104.8504,102.5915,103.3293,922402
2016-02-16,104.5462,106.6446,102.5341,106.1368,1185091
2016-02-17,106.1943,107.4207,103.4538,106.5871,922004
2016-02-18,106.4721,107.507,104.3737,106.9321,441403
2016-02-19,106.7117,107.6938,102.7928,105.7152,1244745
2016-02-22,106.7021,108.4939,106.3667,108.3118,681534
2016-02-23,107.6699,108.0819,106.6925,107.2099,411236
2016-02-24,106.1368,107.7848,105.2265,106.8937,447282
2016-02-25,106.9321,108.2639,106.1176,108.1585,559882
2016-02-26,108.5993,109.4042,106.3667,108.034,460167
2016-02-29,108.3118,110.5348,106.98,108.5801,971565
2016-03-01,109.4904,110.736,107.9382,110.6785,694078
2016-03-02,110.5252,112.1924,110.3815,111.8954,1159689
2016-03-03,111.6175,112.7482,110.5923,112.1062,884727
2016-03-04,111.7325,112.5661,110.7361,112.2883,692422
2016-03-07,111.1959,112.5661,111.1384,112.0583,898185
2016-03-08,111.6271,112.4607,110.6211,111.8283,844475
2016-03-09,112.1541,112.4032,110.6689,111.6175,796520
2016-03-10,112.02,113.0644,109.3658,111.9337,416820
2016-03-11,112.9973,115.7089,111.7517,115.5748,590200
2016-03-14,115.3832,115.9772,113.6393,115.5844,495103
2016-03-15,114.8274,115.7089,113.1506,115.6514,515925
2016-03-16,115.3161,115.9772,114.0321,115.7664,562061
2016-03-17,115.9485,119.2063,114.4537,118.8422,809321
2016-03-18,119.053,119.35,115.067,116.1976,1607637
2016-03-21,115.8047,116.7438,114.1567,116.3701,1001334
2016-03-22,115.9676,117.769,115.6706,116.3892,711414
2016-03-23,116.3892,116.3892,114.1184,114.3867,444186
2016-03-24,113.9171,114.4441,112.7194,114.4154,534102
2016-03-28,114.5112,115.8239,113.0644,113.7543,798518
2016-03-29,113.5137,114.4181,112.5805,113.5041,591035
2016-03-30,113.9082,115.13,113.6388,114.2353,443154
2016-03-31,114.2738,114.8077,113.3887,114.1583,577994
2016-04-01,113.6003,115.7746,112.5853,115.3801,765063
2016-04-04,115.1204,115.7842,112.9257,113.1866,514255
2016-04-05,111.9841,112.0177,108.9536,109.7424,1149975
2016-04-06,109.7617,111.224,109.4153,111.0893,2036098
2016-04-07,110.387,110.8921,109.0401,109.2326,702236
2016-04-08,110.5217,110.6372,108.3186,109.1075,689087
2016-04-11,109.7809,111.5511,109.7809,110.2908,553784
2016-04-12,110.6275,111.5896,110.3966,111.3972,775919
2016-04-13,111.4164,113.533,110.7334,113.5137,621917
2016-04-14,113.6773,115.1396,112.7248,113.254,358129
2016-04-15,113.0423,114.293,111.532,113.9563,939335
2016-04-18,113.8312,116.6693,113.0519,116.6597,735929
2016-04-19,116.7463,117.7757,116.5731,117.0637,924704
2016-04-20,116.5057,117.8141,116.4288,117.6698,658832
2016-04-21,117.9585,119.4208,117.3043,118.3433,1055381
2016-04-22,118.7955,120.0077,117.9296,119.0937,695352
2016-04-25,118.5261,119.2909,117.5352,118.6223,459972
2016-04-26,119.2572,119.7383,118.4876,119.6805,532993
2016-04-27,119.8633,120.2482,118.4587,119.9595,462677
2016-04-28,118.8532,119.8922,118.0258,119.44,910737
2016-04-29,119.1033,120.4212,117.4197,120.1616,889670
2016-05-02,120.6811,121.9318,120.0654,121.1814,734675
2016-05-03,119.8345,121.6335,118.9638,121.4796,1304758
2016-05-04,120.633,121.9703,120.2289,121.7586,1598249
2016-05-05,121.8548,122.9419,121.4123,122.8169,1917463
2016-05-06,122.5283,122.5283,116.6404,116.9483,3221640
2016-05-09,117.641,118.9494,116.6019,118.757,919806
2016-05-10,119.1899,121.2102,118.1509,120.7484,1991598
2016-05-11,120.9312,121.1621,119.3631,119.4978,594848
2016-05-12,119.719,119.8441,117.3812,119.1899,475831
2016-05-13,119.2091,121.4796,118.0931,118.3048,715131
2016-05-16,118.4491,119.8826,118.2086,119.2091,528756
2016-05-17,118.7185,119.4593,116.5442,118.7281,580015
2016-05-18,118.5453,120.6378,117.8719,120.5175,629695
2016-05-19,119.796,120.71,118.0354,120.3732,598200
2016-05-20,120.4021,120.9986,119.1949,120.8062,816675
2016-05-23,120.7196,121.4411,120.027,121.1717,640794
2016-05-24,121.3449,122.2589,120.4213,121.8163,761077
2016-05-25,122.2589,123.2017,121.1621,121.6624,462218
2016-05-26,121.5662,122.1627,120.6619,121.8067,627532
2016-05-27,121.7105,123.1344,121.3353,123.0574,722484
2016-05-31,123.625,123.8078,122.3647,123.1632,1384223
2016-06-01,122.8265,123.2787,121.9414,123.2113,441536
2016-06-02,123.1344,123.9406,122.153,123.8655,423625
2016-06-03,122.9612,122.9997,121.2247,122.6437,496966
2016-06-06,122.8554,123.8655,119.9307,122.8361,537212
2016-06-07,123.1921,124.7795,122.8457,124.3466,429443
2016-06-08,124.0964,124.5005,123.1728,124.1349,719114
2016-06-09,123.8463,124.7506,123.2787,124.664,395206
2016-06-10,123.981,124.0483,121.5085,122.1915,548053
2016-06-13,122.2781,122.8073,120.556,120.71,263296
2016-06-14,119.9884,120.9312,119.238,120.2193,329276
2016-06-15,121.1717,121.1717,119.0071,119.4304,378694
2016-06-16,118.6608,120.1327,118.0931,120.1039,404785
2016-06-17,119.9403,120.9793,118.7473,120.5753,659349
2016-06-20,121.7105,123.3941,121.3064,121.4796,550338
2016-06-21,121.7394,122.5956,120.5945,122.4994,485595
2016-06-22,122.2685,123.0574,121.5373,121.6913,562040
2016-06-23,123.0863,123.0863,121.7971,122.8073,512314
2016-06-24,116.4095,116.6501,111.5319,112.5709,1637995
2016-06-27,110.3101,111.6762,108.7034,109.0979,886269
2016-06-28,109.9578,113.6485,109.7935,113.5808,795248
2016-06-29,114.3344,116.9141,114.0542,116.9044,1049703
2016-06-30,117.2522,120.2183,116.0059,120.1024,1162663
2016-07-01,120.2666,121.2617,118.5275,119.8028,858371
2016-07-05,116.1218,119.3584,116.1218,119.3005,761442
2016-07-06,119.1459,120.7593,118.5082,120.6434,750132
2016-07-07,120.0734,121.2328,119.7864,120.228,591112
2016-07-08,121.7738,121.7738,120.3825,120.827,692794
2016-07-11,120.8656,121.8414,119.8415,121.2714,482622
2016-07-12,121.6289,123.0105,121.1265,122.8945,843964
2016-07-13,123.2907,123.4163,121.8801,122.1409,629996
2016-07-14,123.3003,123.3583,121.7158,121.7738,567306
2016-07-15,122.1216,122.1216,119.8705,120.3729,512378
2016-07-18,120.6048,120.6048,119.4357,119.7835,462150
2016-07-19,119.0299,120.3149,118.7014,119.9671,706424
2016-07-20,120.2956,120.3536,117.571,119.8028,533893
2016-07-21,119.4937,120.2859,118.885,119.1555,374732
2016-07-22,119.0493,119.8608,118.4454,119.7449,373797
2016-07-25,119.3874,120.0347,118.9043,119.8028,366039
2016-07-26,120.083,120.9332,119.4067,119.571,314194
2016-07-27,119.6386,120.4019,118.9913,120.0637,400966
2016-07-28,119.8125,120.0927,119.2135,119.5517,275500
2016-07-29,119.2425,119.8512,118.6821,119.4357,426746
2016-08-01,119.6773,121.0878,119.4937,119.6483,574637
2016-08-02,119.4261,119.9574,118.8174,119.0009,793652
2016-08-03,119.3294,120.2666,119.228,119.6289,447023
2016-08-04,119.3777,121.7352,119.3777,119.8898,766711
2016-08-05,117.6097,118.914,114.2571,115.861,1865213
2016-08-08,115.5228,117.3102,114.0867,116.5083,930824
2016-08-09,116.2184,117.4648,114.8755,117.1266,502680
2016-08-10,117.5324,118.286,116.9353,117.6966,710483
2016-08-11,117.7353,118.8174,117.7256,118.5952,564002
2016-08-12,118.3633,118.6725,116.972,117.3585,342887
2016-08-15,117.8705,118.0928,117.2619,117.4165,478783
2016-08-16,117.2619,117.8512,116.4213,117.3681,501814
2016-08-17,117.7739,118.0831,117.3295,117.8029,410306
2016-08-18,117.6193,118.5758,117.344,118.4116,443849
2016-08-19,117.9672,118.885,116.3537,118.5662,1415285
2016-08-22,118.4019,119.9284,118.0396,118.7884,570729
2016-08-23,119.0686,119.8028,118.4502,118.943,391267
2016-08-24,118.9333,120.0492,117.8222,118.0734,425247
2016-08-25,117.687,118.6048,117.6725,118.0734,527013
2016-08-26,118.4309,120.2416,117.9768,118.827,514687
2016-08-29,118.9816,120.5371,118.7497,119.7256,456459
2016-08-30,119.9768,120.2666,117.7546,119.7449,414118
2016-08-31,119.7932,120.1603,117.9769,119.8125,464756
2016-09-01,119.8028,121.0009,119.4067,120.6241,526744
2016-09-02,121.2521,122.3245,120.6144,122.2472,487898
2016-09-06,122.5274,123.339,121.7931,123.339,752505
2016-09-07,123.339,124.6143,122.9525,124.1988,632503
2016-09-08,123.5322,123.938,121.1361,121.1748,728738
2016-09-09,120.1796,120.6096,117.9092,117.9092,641128
2016-09-12,117.5904,121.2134,117.3488,121.0105,655453
2016-09-13,119.8028,119.8512,118.7014,118.9237,488881
2016-09-14,118.7401,119.4067,117.4937,118.1604,746174
2016-09-15,118.0928,121.2521,117.0976,120.8849,716454
2016-09-16,120.0251,120.2763,118.5179,119.7545,1847159
2016-09-19,120.3825,120.769,119.9188,120.4598,310746
2016-09-20,121.6675,122.0975,121.1748,121.426,310987
2016-09-21,121.6096,124.1505,120.8753,124.0539,928305
2016-09-22,124.6336,125.3679,123.595,124.8075,716530
2016-09-23,124.3534,124.6046,123.7254,123.7544,797324
2016-09-26,123.4839,123.6964,122.9815,123.6675,411034
