date,open,high,low,close,volume
2015-01-02,50.9919,51.9603,50.7474,50.7963,1829006
2015-01-05,50.806,51.0115,50.1702,50.4441,1469774
2015-01-06,50.4637,50.9626,49.8083,49.8181,1988397
2015-01-07,50.2485,51.3832,49.8181,51.1093,959763
2015-01-08,51.3929,52.6352,51.3929,52.3711,1412406
2015-01-09,52.5765,52.6352,51.481,51.6081,796414
2015-01-12,51.7157,52.0777,51.0506,51.1191,713014
2015-01-13,51.5886,51.9994,50.6104,50.9626,765563
2015-01-14,50.4832,50.8256,49.8181,50.2191,807642
2015-01-15,50.1311,50.1409,49.417,49.4855,938787
2015-01-16,49.3486,49.8768,49.3486,49.6518,901694
2015-01-20,49.867,49.9159,48.7617,49.2018,1136967
2015-01-21,48.8791,49.2997,48.6639,49.0453,1072336
2015-01-22,48.9084,49.8279,48.6247,49.7692,1410497
2015-01-23,49.6616,50.1115,49.3877,49.779,1008077
2015-01-26,49.5931,49.8083,49.1432,49.642,615046
2015-01-27,49.1529,49.6127,48.8399,49.3877,483514
2015-01-28,49.4073,49.779,48.8986,48.8986,612962
2015-01-29,49.0258,49.6909,48.566,49.6225,816971
2015-01-30,49.0258,49.3975,48.7421,48.9329,1366328
2015-02-02,49.104,49.6322,48.3411,49.3975,817509
2015-02-03,49.4855,49.9648,49.2508,49.5931,756275
2015-02-04,49.466,50.0235,49.2801,49.5638,627134
2015-02-05,49.779,50.2191,49.6322,49.6812,879800
2015-02-06,49.6127,49.906,49.241,49.4268,528764
2015-02-09,49.104,49.3092,48.7323,48.9182,627399
2015-02-10,49.0845,49.9355,48.8986,49.8866,1910979
2015-02-11,49.9844,50.4539,49.7301,50.4343,1372236
2015-02-12,50.6495,51.3049,50.2778,51.2756,812496
2015-02-13,51.481,51.8136,51.1288,51.5886,969150
2015-02-17,51.4516,51.8429,50.943,51.5005,1465564
2015-02-18,50.8647,52.5472,50.4441,52.3907,2208979
2015-02-19,51.8429,52.0777,51.256,51.4223,1137023
2015-02-20,51.2462,51.5984,51.0212,51.3832,1328473
2015-02-23,51.4223,51.5592,50.7865,50.8647,1192353
2015-02-24,50.9919,51.4957,50.6691,51.4223,1115927
2015-02-25,51.5299,52.1559,51.2267,52.0679,795625
2015-02-26,51.9505,52.6743,51.9505,52.4689,1052663
2015-02-27,52.2733,52.5472,51.8331,51.8527,862085
2015-03-02,51.8233,52.4063,51.8233,52.2537,1206246
2015-03-03,52.0092,52.1559,51.4516,51.9212,836872
2015-03-04,51.5494,51.8527,50.9528,51.1582,1089868
2015-03-05,51.2267,51.6375,51.2267,51.4908,757705
2015-03-06,51.2756,51.4516,50.1702,50.4686,890426
2015-03-09,50.6495,50.7963,50.3952,50.7278,766804
2015-03-10,50.1213,50.3561,49.7496,50.0235,1117577
2015-03-11,49.8768,50.3267,49.8572,49.9746,990910
2015-03-12,50.2876,50.7278,50.0235,50.18,897810
2015-03-13,50.1898,50.2729,48.928,49.4366,1032218
2015-03-16,49.8279,49.9453,49.6127,49.8279,1423339
2015-03-17,49.4953,50.1311,49.2703,50.0137,1170416
2015-03-18,49.9942,51.1875,49.6557,50.9381,1126639
2015-03-19,50.9136,51.0799,50.5517,50.806,694700
2015-03-20,51.0408,51.2267,50.2778,50.6691,1391419
2015-03-23,50.6104,51.0897,50.4343,50.7865,854292
2015-03-24,50.6887,51.0506,50.4735,50.6495,500876
2015-03-25,50.6226,50.9752,49.5402,49.6528,631881
2015-03-26,49.4178,49.7606,49.1729,49.4863,556244
2015-03-27,49.4276,49.8047,49.261,49.7508,414523
2015-03-30,49.9565,50.2504,49.839,50.2308,566352
2015-03-31,50.0349,50.3581,49.8292,49.8488,702109
2015-04-01,49.7704,49.7704,48.8839,49.2316,883774
2015-04-02,49.1337,49.6822,48.9476,49.2023,457602
2015-04-06,48.9378,49.7312,48.7909,49.7214,894745
2015-04-07,49.7802,50.2308,49.5843,49.5941,482897
2015-04-08,49.6626,50.7401,49.5549,49.7214,541098
2015-04-09,49.7508,50.3287,49.6626,50.3189,549889
2015-04-10,50.3091,50.7303,50.2014,50.6422,563420
2015-04-13,50.554,50.7499,50.221,50.2895,623883
2015-04-14,50.2112,50.4561,49.8488,50.2308,619255
2015-04-15,50.4757,50.505,49.9761,50.0202,413412
2015-04-16,49.9271,49.9565,49.6528,49.839,459714
2015-04-17,49.4569,49.5255,49.0063,49.3296,555121
2015-04-20,49.692,50.6716,49.692,50.5148,611862
2015-04-21,50.701,51.1222,50.4144,50.7989,893365
2015-04-22,50.8381,51.5238,50.6324,51.2593,956908
2015-04-23,51.1613,51.4552,50.6618,51.0536,574306
2015-04-24,51.1907,51.5238,50.6912,51.3475,487395
2015-04-27,51.3866,51.6315,49.8977,50.0545,779544
2015-04-28,50.1034,50.4855,49.4471,50.4267,422270
2015-04-29,50.0153,50.4365,49.8096,49.9467,467457
2015-04-30,49.9173,50.2014,49.3884,49.9565,943427
