date,open,high,low,close,volume
2015-01-02,32.472,32.7995,31.9573,32.1679,978006
2015-01-05,31.9105,32.0977,31.2087,31.466,1758215
2015-01-06,31.5128,31.5596,30.6004,31.0449,1792572
2015-01-07,31.1853,31.583,30.9513,31.4426,1209102
2015-01-08,31.6298,32.3316,31.6298,32.3082,1557496
2015-01-09,32.3316,32.3784,31.6064,32.1211,2021114
2015-01-12,32.1679,32.1679,31.5362,31.7936,1083491
2015-01-13,31.9807,32.6826,31.5362,31.9573,1568502
2015-01-14,31.5362,32.1445,31.3724,32.0977,1899434
2015-01-15,32.1211,32.3082,31.3023,31.3257,1498034
2015-01-16,31.2087,31.8403,30.9046,31.817,1454148
2015-01-20,31.8871,32.0041,31.2321,31.583,1276248
2015-01-21,31.4192,31.7936,31.197,31.7702,1228508
2015-01-22,31.9339,32.7527,31.7468,32.6826,1276012
2015-01-23,32.7527,33.1037,32.2381,32.2848,1328752
2015-01-26,32.3082,32.472,31.7936,32.1445,1256728
2015-01-27,31.5362,32.0509,31.3724,31.7468,1703385
2015-01-28,32.0509,32.0743,30.9513,30.9747,1939893
2015-01-29,30.9747,31.8871,30.7408,31.7234,2609980
2015-01-30,30.9981,31.6064,30.2729,30.811,4618629
2015-02-02,30.811,31.3958,30.4133,31.3023,2235467
2015-02-03,31.6532,31.9339,31.1619,31.4192,2752474
2015-02-04,31.2321,31.6532,31.1853,31.3724,2369020
2015-02-05,31.466,31.6064,31.2555,31.4894,1625055
2015-02-06,31.583,31.6649,31.3023,31.4192,1688828
2015-02-09,31.3023,31.583,31.2321,31.349,1467395
2015-02-10,31.5128,31.5947,30.9981,31.5596,1988257
2015-02-11,31.6298,31.7702,31.3257,31.5128,1320739
2015-02-12,31.6064,31.8871,31.5128,31.7468,1577134
2015-02-13,31.7702,32.3082,31.7702,32.2147,1735765
2015-02-17,32.1445,32.1679,31.7936,32.0275,1413975
2015-02-18,32.0275,32.4977,31.817,32.355,1105622
2015-02-19,32.3082,32.589,32.1211,32.1679,1213129
2015-02-20,32.1445,32.7995,31.969,32.7527,1491926
2015-02-23,32.6592,32.7761,32.2147,32.5656,1175829
2015-02-24,32.472,32.7527,32.2615,32.706,1328590
2015-02-25,32.5188,32.5422,31.817,32.0509,1863487
2015-02-26,32.0509,32.1211,31.1151,31.2555,2869956
2015-02-27,31.1151,31.9573,30.7642,31.9339,2960308
2015-03-02,31.9339,32.0977,31.5362,31.7702,1950794
2015-03-03,31.4192,31.8871,31.3257,31.4192,1403912
2015-03-04,31.4192,31.4192,30.9747,31.2789,1473008
2015-03-05,31.2789,31.6532,30.9279,31.6298,2167837
2015-03-06,31.4894,31.4894,30.6004,30.7408,2018498
2015-03-09,30.7408,31.1385,30.577,31.0215,1734633
2015-03-10,30.8812,30.9279,29.805,29.8284,2762296
