date,open,high,low,close,volume
2015-01-02,36.4737,36.6541,35.6188,36.1697,606118
2015-01-05,35.4668,35.5428,33.8759,33.9186,1369903
2015-01-06,33.9091,34.1181,33.3487,33.7191,1336249
2015-01-07,34.0706,34.1941,33.4817,33.9851,1039030
2015-01-08,34.2036,34.2795,33.8901,34.2415,821836
2015-01-09,34.27,34.2985,33.5482,33.5957,756976
2015-01-12,33.5672,33.6147,32.6553,32.8643,1437830
2015-01-13,32.9783,33.4152,32.4369,32.9403,1140300
2015-01-14,32.3324,32.9213,32.2279,32.7313,640698
2015-01-15,32.8928,33.1492,32.4843,32.5033,974811
2015-01-16,32.3324,32.7598,32.2754,32.7408,905386
2015-01-20,32.8643,32.9783,32.3324,32.6743,971225
2015-01-21,32.5318,33.3772,32.5318,33.3392,918983
2015-01-22,33.5482,33.7571,33.2062,33.5577,874419
2015-01-23,33.4342,33.7381,33.4057,33.4057,597385
2015-01-26,33.3582,33.4817,33.0827,33.4247,691225
2015-01-27,32.8643,33.1587,32.6933,32.9973,661443
2015-01-28,33.1492,33.4836,32.4559,32.5413,802183
2015-01-29,32.4749,32.6445,31.8575,32.4464,1959481
2015-01-30,32.2184,32.6743,32.2089,32.3894,1633567
2015-02-02,32.5318,33.0637,32.1139,32.9973,1554421
2015-02-03,33.2727,33.7001,33.1112,33.6147,1196879
2015-02-04,33.4152,33.5957,32.9688,33.1397,1372185
2015-02-05,33.1302,33.6147,32.6838,33.1112,2360494
2015-02-06,33.1207,33.6242,33.0068,33.4247,1986336
2015-02-09,33.3392,33.8806,33.1967,33.3487,1828676
2015-02-10,33.4627,33.6621,33.2537,33.6147,1244568
2015-02-11,33.5007,33.6147,33.2632,33.4817,729530
2015-02-12,33.6147,33.8806,33.3962,33.8236,849858
2015-02-13,33.9484,34.4299,33.7481,34.387,1057669
2015-02-17,34.3203,34.3584,33.8816,34.2154,836046
2015-02-18,34.2154,34.4252,34.0342,34.1677,622652
2015-02-19,34.0342,34.3012,33.9007,34.0056,963707
2015-02-20,33.9484,34.4919,33.729,34.3584,770639
2015-02-23,34.3012,34.4442,33.9197,34.1486,934685
2015-02-24,34.0819,34.3584,34.0437,34.2916,730776
2015-02-25,34.2344,34.592,34.2344,34.3679,788470
2015-02-26,34.387,34.387,33.9865,34.1105,906690
2015-02-27,34.0532,34.2821,33.9302,34.0437,663238
2015-03-02,34.0056,34.5682,33.8911,34.4919,823350
2015-03-03,34.3584,34.6922,34.2726,34.4252,816748
2015-03-04,34.2344,34.2344,33.8721,34.0342,968641
2015-03-05,34.0342,34.2344,33.7958,33.9293,871779
2015-03-06,33.6718,33.9293,33.4286,33.5383,1722125
2015-03-09,33.5955,33.8244,33.4906,33.6146,849580
2015-03-10,33.195,33.2808,32.9757,33.0901,1161861
2015-03-11,33.1092,33.1092,32.6038,32.9757,959631
2015-03-12,33.0615,33.6289,33.0138,33.5383,814991
2015-03-13,33.5288,33.5574,32.8088,33.0043,1423794
2015-03-16,33.1664,33.4143,32.9852,33.4048,766876
2015-03-17,33.3285,33.3285,32.9089,33.0615,683563
2015-03-18,32.9566,34.3298,32.7659,34.2058,1209297
2015-03-19,34.0819,34.1009,33.7107,33.8911,883500
2015-03-20,34.1772,34.3679,34.1105,34.3203,1423994
2015-03-23,33.6337,33.9484,33.4715,33.4715,1405989
2015-03-24,33.4334,33.6241,33.2713,33.4429,964692
2015-03-25,33.586,33.586,33.1283,33.1283,773146
2015-03-26,32.9375,33.1855,32.8612,33.0615,676196
2015-03-27,33.0043,33.4525,32.9375,33.3476,1077340
2015-03-30,33.4048,33.7672,33.4048,33.71,696521
2015-03-31,33.6146,33.6146,33.1187,33.3953,790369
2015-04-01,33.8339,33.9722,33.3285,33.7672,1057705
2015-04-02,33.7862,34.3393,33.6718,34.1295,873644
2015-04-06,33.8339,34.6159,33.8339,34.3965,779881
2015-04-07,34.3489,34.5301,34.2154,34.3965,916704
2015-04-08,34.2916,34.4442,33.3857,33.6146,1642108
2015-04-09,33.5097,33.5955,33.1855,33.338,1404317
2015-04-10,33.4811,33.6718,33.3571,33.5669,1463697
2015-04-13,33.462,33.7767,33.4525,33.5288,663477
2015-04-14,33.4429,33.7195,33.3953,33.5669,780700
2015-04-15,33.6813,34.0628,33.6289,33.8435,1276298
2015-04-16,33.7576,34.3584,33.6146,34.1677,913958
2015-04-17,33.8625,33.8625,33.338,33.5097,1145252
2015-04-20,33.7195,33.9197,33.6241,33.8148,661123
2015-04-21,33.8721,34.0246,33.462,33.7195,521311
2015-04-22,33.7576,33.8244,33.462,33.8148,513155
2015-04-23,33.8435,34.511,33.729,34.2344,816872
2015-04-24,34.2154,34.3034,33.7576,33.977,673908
2015-04-27,34.0723,34.6254,34.0437,34.6159,798387
2015-04-28,34.4538,34.6922,34.2535,34.6826,913078
2015-04-29,34.4824,35.0593,34.4728,34.9306,1707110
2015-04-30,34.9496,35.7411,34.449,35.3025,1920759
2015-05-01,35.5599,35.5924,34.5491,35.4169,1650275
2015-05-04,35.436,35.5218,35.0259,35.188,920180
2015-05-05,35.2739,35.7411,34.8733,34.9401,946925
2015-05-06,35.0641,35.1861,34.5873,34.8352,775071
2015-05-07,34.8257,35.0021,34.5586,34.9878,636432
2015-05-08,35.3883,35.436,35.1404,35.188,1238605
2015-05-11,35.1404,35.3978,35.0355,35.1022,976064
2015-05-12,34.8543,35.0259,34.5777,34.7971,821724
2015-05-13,34.9592,35.2548,34.9496,35.0831,942223
2015-05-14,35.2453,35.3788,35.0736,35.3692,834898
2015-05-15,35.3597,35.4264,34.9782,35.1213,918050
2015-05-18,35.1213,35.3311,35.0426,35.2929,618923
2015-05-19,35.3311,35.4169,34.9687,35.0736,630739
2015-05-20,35.0736,35.2357,34.9401,35.1022,533127
