date,open,high,low,close,volume
2015-01-02,110.7165,111.1042,108.3608,109.146,909491
2015-01-05,110.5226,113.6053,110.5226,113.2175,2163761
2015-01-06,113.5762,113.6441,111.6083,112.2578,1782098
2015-01-07,112.6456,115.9222,112.4614,115.0497,1462026
2015-01-08,115.3987,116.9091,115.1331,116.2712,1408433
2015-01-09,114.4487,115.8446,113.9058,114.5941,2124069
2015-01-12,114.5941,115.137,114.0803,114.8655,1001933
2015-01-13,115.3599,117.0079,114.1191,115.1176,1613850
2015-01-14,113.3726,114.09,112.2287,113.5956,1042773
2015-01-15,113.615,114.0125,111.4435,111.4629,1532132
2015-01-16,111.3369,113.5277,111.3369,113.4211,1232873
2015-01-20,114.1288,114.7686,111.3078,112.3451,928995
2015-01-21,112.1609,112.9946,111.4047,112.3354,642753
2015-01-22,112.7134,114.7977,112.2384,114.7298,711260
2015-01-23,114.7298,114.9237,113.3726,113.4017,583174
2015-01-26,113.3145,113.5084,112.4808,113.489,1190326
2015-01-27,112.6068,113.7604,111.7634,112.6747,797176
2015-01-28,112.8104,113.9446,110.8522,110.9976,1590066
2015-01-29,109.2042,110.891,107.7985,109.0782,3235027
2015-01-30,108.5644,111.1333,108.5353,108.671,1939721
2015-02-02,109.0394,110.6292,107.6628,110.4935,1099356
2015-02-03,111.8991,113.2951,110.9879,113.0915,1693635
2015-02-04,111.8216,112.7134,111.6277,111.9864,1110282
2015-02-05,112.8201,113.7798,112.4614,113.5181,944817
2015-02-06,113.3242,113.8574,112.2384,112.5971,1062898
2015-02-09,111.6374,112.4129,110.9055,111.2593,1324569
2015-02-10,112.6359,113.8137,111.5986,113.489,1011114
2015-02-11,113.489,114.2742,113.0334,113.3242,1161511
2015-02-12,114.7007,114.7395,113.1303,114.5359,978110
2015-02-13,114.2936,115.7089,114.2112,115.6798,1085816
2015-02-17,115.6798,116.9692,115.1564,116.7074,1228977
2015-02-18,116.8625,116.9304,116.0676,116.6202,1109641
2015-02-19,116.4457,116.9692,116.1742,116.5232,720813
2015-02-20,116.2033,117.9677,115.961,117.8707,1058168
2015-02-23,117.8707,117.8707,117.037,117.5993,770060
2015-02-24,117.3666,118.1131,117.0079,118.0355,819470
2015-02-25,117.735,118.0258,116.7559,116.8334,986266
2015-02-26,116.8334,117.6768,116.1975,117.6187,579436
2015-02-27,117.2794,117.6526,116.6202,116.7074,698062
2015-03-02,116.9982,117.8222,116.5232,117.6768,1266796
2015-03-03,117.483,117.5721,115.0788,115.6217,873282
2015-03-04,115.7189,116.2142,114.5728,115.3401,1028427
2015-03-05,115.7091,116.2919,115.2138,115.748,1145385
2015-03-06,115.6994,115.7091,112.8927,112.9995,1243225
2015-03-09,113.5822,113.854,112.8441,113.5822,1204222
2015-03-10,112.2128,113.3491,111.9117,112.1837,1171170
2015-03-11,112.8052,113.5919,112.5139,112.8829,1021143
2015-03-12,113.2714,114.2718,113.0869,113.825,1260758
2015-03-13,114.1746,114.7962,112.0574,112.9024,1323105
2015-03-16,113.2908,114.8253,113.2908,114.6214,761006
2015-03-17,113.9221,113.9221,111.2125,111.9603,2853966
2015-03-18,111.8729,116.4667,111.397,115.7771,2317421
2015-03-19,115.1847,115.3498,114.6505,115.1458,1249233
2015-03-20,115.8742,116.2821,114.9225,115.3401,1390213
2015-03-23,115.3401,115.884,114.6797,115.0584,848097
2015-03-24,114.6117,115.2624,113.9318,113.9318,1142325
2015-03-25,113.9513,114.7962,111.8826,111.9894,1009896
2015-03-26,112.0186,113.2617,111.3581,112.3196,793707
2015-03-27,112.3682,114.534,112.1992,114.1164,1289610
2015-03-30,114.6602,115.5635,114.3786,115.1556,723078
2015-03-31,114.466,114.8059,113.7473,114.1358,961486
2015-04-01,114.8156,115.0584,112.3779,112.8441,1049487
2015-04-02,112.9898,114.2718,112.4459,113.5531,632772
2015-04-06,112.7955,114.2426,112.4847,113.9804,623069
2015-04-07,113.8153,114.5923,112.6304,112.6693,634777
2015-04-08,112.747,113.5239,111.9118,112.7761,672023
2015-04-09,112.9509,113.9416,112.2614,113.825,840916
2015-04-10,114.1455,114.466,113.6987,114.0678,958606
2015-04-13,114.3495,114.9322,112.6304,112.8635,1176729
2015-04-14,113.048,113.7376,111.9117,112.6207,1241602
2015-04-15,112.8344,113.2617,112.2225,112.2905,986782
2015-04-16,112.106,112.5042,111.6689,112.038,1002602
2015-04-17,111.6786,111.7855,110.4355,111.3096,1093115
2015-04-20,111.7661,113.0966,111.5718,112.5819,583418
2015-04-21,113.0383,114.398,112.9898,113.9901,824377
2015-04-22,113.7473,114.8642,113.2131,114.1067,731597
2015-04-23,113.9804,115.6703,113.3491,115.1556,740564
2015-04-24,114.6894,115.4955,114.3397,115.3401,737630
2015-04-27,115.5732,115.5732,112.9995,113.252,820785
2015-04-28,112.6984,113.7862,111.2222,113.3685,1131253
2015-04-29,113.0772,113.4268,111.5233,112.0186,1305903
2015-04-30,108.3766,108.7845,105.4144,106.677,3317563
2015-05-01,106.9974,107.9298,106.3273,107.25,1413493
2015-05-04,107.5316,108.43,107.2305,107.4928,1297810
2015-05-05,107.5025,107.6773,106.3953,107.3277,2116152
2015-05-06,107.6676,108.124,106.0845,106.9295,1919381
2015-05-07,107.2014,108.124,106.9003,107.8424,1668309
2015-05-08,108.969,109.8431,108.4931,109.6974,1244732
2015-05-11,109.3283,110.4744,109.1414,109.9208,1409595
2015-05-12,109.2701,109.6877,108.4154,109.0078,2028782
2015-05-13,109.6112,109.6793,108.7256,108.8327,953090
2015-05-14,109.7085,110.594,109.1246,110.5161,1270531
2015-05-15,110.4772,110.701,109.7766,110.1366,783334
2015-05-18,110.3118,111.4795,110.0783,111.2071,598005
2015-05-19,111.1389,111.6742,110.6718,111.2654,706854
2015-05-20,111.3044,111.8162,110.8567,111.2654,441289
2015-05-21,110.954,111.4503,110.8373,111.3822,584018
2015-05-22,111.0124,111.3919,110.1853,110.7108,1013332
2015-05-26,110.7302,110.7302,109.6793,110.0491,1136566
2015-05-27,110.6329,111.353,109.6793,111.1973,869336
2015-05-28,110.8859,111.2752,109.7182,110.341,1830923
2015-05-29,109.9517,111.7812,109.5333,111.0222,1796724
2015-06-01,111.499,112.1218,110.8762,111.6839,887276
2015-06-02,111.0708,111.7423,110.9249,111.0903,684381
2015-06-03,111.1973,111.5963,110.6037,110.8373,720011
2015-06-04,109.8934,111.1195,109.7863,110.0296,895727
2015-06-05,109.9615,110.3507,109.3192,110.2048,952216
2015-06-08,110.487,111.3919,110.0491,110.0977,876066
2015-06-09,110.0296,110.8275,109.543,109.6112,855432
2015-06-10,110.2145,110.9443,109.5625,110.6037,1300482
2015-06-11,110.8275,111.2849,110.5551,111.0416,1405687
2015-06-12,110.2826,110.6524,109.037,109.183,1243008
2015-06-15,108.5213,109.0078,107.9666,108.6672,1100065
2015-06-16,108.638,109.8058,108.2877,109.5236,755601
2015-06-17,109.9809,110.2339,108.7354,109.4749,656388
2015-06-18,110.0004,110.7107,109.9226,110.2534,1013330
2015-06-19,110.3507,110.7108,109.543,109.6306,1616619
2015-06-22,110.2339,110.8519,109.942,110.3507,825030
2015-06-23,110.6427,110.7108,109.183,109.6501,825724
2015-06-24,109.4749,112.3943,109.1442,110.4675,3486819
2015-06-25,110.4772,111.1389,109.8836,110.2242,1581017
2015-06-26,110.6427,111.0222,110.0685,110.5064,1802629
2015-06-29,104.1228,111.3336,94.8588,106.3512,1562088
2015-06-30,107.5287,107.9179,105.8258,106.2929,2225280
2015-07-01,107.0421,108.3558,106.0788,106.2734,1240381
2015-07-02,107.0421,107.9958,104.1228,105.2808,1402447
2015-07-06,105.2808,106.5945,104.7164,105.8647,1524480
2015-07-07,105.9717,106.867,105.0862,106.8183,795821
2015-07-08,105.6603,106.3512,104.8137,105.0375,1127310
2015-07-09,106.069,106.5459,103.899,103.9671,1244368
2015-07-10,104.95,106.0009,103.8017,103.9379,1893155
2015-07-13,104.3856,105.5338,104.2299,104.7359,959630
2015-07-14,105.2127,105.3295,104.2493,104.5121,798504
2015-07-15,104.9597,105.0959,104.1423,104.2493,950843
2015-07-16,104.9597,105.2905,104.4926,104.8721,1038402
2015-07-17,104.2007,105.1446,104.0255,104.6094,890004
2015-07-20,104.7456,105.4171,104.5704,105.1251,1042484
2015-07-21,105.1543,105.7576,104.3369,105.3489,1006509
2015-07-22,105.2808,106.108,104.9208,105.6214,1453928
2015-07-23,105.2224,105.9717,104.6969,104.95,916586
2015-07-24,104.6386,105.1057,103.7336,103.792,693866
2015-07-27,103.5389,103.6363,102.7215,102.9356,739382
2015-07-28,102.4977,103.792,102.3323,103.6363,975576
2015-07-29,103.9477,104.5802,103.3638,104.1228,1188175
2015-07-30,104.1228,104.6678,101.622,102.0306,2252409
2015-07-31,102.0306,102.6145,100.9018,101.2716,1546776
2015-08-03,101.6608,102.2642,100.9602,101.5246,1520041
2015-08-04,101.6511,102.4879,100.1331,100.3569,1044892
2015-08-05,101.2132,101.6414,100.6585,101.0867,1058918
2015-08-06,100.8726,100.9699,98.5664,98.9556,1458445
2015-08-07,99.0529,99.16,97.6614,98.9945,1423283
2015-08-10,99.9676,100.8142,99.2183,100.6488,1207557
2015-08-11,100.2985,101.5343,99.9384,101.3689,1689406
2015-08-12,100.4055,100.8921,98.9653,100.8921,1568639
2015-08-13,102.8578,107.8304,100.6196,101.5538,1279291
2015-08-14,101.5927,102.8091,100.1136,102.6923,1478568
2015-08-17,101.8847,103.5779,101.437,103.5292,1058499
2015-08-18,103.1205,103.5195,102.6534,103.1205,910857
2015-08-19,102.488,104.0255,101.69,103.2859,1252512
2015-08-20,102.0598,102.8188,101.7776,102.0598,1457794
2015-08-21,101.7484,102.8675,101.1938,101.5538,2229339
2015-08-24,98.3912,99.2573,92.1827,96.8926,2782148
2015-08-25,101.6219,101.7192,95.394,95.394,1495636
2015-08-26,96.5034,98.4399,95.394,98.3036,1301292
2015-08-27,98.2452,100.6683,98.2063,100.6293,1474715
2015-08-28,100.2304,101.6706,98.9361,101.5635,1494087
2015-08-31,100.8142,102.0696,100.6683,100.7753,1627314
2015-09-01,99.9871,99.9871,97.3986,97.9436,1598755
2015-09-02,98.216,98.9264,97.6224,98.8972,1293842
2015-09-03,99.0529,100.7461,98.3912,99.3448,1280377
2015-09-04,97.856,98.6637,97.35,97.7587,1669526
2015-09-08,99.2378,99.9774,98.6442,99.9287,1233300
2015-09-09,100.571,101.2035,98.1771,98.508,1501084
2015-09-10,96.2309,98.2744,95.7541,97.4084,1615695
2015-09-11,97.7392,97.8171,96.9996,97.5057,1343736
2015-09-14,96.8148,97.6419,95.939,96.3769,1473341
2015-09-15,97.3597,100.1817,96.445,97.2818,1016142
2015-09-16,97.5251,98.3036,96.3574,98.0311,1146379
2015-09-17,98.5955,99.4519,97.6711,98.1771,780764
2015-09-18,97.2916,97.3792,96.2893,96.5326,1621964
2015-09-21,96.6493,97.9144,95.4427,95.5497,1711887
2015-09-22,95.141,95.2675,94.2457,94.9561,2274481
2015-09-23,94.7518,97.1359,94.382,94.7323,862940
2015-09-24,93.9149,94.9658,92.6304,93.0488,1327797
2015-09-25,93.5062,94.3333,91.0929,91.9005,1577495
2015-09-28,91.6763,91.7445,88.6818,90.1351,2274983
2015-09-29,89.9596,91.9201,89.8425,91.4812,2290210
2015-09-30,92.2225,92.5736,90.8374,91.6177,1954062
2015-10-01,91.5104,91.8031,89.7352,91.647,1557331
2015-10-02,86.5848,92.9345,86.5848,92.9247,1314236
2015-10-05,93.4905,93.9391,92.5541,93.1491,1312697
2015-10-06,93.0906,93.7343,90.8472,91.6763,2332476
2015-10-07,92.281,92.715,91.7835,92.5541,598052
2015-10-08,92.32,93.1979,91.3446,93.0906,952115
2015-10-09,93.2271,94.2805,92.9638,94.0757,968051
2015-10-12,93.8709,94.4463,93.1393,94.1342,979863
2015-10-13,93.51,94.3488,93.2076,93.7246,1387688
2015-10-14,93.9391,93.9782,92.7394,92.8467,866403
2015-10-15,92.8467,95.6753,92.6614,95.5095,1543249
2015-10-16,95.6168,96.4264,95.4022,96.1142,1448336
2015-10-19,95.7241,96.8263,95.3242,95.7729,1019640
2015-10-20,95.4802,95.6266,94.5439,95.3047,723482
2015-10-21,95.4412,95.9874,94.3488,94.5146,1211336
2015-10-22,94.5146,95.2266,91.8908,92.0664,1928579
2015-10-23,92.5248,94.144,91.608,92.2322,1963642
2015-10-26,91.9201,92.4566,91.3836,92.3395,939953
2015-10-27,91.8713,93.1491,91.6177,92.8467,1121728
2015-10-28,92.876,96.0655,91.764,95.4607,1698478
2015-10-29,99.6549,102.9712,99.5866,102.2884,2597357
2015-10-30,102.1714,103.2443,100.9717,101.9958,1896819
2015-11-02,102.2006,104.4733,102.0251,104.3172,1429134
2015-11-03,104.1416,104.366,103.1175,103.7808,1103757
2015-11-04,104.8927,105.3706,104.366,105.1365,1134103
2015-11-05,104.7561,105.4974,104.0929,105.1951,1060362
2015-11-06,104.7074,105.4389,103.693,104.6391,1410335
2015-11-09,104.522,104.7659,103.8783,104.288,736819
2015-11-10,104.5708,105.0878,104.127,104.6196,598593
2015-11-11,104.6879,105.078,103.81,104.0051,465883
2015-11-12,99.7622,103.0297,99.7622,102.0738,1375610
2015-11-13,101.9958,102.6298,101.4106,101.7227,738233
2015-11-16,102.0543,103.0102,101.2155,102.9907,777823
2015-11-17,102.6201,103.5467,102.0738,102.1714,698726
2015-11-18,102.1714,103.2443,101.5471,102.386,1236557
2015-11-19,102.4152,102.4152,99.967,101.5081,1051699
2015-11-20,101.947,106.307,100.7278,101.1862,1643326
2015-11-23,101.196,101.4106,99.7329,100.3181,1001812
2015-11-24,99.5866,99.8694,98.621,99.411,1275598
2015-11-25,99.6646,99.7037,98.5332,98.7965,979233
2015-11-27,99.0306,99.3623,98.0455,98.5137,891006
2015-11-30,98.621,99.4403,98.4162,98.5234,1553894
2015-12-01,99.4988,100.4547,99.294,100.1913,1668993
2015-12-02,100.1913,100.7083,99.7085,99.7427,1582551
2015-12-03,99.8207,100.1913,96.6507,96.9141,1903812
2015-12-04,97.1969,98.699,96.9141,98.0748,1100056
2015-12-07,97.9675,98.5039,97.1384,97.9382,989634
2015-12-08,97.3432,97.9831,96.641,97.3237,1245877
2015-12-09,96.8946,99.1184,96.3776,97.5383,1832945
2015-12-10,98.1528,98.1528,96.8555,97.509,1151488
2015-12-11,96.3191,97.3725,96.0947,96.5239,936770
2015-12-14,96.5922,97.2554,95.6656,97.0409,1094122
2015-12-15,97.7334,98.7575,97.0116,98.5722,1394785
2015-12-16,98.7283,99.7524,97.6358,99.4208,1031001
2015-12-17,99.4208,99.8305,98.0943,98.2308,1344774
2015-12-18,97.7334,97.7724,96.4459,96.5239,1190518
2015-12-21,96.9141,98.1772,96.4751,97.7626,1164139
2015-12-22,98.2698,99.4891,97.509,99.2257,737376
2015-12-23,99.7232,100.4937,99.2257,100.2401,627464
2015-12-24,99.8987,100.9717,99.8987,100.3767,233450
2015-12-28,99.7914,100.1913,99.3818,99.7329,337201
2015-12-29,98.5013,100.8375,98.5013,100.4563,377310
2015-12-30,100.5345,100.945,99.86,100.1631,350509
2015-12-31,99.6841,100.8082,99.3713,100.2803,659571
2016-01-04,98.8434,100.7398,97.9148,99.5179,2042842
2016-01-05,99.7036,102.1083,99.3078,101.5902,2227988
2016-01-06,100.2022,102.9,100.0653,102.0301,2671123
2016-01-07,99.86,101.3067,99.1465,99.6841,1776287
2016-01-08,99.9089,100.7495,99.0878,99.2638,1622573
2016-01-11,99.4006,99.9871,96.3997,97.5532,1578996
2016-01-12,98.4134,101.0917,97.6411,100.554,1840540
2016-01-13,101.1699,102.9196,98.5991,98.9216,1974261
2016-01-14,99.1465,101.4045,98.6773,100.3879,1184164
2016-01-15,97.9735,100.0067,97.0155,98.8043,1516108
2016-01-19,99.4984,99.6352,95.8621,97.0058,1872148
2016-01-20,95.6764,96.8396,92.7146,96.0674,1704137
2016-01-21,96.302,96.6539,95.0215,95.9696,940542
2016-01-22,97.0351,97.5238,95.999,96.9178,921587
2016-01-25,96.2531,97.5434,96.2531,96.8298,1072317
2016-01-26,97.3381,99.8014,97.1328,99.4495,1469625
2016-01-27,99.5961,101.3654,98.6675,99.3517,1970843
2016-01-28,100.6909,101.6,94.914,95.3538,2306972
2016-01-29,96.0674,97.1816,95.129,97.0253,2242571
2016-02-01,96.0674,97.5141,95.5591,96.8005,1561584
2016-02-02,96.214,97.1328,95.5982,95.8328,1204823
2016-02-03,96.5073,96.6343,93.694,95.0703,1418090
2016-02-04,95.4711,96.3606,94.7576,95.3538,1561932
2016-02-05,93.8974,94.3177,92.5778,92.871,3952411
2016-02-08,92.8124,92.9981,88.2768,89.9581,2825845
2016-02-09,89.5475,90.8378,88.7167,89.831,1750579
2016-02-10,90.0167,92.4214,90.0167,90.8183,1279105
2016-02-11,89.7626,90.3393,88.7753,89.616,1507447
2016-02-12,86.4587,90.2611,86.2827,89.7137,1215017
2016-02-16,89.8506,91.5612,89.4596,91.5123,1316241
2016-02-17,91.9913,93.6872,91.8251,93.2229,1284474
2016-02-18,93.2229,93.8192,92.5582,92.9492,849329
2016-02-19,92.8026,92.9492,91.9668,92.656,717470
2016-02-22,93.4868,93.8778,92.48,92.9981,1112154
2016-02-23,92.656,93.3401,90.8378,91.4536,1445740
2016-02-24,91.3657,92.4898,90.789,92.2259,872170
2016-02-25,92.8906,94.7087,92.4996,94.7087,1453446
2016-02-26,94.7185,96.0283,94.3861,95.3343,1063748
