"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","7.1","$42.29M","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih",
"TURN","180 Degree Capital Corp.","2.055","$63.95M","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/turn",
"FLWS","1-800 FLOWERS.COM, Inc.","9.275","$599.03M","1999","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws",
"FCCY","1st Constitution Bancorp (NJ)","17.405","$140.45M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","49.33","$1.28B","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","7.19","$808.88M","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","64.39","$3.36B","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou",
"JOBS","51job, Inc.","61.94","$3.8B","2004","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs",
"CAFD","8point3 Energy Partners LP","15.09","$1.19B","2015","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","13.45","$1.24B","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","16.7","$375.01M","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","36.975","$1.09B","1972","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm",
"AAON","AAON, Inc.","34.2501","$1.8B","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon",
"ABAX","ABAXIS, Inc.","46.16","$1.05B","1992","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax",
"ABEO","Abeona Therapeutics Inc.","15.1","$704.6M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","9.9","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow",
"ABIL","Ability Inc.","0.6099","$15.71M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/abil",
"ABMD","ABIOMED, Inc.","193.59","$8.56B","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd",
"ABLX","Ablynx NV","21.055","$1.57B","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/ablx",
"AXAS","Abraxas Petroleum Corporation","2.08","$344.97M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","10.75","$611.91M","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","35.6","$1.4B","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","4.1","$207.48M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","27.79","$2.44B","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","27","$3.35B","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad",
"ACST","Acasti Pharma, Inc.","1.29","$19.01M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","19.5","$1.08B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","34.11","$1.54B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn",
"ANCX","Access National Corporation","27.8","$568.5M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ARAY","Accuray Incorporated","4.625","$388.12M","2007","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","1.85","$83.95M","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","17.69","$13.08M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acer",
"ACERW","Acer Therapeutics Inc.","0.029","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acerw",
"ACET","Aceto Corporation","9.32","$285.58M","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet",
"AKAO","Achaogen, Inc.","11.91","$504.98M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao",
"ACHV","Achieve Life Sciences, Inc. ","1.34","$15.11M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/achv",
"ACHN","Achillion Pharmaceuticals, Inc.","3.68","$503.64M","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","22.81","$2.7B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","22.29","$687.3M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","5.98","$90.37M","2017","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acmr",
"ACNB","ACNB Corporation","28","$196.55M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","28.25","$1.32B","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor",
"SQZZ","Active Alts Contrarian ETF","25","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sqzz",
"ATVI","Activision Blizzard, Inc","64.02","$48.41B","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"ACTA","Actua Corporation","15.5","$498.43M","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acta",
"ACXM","Acxiom Corporation","26.23","$2.08B","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm",
"ADMS","Adamas Pharmaceuticals, Inc.","26.3","$599.08M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adms",
