portfolio,alpha_monthly_pct,t_stat_alpha
SMALL_LoBM,66.3926,27.064
ME1_BM2,50.4894,31.929
ME1_BM3,51.3384,32.222
ME1_BM4,60.4145,30.905
SMALL_HiBM,95.4948,27.052
ME2_BM1,85.7199,24.265
ME2_BM2,81.9788,23.4
ME2_BM3,81.5285,23.528
ME2_BM4,79.9907,23.414
ME2_BM5,76.0943,22.491
ME3_BM1,174.6024,20.74
ME3_BM2,171.8786,20.433
ME3_BM3,167.6568,20.444
ME3_BM4,167.405,20.219
ME3_BM5,164.3409,19.793
ME4_BM1,423.7306,19.298
ME4_BM2,403.0699,19.348
ME4_BM3,399.4132,19.05
ME4_BM4,398.8438,19.015
ME4_BM5,407.3952,18.429
BIG_LoBM,4021.1512,16.039
ME5_BM2,3130.5189,17.454
ME5_BM3,2404.4771,18.611
ME5_BM4,2713.721,16.731
BIG_HiBM,2499.4698,17.056
