portfolio,alpha_monthly_pct,t_stat_alpha
SMALL_LoBM,66.3805,27.778
ME1_BM2,50.2605,32.628
ME1_BM3,50.9954,32.855
ME1_BM4,60.0434,31.53
SMALL_HiBM,95.2813,27.708
ME2_BM1,84.0893,24.428
ME2_BM2,80.4709,23.573
ME2_BM3,80.106,23.726
ME2_BM4,78.6492,23.628
ME2_BM5,74.8749,22.714
ME3_BM1,171.0639,20.854
ME3_BM2,168.5378,20.563
ME3_BM3,164.3049,20.563
ME3_BM4,164.2144,20.356
ME3_BM5,161.299,19.939
ME4_BM1,414.7555,19.386
ME4_BM2,394.933,19.457
ME4_BM3,392.0554,19.193
ME4_BM4,391.8305,19.174
ME4_BM5,400.3949,18.591
BIG_LoBM,3948.6465,16.166
ME5_BM2,3062.2732,17.524
ME5_BM3,2355.3215,18.71
ME5_BM4,2647.1859,16.751
BIG_HiBM,2441.5597,17.1
