factor,Intercept,Mkt_RF,SMB,HML_DEV,RMW,CMA,MOM,R2
Mkt_RF,10.6%,,0.29,-0.00,-0.22,-0.73,-0.16,22%
Mkt_RF_t,(5.83),,(5.62),(-0.03),(-3.15),(-7.68),(-3.19),
SMB,2.0%,0.14,,0.16,-0.43,-0.16,0.07,18%
SMB_t,(1.54),(5.62),,(3.20),(-9.11),(-2.30),(1.87),
HML_DEV,3.9%,-0.00,0.09,,0.09,0.90,-0.53,68%
HML_DEV_t,(4.20),(-0.03),(3.20),,(2.48),(23.20),(-29.32),
RMW,3.9%,-0.06,-0.24,0.09,,-0.16,0.07,14%
RMW_t,(4.04),(-3.15),(-9.11),(2.48),,(-3.11),(2.45),
CMA,0.9%,-0.10,-0.04,0.47,-0.08,,0.23,50%
CMA_t,(1.27),(-7.68),(-2.30),(23.20),(-3.11),,(13.09),
MOM,8.1%,-0.08,0.07,-1.01,0.12,0.83,,56%
MOM_t,(6.31),(-3.19),(1.87),(-29.32),(2.45),(13.09),,
