,,LASSO,LASSO,LASSO,LASSO,LASSO,LASSO,LASSO,LASSO,LASSO,LASSO,LASSO,LASSO,PLS,PLS,PLS,PLS,PLS,PLS,PLS,PLS,PLS,PLS,PLS,PLS,XGB,XGB,XGB,XGB,XGB,XGB,XGB,XGB,XGB,XGB,XGB,XGB
,,Q1 (overvalued),,Q2,,Q3,,Q4,,Q5 (undervalued),,Q5-Q1 (spread),,Q1 (overvalued),,Q2,,Q3,,Q4,,Q5 (undervalued),,Q5-Q1 (spread),,Q1 (overvalued),,Q2,,Q3,,Q4,,Q5 (undervalued),,Q5-Q1 (spread),
Panel,Variable,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic
Equal-weighted,Industry-adjusted returns,0.0030***,[21.16],0.0011***,[7.90],0.0008***,[5.28],-0.0014***,[-9.70],-0.0035***,[-24.66],-0.0066***,[-3.41],0.0025***,[18.81],0.0014***,[10.53],0.0006***,[4.64],-0.0010***,[-7.65],-0.0034***,[-26.37],-0.0059***,[-3.14],0.0016***,[13.96],0.0021***,[18.02],0.0006***,[5.06],-0.0023***,[-19.78],-0.0020***,[-17.42],-0.0036**,[-2.29]
,Six-factor model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alpha,0.0029**,[2.18],0.0005,[0.53],0.0002,[0.23],-0.0011,[-1.41],-0.0025***,[-4.03],-0.0055***,[-3.24],0.0023*,[1.77],0.0007,[0.70],0.0002,[0.19],-0.0007,[-0.94],-0.0025***,[-3.97],-0.0048***,[-2.88],0.0015,[1.41],0.0014,[1.56],0.0003,[0.40],-0.0017**,[-2.40],-0.0016**,[-2.22],-0.0031**,[-2.08]
,Mkt_RF,-0.0016***,[-4.98],0.0003,[1.44],0.0006***,[2.64],0.0006***,[3.22],0.0001,[0.89],0.0017***,[4.31],-0.0015***,[-4.81],0.0003,[1.49],0.0005**,[2.42],0.0005***,[2.89],0.0001,[0.88],0.0016***,[4.14],-0.0010***,[-3.88],-0.0002,[-0.97],0.0005**,[2.51],0.0004***,[2.58],0.0003*,[1.68],0.0013***,[3.60]
,SMB,0.0009*,[1.72],0.0031***,[8.81],0.0023***,[7.05],-0.0015***,[-5.22],-0.0047***,[-20.29],-0.0056***,[-8.93],0.0007,[1.53],0.0031***,[8.98],0.0019***,[5.57],-0.0012***,[-4.19],-0.0046***,[-19.91],-0.0053***,[-8.63],0.0005,[1.24],0.0031***,[9.08],0.0015***,[4.85],-0.0022***,[-8.43],-0.0029***,[-10.73],-0.0034***,[-6.05]
,HML,0.0010*,[1.85],-0.0002,[-0.42],-0.0001,[-0.25],-0.0000,[-0.03],-0.0007***,[-2.92],-0.0017**,[-2.56],0.0007,[1.41],0.0005,[1.31],-0.0005,[-1.29],0.0000,[0.09],-0.0008***,[-3.14],-0.0015**,[-2.29],0.0003,[0.78],0.0004,[1.07],0.0003,[0.80],-0.0009***,[-3.16],-0.0001,[-0.38],-0.0004,[-0.74]
,Mom,0.0007**,[2.32],-0.0001,[-0.70],0.0001,[0.78],-0.0005***,[-2.85],-0.0002,[-1.48],-0.0009**,[-2.40],0.0007***,[2.62],-0.0001,[-0.26],-0.0001,[-0.29],-0.0004**,[-2.55],-0.0002*,[-1.66],-0.0010***,[-2.70],0.0005**,[2.08],0.0004*,[1.81],-0.0004**,[-2.36],-0.0004**,[-2.46],-0.0001,[-0.34],-0.0005*,[-1.65]
,ST_Rev,0.0010**,[2.47],-0.0002,[-0.61],-0.0003,[-1.08],-0.0002,[-0.72],-0.0004**,[-2.04],-0.0013***,[-2.73],0.0007**,[1.97],-0.0001,[-0.29],-0.0001,[-0.46],-0.0002,[-0.82],-0.0004**,[-2.09],-0.0011**,[-2.34],0.0010***,[3.09],-0.0004,[-1.63],0.0002,[0.88],-0.0003,[-1.33],-0.0005**,[-2.35],-0.0014***,[-3.36]
,LT_Rev,-0.0006,[-0.88],0.0006,[1.29],-0.0002,[-0.44],-0.0001,[-0.28],0.0003,[0.91],0.0009,[1.04],-0.0003,[-0.39],-0.0000,[-0.07],0.0003,[0.60],-0.0003,[-0.81],0.0003,[1.04],0.0006,[0.70],-0.0004,[-0.80],0.0005,[1.04],-0.0005,[-1.12],0.0001,[0.35],0.0003,[0.84],0.0007,[0.98]
,R-squared,0.13,,0.31,,0.22,,0.16,,0.65,,0.29,,0.12,,0.28,,0.19,,0.13,,0.64,,0.28,,0.08,,0.31,,0.15,,0.27,,0.34,,0.17,
,Number of observations,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,
,Eight-factor model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alpha,0.0039***,[2.85],0.0012,[1.22],0.0001,[0.06],-0.0021***,[-2.69],-0.0031***,[-4.81],-0.0070***,[-4.10],0.0032**,[2.40],0.0013,[1.32],0.0001,[0.06],-0.0016**,[-2.14],-0.0029***,[-4.63],-0.0061***,[-3.66],0.0020*,[1.80],0.0021**,[2.21],0.0004,[0.43],-0.0023***,[-3.37],-0.0021***,[-2.90],-0.0041***,[-2.70]
,Mkt_RF,-0.0019***,[-5.44],0.0001,[0.31],0.0006**,[2.54],0.0009***,[4.71],0.0003**,[1.96],0.0022***,[5.12],-0.0017***,[-5.17],0.0001,[0.37],0.0006**,[2.32],0.0008***,[4.25],0.0003*,[1.84],0.0020***,[4.81],-0.0011***,[-4.05],-0.0004*,[-1.87],0.0005**,[2.34],0.0006***,[3.48],0.0005**,[2.55],0.0016***,[4.16]
,SMB,0.0003,[0.63],0.0028***,[7.72],0.0024***,[7.06],-0.0010***,[-3.61],-0.0045***,[-18.79],-0.0048***,[-7.59],0.0002,[0.44],0.0029***,[8.02],0.0020***,[5.57],-0.0007***,[-2.59],-0.0044***,[-18.45],-0.0046***,[-7.34],0.0002,[0.54],0.0028***,[7.99],0.0014***,[4.44],-0.0018***,[-7.04],-0.0026***,[-9.52],-0.0028***,[-4.98]
,HML,0.0018***,[2.68],0.0006,[1.23],-0.0002,[-0.40],-0.0010**,[-2.51],-0.0013***,[-4.03],-0.0031***,[-3.67],0.0014**,[2.15],0.0012**,[2.52],-0.0006,[-1.17],-0.0008**,[-2.19],-0.0013***,[-4.00],-0.0027***,[-3.23],0.0008,[1.37],0.0011**,[2.34],0.0002,[0.51],-0.0014***,[-4.09],-0.0007*,[-1.82],-0.0014*,[-1.87]
,Mom,0.0009***,[3.03],-0.0000,[-0.13],0.0001,[0.56],-0.0007***,[-4.10],-0.0003**,[-2.21],-0.0012***,[-3.27],0.0009***,[3.35],0.0000,[0.19],-0.0001,[-0.44],-0.0006***,[-3.76],-0.0003**,[-2.27],-0.0012***,[-3.52],0.0006**,[2.49],0.0005**,[2.35],-0.0004**,[-2.17],-0.0005***,[-3.53],-0.0001,[-0.95],-0.0007**,[-2.26]
,ST_Rev,0.0011***,[2.80],-0.0002,[-0.55],-0.0003,[-1.20],-0.0002,[-1.07],-0.0004**,[-2.22],-0.0015***,[-3.09],0.0009**,[2.35],-0.0001,[-0.32],-0.0001,[-0.55],-0.0003,[-1.22],-0.0004**,[-2.21],-0.0013***,[-2.70],0.0010***,[3.27],-0.0004,[-1.58],0.0002,[1.03],-0.0004*,[-1.84],-0.0005**,[-2.48],-0.0015***,[-3.57]
,LT_Rev,-0.0014*,[-1.96],0.0004,[0.83],0.0000,[0.04],0.0004,[1.09],0.0005,[1.57],0.0019**,[2.17],-0.0011*,[-1.67],-0.0000,[-0.10],0.0004,[0.89],0.0003,[0.69],0.0005,[1.51],0.0016*,[1.90],-0.0008,[-1.45],0.0003,[0.59],-0.0007,[-1.58],0.0007**,[2.08],0.0005,[1.35],0.0013*,[1.70]
,CMA,0.0003,[0.27],-0.0008,[-1.17],-0.0003,[-0.41],0.0004,[0.76],0.0004,[0.89],0.0001,[0.12],0.0007,[0.73],-0.0011,[-1.61],-0.0002,[-0.27],0.0002,[0.35],0.0004,[0.94],-0.0003,[-0.23],0.0001,[0.17],-0.0007,[-1.10],0.0005,[0.89],-0.0004,[-0.81],0.0004,[0.87],0.0003,[0.30]
,RMW,-0.0025***,[-4.00],-0.0013***,[-2.80],0.0005,[1.23],0.0022***,[6.12],0.0011***,[3.79],0.0036***,[4.65],-0.0025***,[-4.14],-0.0009**,[-2.03],0.0004,[0.96],0.0021***,[6.08],0.0009***,[3.18],0.0034***,[4.50],-0.0013**,[-2.50],-0.0012***,[-2.77],-0.0004,[-1.04],0.0018***,[5.72],0.0011***,[3.17],0.0023***,[3.34]
,R-squared,0.17,,0.33,,0.23,,0.26,,0.66,,0.33,,0.17,,0.30,,0.19,,0.23,,0.65,,0.33,,0.10,,0.33,,0.16,,0.34,,0.36,,0.20,
,Number of observations,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,
