,,LASSO,LASSO,LASSO,LASSO,LASSO,LASSO,LASSO,LASSO,LASSO,LASSO,LASSO,LASSO,PLS,PLS,PLS,PLS,PLS,PLS,PLS,PLS,PLS,PLS,PLS,PLS,XGB,XGB,XGB,XGB,XGB,XGB,XGB,XGB,XGB,XGB,XGB,XGB
,,Q1 (overvalued),,Q2,,Q3,,Q4,,Q5 (undervalued),,Q5-Q1 (spread),,Q1 (overvalued),,Q2,,Q3,,Q4,,Q5 (undervalued),,Q5-Q1 (spread),,Q1 (overvalued),,Q2,,Q3,,Q4,,Q5 (undervalued),,Q5-Q1 (spread),
Panel,Variable,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic
Value-weighted,Industry-adjusted returns,0.0021***,[15.30],0.0008***,[5.95],0.0010***,[7.63],-0.0018***,[-13.05],-0.0038***,[-27.76],-0.0059**,[-2.39],-0.0031***,[-24.94],0.0010***,[7.87],0.0007***,[5.91],-0.0016***,[-12.84],-0.0038***,[-31.01],-0.0007,[-0.31],-0.0002*,[-1.76],0.0008***,[5.75],0.0001,[0.80],-0.0041***,[-30.18],-0.0041***,[-30.15],-0.0039*,[-1.92]
,Six-factor model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alpha,0.0016,[1.06],0.0002,[0.16],0.0004,[0.43],-0.0015*,[-1.89],-0.0026**,[-2.50],-0.0042**,[-2.07],-0.0034*,[-1.85],0.0001,[0.11],0.0003,[0.28],-0.0012,[-1.49],-0.0026**,[-2.50],0.0008,[0.37],-0.0009,[-0.70],0.0003,[0.31],-0.0000,[-0.05],-0.0032**,[-2.15],-0.0029***,[-2.91],-0.0019,[-1.13]
,Mkt_RF,-0.0009***,[-2.59],0.0004*,[1.72],0.0006***,[2.97],0.0004**,[2.19],0.0002,[0.76],0.0011**,[2.32],-0.0003,[-0.70],0.0005**,[2.26],0.0006***,[2.63],0.0003,[1.55],0.0002,[0.80],0.0005,[0.99],0.0002,[0.51],0.0001,[0.58],0.0006**,[2.56],0.0006*,[1.68],-0.0000,[-0.03],-0.0002,[-0.41]
,SMB,0.0007,[1.33],0.0031***,[8.27],0.0023***,[6.96],-0.0019***,[-6.29],-0.0079***,[-20.57],-0.0087***,[-11.53],-0.0007,[-1.05],0.0032***,[8.75],0.0018***,[4.86],-0.0019***,[-6.08],-0.0079***,[-20.47],-0.0072***,[-9.14],0.0007,[1.49],0.0027***,[7.07],-0.0006*,[-1.73],-0.0085***,[-15.55],-0.0058***,[-16.09],-0.0066***,[-10.37]
,HML,0.0013**,[2.24],-0.0002,[-0.48],-0.0002,[-0.44],-0.0003,[-0.91],-0.0006,[-1.51],-0.0019**,[-2.45],0.0012*,[1.67],0.0006,[1.55],-0.0004,[-1.13],-0.0003,[-1.02],-0.0006,[-1.49],-0.0018**,[-2.17],0.0002,[0.34],0.0000,[0.09],0.0000,[0.10],-0.0002,[-0.34],-0.0012***,[-3.24],-0.0014**,[-2.12]
,Mom,0.0006*,[1.76],-0.0001,[-0.52],0.0003,[1.50],-0.0002,[-1.32],0.0002,[1.06],-0.0003,[-0.77],0.0004,[1.11],0.0000,[0.03],0.0000,[0.06],-0.0002,[-0.93],0.0002,[1.05],-0.0002,[-0.44],0.0007**,[2.52],-0.0001,[-0.57],-0.0003,[-1.64],0.0005,[1.46],-0.0000,[-0.23],-0.0008**,[-2.09]
,ST_Rev,0.0007,[1.59],-0.0002,[-0.69],-0.0004,[-1.41],0.0001,[0.41],-0.0004,[-1.27],-0.0011*,[-1.84],0.0005,[0.95],-0.0002,[-0.75],-0.0002,[-0.56],0.0000,[0.17],-0.0004,[-1.25],-0.0009,[-1.43],0.0001,[0.33],-0.0002,[-0.69],0.0006**,[2.42],-0.0002,[-0.42],-0.0008***,[-2.82],-0.0009*,[-1.87]
,LT_Rev,-0.0002,[-0.23],0.0006,[1.23],-0.0002,[-0.35],0.0000,[0.07],0.0001,[0.21],0.0003,[0.28],-0.0006,[-0.61],-0.0000,[-0.08],0.0001,[0.28],-0.0001,[-0.31],0.0001,[0.25],0.0007,[0.65],-0.0000,[-0.01],0.0004,[0.76],-0.0002,[-0.47],-0.0003,[-0.47],0.0010**,[2.03],0.0010,[1.17]
,R-squared,0.06,,0.29,,0.23,,0.16,,0.66,,0.38,,0.03,,0.28,,0.16,,0.15,,0.66,,0.27,,0.03,,0.21,,0.09,,0.53,,0.53,,0.33,
,Number of observations,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,
,Eight-factor model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alpha,0.0021,[1.32],0.0008,[0.80],0.0004,[0.44],-0.0024***,[-2.94],-0.0031***,[-2.91],-0.0051**,[-2.50],-0.0035*,[-1.84],0.0008,[0.82],0.0001,[0.12],-0.0021***,[-2.58],-0.0031***,[-2.90],0.0004,[0.20],-0.0009,[-0.68],0.0007,[0.62],-0.0008,[-0.84],-0.0039***,[-2.64],-0.0031***,[-3.01],-0.0021,[-1.19]
,Mkt_RF,-0.0010***,[-2.61],0.0002,[0.61],0.0006**,[2.57],0.0007***,[3.41],0.0003,[1.06],0.0013**,[2.53],-0.0003,[-0.58],0.0002,[0.93],0.0007**,[2.53],0.0006***,[2.87],0.0003,[1.09],0.0006,[1.02],0.0002,[0.45],-0.0000,[-0.04],0.0008***,[3.49],0.0007*,[1.94],0.0001,[0.29],-0.0001,[-0.18]
,SMB,0.0004,[0.71],0.0028***,[7.27],0.0024***,[6.75],-0.0015***,[-4.85],-0.0076***,[-19.31],-0.0080***,[-10.43],-0.0006,[-0.89],0.0030***,[7.77],0.0019***,[4.92],-0.0014***,[-4.62],-0.0076***,[-19.22],-0.0070***,[-8.45],0.0008,[1.47],0.0026***,[6.52],-0.0003,[-0.71],-0.0080***,[-14.41],-0.0058***,[-15.19],-0.0065***,[-9.83]
,HML,0.0016**,[2.09],0.0006,[1.12],-0.0001,[-0.13],-0.0011***,[-2.78],-0.0009*,[-1.72],-0.0025**,[-2.47],0.0011,[1.20],0.0015***,[2.96],-0.0006,[-1.09],-0.0012***,[-2.96],-0.0009*,[-1.68],-0.0020*,[-1.84],0.0002,[0.28],0.0005,[0.95],-0.0008*,[-1.65],-0.0006,[-0.81],-0.0015***,[-2.96],-0.0017*,[-1.91]
,Mom,0.0007**,[2.12],-0.0000,[-0.01],0.0003,[1.41],-0.0004**,[-2.31],0.0001,[0.49],-0.0006,[-1.36],0.0004,[1.01],0.0001,[0.52],-0.0000,[-0.12],-0.0003*,[-1.94],0.0001,[0.48],-0.0003,[-0.64],0.0007**,[2.44],-0.0001,[-0.37],-0.0005**,[-2.30],0.0003,[0.82],-0.0001,[-0.36],-0.0008**,[-2.10]
,ST_Rev,0.0008*,[1.83],-0.0002,[-0.67],-0.0004,[-1.50],0.0000,[0.15],-0.0005*,[-1.67],-0.0013**,[-2.25],0.0005,[0.89],-0.0002,[-0.81],-0.0002,[-0.65],-0.0000,[-0.09],-0.0005,[-1.64],-0.0010,[-1.56],0.0001,[0.29],-0.0002,[-0.78],0.0006**,[2.35],-0.0004,[-0.88],-0.0008***,[-2.78],-0.0009*,[-1.82]
,LT_Rev,-0.0009,[-1.10],0.0005,[0.93],0.0000,[0.05],0.0005,[1.25],0.0008,[1.56],0.0017,[1.64],-0.0004,[-0.39],-0.0000,[-0.02],0.0003,[0.61],0.0004,[0.87],0.0009,[1.59],0.0012,[1.10],0.0001,[0.10],0.0005,[0.92],0.0000,[0.07],0.0009,[1.18],0.0010*,[1.87],0.0009,[0.99]
,CMA,0.0010,[0.88],-0.0010,[-1.32],-0.0005,[-0.75],0.0003,[0.56],-0.0010,[-1.38],-0.0020,[-1.37],-0.0002,[-0.17],-0.0014**,[-2.01],-0.0002,[-0.27],0.0004,[0.66],-0.0010,[-1.39],-0.0008,[-0.52],-0.0002,[-0.19],-0.0010,[-1.28],0.0008,[1.16],-0.0018*,[-1.76],0.0004,[0.53],0.0006,[0.45]
,RMW,-0.0017**,[-2.37],-0.0011**,[-2.39],0.0002,[0.53],0.0019***,[5.17],0.0017***,[3.62],0.0034***,[3.66],0.0004,[0.47],-0.0010**,[-2.15],0.0005,[1.06],0.0020***,[5.28],0.0017***,[3.57],0.0013,[1.31],0.0001,[0.21],-0.0003,[-0.66],0.0014***,[3.32],0.0028***,[4.20],0.0003,[0.63],0.0002,[0.19]
,R-squared,0.09,,0.31,,0.23,,0.23,,0.68,,0.41,,0.03,,0.30,,0.16,,0.23,,0.67,,0.27,,0.03,,0.22,,0.12,,0.56,,0.53,,0.33,
,Number of observations,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,
