,,OLS,OLS,OLS,OLS,OLS,OLS,OLS,OLS,OLS,OLS,OLS,OLS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS
,,Q1 (overvalued),,Q2,,Q3,,Q4,,Q5 (undervalued),,Q5-Q1 (spread),,Q1 (overvalued),,Q2,,Q3,,Q4,,Q5 (undervalued),,Q5-Q1 (spread),
Panel,Variable,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic
Equal-weighted,Industry-adjusted returns,0.0027***,[20.96],0.0002*,[1.79],0.0014***,[11.07],-0.0013***,[-9.78],-0.0031***,[-24.07],-0.0059***,[-3.07],-0.0003***,[-2.74],0.0023***,[18.61],0.0016***,[13.38],-0.0003**,[-2.48],-0.0032***,[-26.48],-0.0029**,[-2.20]
,Six-factor model,,,,,,,,,,,,,,,,,,,,,,,,
,Alpha,0.0029**,[2.23],-0.0005,[-0.54],0.0009,[0.95],-0.0011,[-1.44],-0.0022***,[-3.32],-0.0051***,[-3.09],-0.0003,[-0.42],0.0022**,[1.99],0.0010,[1.20],-0.0004,[-0.41],-0.0025***,[-3.65],-0.0022**,[-1.98]
,Mkt_RF,-0.0015***,[-4.80],0.0002,[0.79],0.0006***,[2.78],0.0006***,[3.33],0.0001,[0.84],0.0016***,[4.11],-0.0001,[-0.47],-0.0008***,[-3.08],0.0003,[1.36],0.0005***,[2.65],0.0001,[0.44],0.0002,[0.58]
,SMB,0.0013***,[2.59],0.0028***,[8.22],0.0017***,[4.93],-0.0011***,[-4.01],-0.0046***,[-18.58],-0.0059***,[-9.51],0.0005*,[1.96],0.0020***,[4.98],0.0019***,[6.25],-0.0005*,[-1.67],-0.0039***,[-15.64],-0.0045***,[-11.02]
,HML,0.0005,[0.88],0.0006*,[1.69],-0.0002,[-0.58],-0.0002,[-0.65],-0.0007**,[-2.48],-0.0011*,[-1.69],-0.0001,[-0.31],0.0002,[0.40],0.0002,[0.72],0.0003,[0.81],-0.0006**,[-2.21],-0.0005,[-1.16]
,Mom,0.0005*,[1.71],0.0000,[0.10],0.0000,[0.22],-0.0004***,[-2.63],-0.0001,[-0.93],-0.0006*,[-1.72],-0.0002,[-1.08],0.0005**,[2.00],0.0000,[0.27],-0.0002,[-0.94],-0.0002,[-1.20],-0.0000,[-0.01]
,ST_Rev,0.0002,[0.49],0.0002,[0.80],-0.0000,[-0.12],0.0000,[0.09],-0.0004**,[-2.00],-0.0006,[-1.19],-0.0000,[-0.10],-0.0002,[-0.62],0.0002,[0.70],-0.0000,[-0.05],0.0001,[0.27],0.0001,[0.23]
,LT_Rev,-0.0003,[-0.40],-0.0001,[-0.22],0.0002,[0.37],-0.0002,[-0.42],0.0003,[1.02],0.0006,[0.72],0.0003,[0.73],-0.0002,[-0.38],0.0002,[0.44],-0.0005,[-1.13],0.0002,[0.68],-0.0000,[-0.07]
,R-squared,0.11,,0.24,,0.16,,0.13,,0.60,,0.30,,0.03,,0.13,,0.18,,0.05,,0.52,,0.36,
,Number of observations,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,
,Eight-factor model,,,,,,,,,,,,,,,,,,,,,,,,
,Alpha,0.0042***,[3.17],-0.0000,[-0.03],0.0006,[0.59],-0.0019***,[-2.60],-0.0028***,[-4.13],-0.0070***,[-4.21],-0.0001,[-0.10],0.0029***,[2.62],0.0011,[1.29],-0.0010,[-1.21],-0.0029***,[-4.11],-0.0028**,[-2.48]
,Mkt_RF,-0.0019***,[-5.74],0.0000,[0.09],0.0007***,[2.96],0.0008***,[4.54],0.0004**,[2.03],0.0023***,[5.37],-0.0002,[-0.92],-0.0010***,[-3.70],0.0003,[1.28],0.0007***,[3.39],0.0002,[1.18],0.0004,[1.35]
,SMB,0.0006,[1.27],0.0026***,[7.27],0.0018***,[5.18],-0.0007**,[-2.41],-0.0044***,[-17.13],-0.0050***,[-8.05],0.0005,[1.57],0.0016***,[3.94],0.0018***,[5.64],-0.0001,[-0.39],-0.0038***,[-14.40],-0.0042***,[-9.98]
,HML,0.0017***,[2.58],0.0011**,[2.27],-0.0005,[-1.12],-0.0009**,[-2.55],-0.0013***,[-3.85],-0.0030***,[-3.63],0.0002,[0.53],0.0009,[1.63],0.0002,[0.49],-0.0003,[-0.72],-0.0010***,[-2.90],-0.0012**,[-2.15]
,Mom,0.0007***,[2.61],0.0001,[0.55],-0.0000,[-0.08],-0.0006***,[-3.88],-0.0002,[-1.63],-0.0010***,[-2.73],-0.0001,[-0.85],0.0006***,[2.60],0.0001,[0.52],-0.0003*,[-1.81],-0.0002*,[-1.66],-0.0001,[-0.45]
,ST_Rev,0.0003,[0.75],0.0002,[0.93],-0.0001,[-0.20],-0.0001,[-0.35],-0.0004**,[-2.09],-0.0007,[-1.45],-0.0000,[-0.13],-0.0001,[-0.45],0.0002,[0.95],-0.0001,[-0.42],0.0000,[0.18],0.0001,[0.20]
,LT_Rev,-0.0010,[-1.44],-0.0004,[-0.75],0.0003,[0.69],0.0005,[1.36],0.0005,[1.40],0.0015*,[1.71],0.0003,[0.71],-0.0006,[-1.10],-0.0002,[-0.46],0.0002,[0.38],0.0004,[1.07],0.0001,[0.18]
,CMA,-0.0005,[-0.53],-0.0002,[-0.28],0.0002,[0.24],-0.0002,[-0.34],0.0007,[1.46],0.0012,[1.02],-0.0005,[-0.89],-0.0003,[-0.36],0.0008,[1.31],-0.0004,[-0.62],0.0003,[0.69],0.0008,[1.03]
,RMW,-0.0028***,[-4.70],-0.0010**,[-2.42],0.0007,[1.60],0.0021***,[6.40],0.0011***,[3.43],0.0039***,[5.13],-0.0003,[-0.91],-0.0017***,[-3.31],-0.0007*,[-1.79],0.0019***,[4.91],0.0008**,[2.46],0.0011**,[2.14]
,R-squared,0.18,,0.26,,0.17,,0.24,,0.62,,0.35,,0.03,,0.17,,0.20,,0.13,,0.53,,0.37,
,Number of observations,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,
