,,OLS,OLS,OLS,OLS,OLS,OLS,OLS,OLS,OLS,OLS,OLS,OLS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS,TS
,,Q1 (overvalued),,Q2,,Q3,,Q4,,Q5 (undervalued),,Q5-Q1 (spread),,Q1 (overvalued),,Q2,,Q3,,Q4,,Q5 (undervalued),,Q5-Q1 (spread),
Panel,Variable,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic,Coefficient,t-statistic
Value-weighted,Industry-adjusted returns,0.0005***,[4.20],-0.0002*,[-1.82],0.0011***,[9.28],-0.0020***,[-17.46],-0.0038***,[-33.78],-0.0043*,[-1.65],-0.0040***,[-42.33],-0.0003***,[-3.65],-0.0018***,[-19.68],-0.0011***,[-12.13],-0.0040***,[-42.18],0.0000,[0.01]
,Six-factor model,,,,,,,,,,,,,,,,,,,,,,,,
,Alpha,0.0011,[0.52],-0.0010,[-1.01],0.0005,[0.47],-0.0018**,[-2.13],-0.0026**,[-2.50],-0.0037,[-1.57],-0.0029*,[-1.79],-0.0008,[-0.43],-0.0021,[-1.25],0.0001,[0.07],-0.0029**,[-2.44],0.0001,[0.04]
,Mkt_RF,-0.0002,[-0.37],0.0003,[1.26],0.0006***,[2.74],0.0005**,[2.35],0.0002,[0.73],0.0004,[0.65],0.0004,[0.92],0.0006,[1.44],0.0005,[1.23],0.0003,[0.97],0.0001,[0.30],-0.0003,[-0.60]
,SMB,-0.0001,[-0.19],0.0032***,[9.03],0.0014***,[4.00],-0.0019***,[-6.21],-0.0080***,[-20.56],-0.0078***,[-9.03],-0.0040***,[-6.59],0.0020***,[2.98],-0.0028***,[-4.47],-0.0030***,[-5.48],-0.0085***,[-19.64],-0.0045***,[-6.31]
,HML,-0.0003,[-0.33],0.0005,[1.36],-0.0001,[-0.19],-0.0002,[-0.72],-0.0006,[-1.54],-0.0004,[-0.40],-0.0006,[-0.93],0.0004,[0.49],-0.0009,[-1.35],-0.0004,[-0.61],-0.0006,[-1.20],0.0000,[0.06]
,Mom,-0.0002,[-0.55],-0.0000,[-0.04],0.0002,[1.06],-0.0002,[-0.94],0.0002,[1.08],0.0005,[0.96],-0.0001,[-0.21],0.0008*,[1.92],0.0011***,[3.00],-0.0003,[-1.06],0.0003,[1.26],0.0004,[0.94]
,ST_Rev,0.0010*,[1.65],-0.0001,[-0.38],-0.0002,[-0.73],0.0002,[0.82],-0.0004,[-1.27],-0.0013**,[-2.01],-0.0004,[-0.84],-0.0014***,[-2.72],0.0002,[0.45],-0.0011***,[-2.71],-0.0002,[-0.66],0.0002,[0.31]
,LT_Rev,-0.0020**,[-2.03],0.0001,[0.22],0.0001,[0.13],-0.0003,[-0.63],0.0002,[0.29],0.0022*,[1.90],-0.0011,[-1.34],-0.0012,[-1.27],0.0000,[0.05],-0.0013*,[-1.87],0.0007,[1.21],0.0018*,[1.88]
,R-squared,0.04,,0.29,,0.12,,0.17,,0.66,,0.26,,0.20,,0.07,,0.11,,0.19,,0.63,,0.14,
,Number of observations,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,
,Eight-factor model,,,,,,,,,,,,,,,,,,,,,,,,
,Alpha,0.0012,[0.58],-0.0003,[-0.32],0.0001,[0.10],-0.0025***,[-3.10],-0.0031***,[-2.92],-0.0043*,[-1.78],-0.0045***,[-2.67],-0.0011,[-0.57],-0.0020,[-1.15],-0.0014,[-0.94],-0.0030**,[-2.50],0.0015,[0.75]
,Mkt_RF,-0.0003,[-0.49],0.0000,[0.17],0.0007***,[2.94],0.0007***,[3.32],0.0003,[1.04],0.0005,[0.88],0.0009**,[2.23],0.0007,[1.49],0.0006,[1.24],0.0009**,[2.29],0.0000,[0.11],-0.0009*,[-1.81]
,SMB,-0.0002,[-0.22],0.0029***,[7.99],0.0016***,[4.35],-0.0015***,[-4.79],-0.0076***,[-19.30],-0.0074***,[-8.26],-0.0034***,[-5.44],0.0022***,[3.10],-0.0030***,[-4.64],-0.0023***,[-4.14],-0.0083***,[-18.63],-0.0049***,[-6.66]
,HML,-0.0000,[-0.02],0.0012**,[2.56],-0.0004,[-0.83],-0.0009**,[-2.23],-0.0009*,[-1.75],-0.0009,[-0.75],-0.0023***,[-2.84],0.0001,[0.10],-0.0011,[-1.22],-0.0019***,[-2.60],-0.0004,[-0.66],0.0020**,[2.00]
,Mom,-0.0002,[-0.51],0.0001,[0.47],0.0001,[0.71],-0.0003*,[-1.94],0.0001,[0.51],0.0003,[0.67],-0.0003,[-0.89],0.0007*,[1.72],0.0012***,[3.17],-0.0006*,[-1.94],0.0002,[0.93],0.0006,[1.32]
,ST_Rev,0.0009,[1.59],-0.0001,[-0.35],-0.0002,[-0.83],0.0001,[0.45],-0.0005*,[-1.65],-0.0014**,[-2.12],-0.0004,[-0.85],-0.0015***,[-2.76],0.0003,[0.70],-0.0012***,[-2.94],-0.0003,[-1.04],0.0000,[0.09]
,LT_Rev,-0.0019*,[-1.74],-0.0000,[-0.03],0.0003,[0.57],0.0004,[0.98],0.0009,[1.62],0.0028**,[2.23],-0.0009,[-1.04],-0.0009,[-0.90],-0.0007,[-0.80],-0.0007,[-0.97],0.0015**,[2.43],0.0024**,[2.35]
,CMA,-0.0007,[-0.45],-0.0009,[-1.31],0.0001,[0.10],-0.0003,[-0.47],-0.0010,[-1.33],-0.0003,[-0.19],0.0023**,[1.99],-0.0001,[-0.09],0.0017,[1.42],0.0012,[1.15],-0.0018**,[-2.15],-0.0041***,[-2.98]
,RMW,-0.0000,[-0.01],-0.0011**,[-2.46],0.0008*,[1.85],0.0020***,[5.54],0.0017***,[3.59],0.0017,[1.58],0.0024***,[3.21],0.0008,[0.94],-0.0013,[-1.59],0.0030***,[4.48],0.0013**,[2.43],-0.0011,[-1.24]
,R-squared,0.04,,0.31,,0.13,,0.25,,0.68,,0.26,,0.23,,0.07,,0.13,,0.24,,0.64,,0.17,
,Number of observations,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,,306,
