date,Mkt_RF,SMB,HML,Mom,ST_Rev,LT_Rev,CMA,RMW
1987-03-31,    1.63,    0.32,    1.66,   1.66,   1.85,   3.91,    4.17,    1.30
1987-04-30,   -2.09,   -1.58,   -0.36,   0.20,  -1.89,   3.63,    1.16,   -0.52
1987-05-31,    0.11,   -0.58,    0.22,  -0.77,  -0.22,   2.11,    1.13,    0.49
1987-06-30,    3.91,   -2.11,    1.13,  -0.22,   0.13,  -1.57,    1.07,    1.56
1987-07-31,    3.84,   -1.07,    0.94,   2.57,  -0.23,   2.25,    1.58,   -0.65
1987-08-31,    3.52,   -1.01,   -0.98,  -0.95,   2.57,  -2.87,   -1.55,    2.11
1987-09-30,   -2.58,    0.45,    0.26,   0.80,  -0.44,   2.98,    1.82,   -0.88
1987-10-31,  -23.19,   -7.91,    4.18,  -7.75,  -0.28,  -5.68,    2.24,    2.29
1987-11-30,   -7.76,    2.78,    3.14,  -1.21,  -0.74,  -0.40,    0.60,   -1.93
1987-12-31,    6.82,   -0.01,   -4.42,   5.88,   5.86,   2.65,   -2.46,    3.13
1988-01-31,    4.21,   -0.56,    4.93,  -7.35,   7.81,  -1.63,    2.10,   -1.19
1988-02-29,    4.77,    3.30,   -1.53,  -1.45,   4.36,   1.36,    0.06,    1.51
1988-03-31,   -2.26,    6.11,    0.86,   0.61,  -0.99,   1.18,    1.78,   -0.23
1988-04-30,    0.56,    1.09,    1.51,   2.20,   0.31,   0.42,    1.90,   -0.09
1988-05-31,   -0.27,   -2.52,    2.44,   0.66,   0.63,  -0.05,    0.30,   -0.77
1988-06-30,    4.78,    2.07,   -1.35,  -3.02,   1.90,   1.71,   -3.52,    1.52
1988-07-31,   -1.25,   -0.18,    2.18,   0.66,   3.38,  -1.41,    1.53,   -0.49
1988-08-31,   -3.31,   -0.02,    2.14,   0.36,  -1.96,  -1.79,    1.65,   -0.85
1988-09-30,    3.31,   -1.38,   -0.75,   0.29,  -0.15,  -1.99,   -0.55,    1.76
1988-10-31,    1.16,   -2.97,    2.03,   1.30,  -0.94,  -0.19,    0.99,    1.39
1988-11-30,   -2.27,   -1.58,    1.47,   0.18,  -0.67,  -0.79,    1.64,   -0.36
1988-12-31,    1.48,    1.94,   -1.83,   0.31,   2.31,   0.74,   -0.38,    0.69
1989-01-31,    6.06,   -2.26,    0.61,  -0.25,   1.10,   2.89,    0.11,   -0.97
1989-02-28,   -2.23,    2.70,    0.99,   0.99,   1.08,   0.89,    1.88,   -0.84
1989-03-31,    1.57,    0.68,    0.47,   3.51,  -0.88,   0.48,    0.65,   -0.01
1989-04-30,    4.35,   -0.75,   -1.48,   1.71,  -0.61,  -1.08,   -0.48,    0.73
1989-05-31,    3.28,   -0.06,   -0.90,   1.42,  -2.70,  -1.75,   -0.26,    0.45
1989-06-30,   -1.33,   -1.04,    2.21,   0.40,   2.38,  -0.73,    1.52,    0.13
1989-07-31,    7.18,   -4.11,   -2.80,   5.32,   1.46,  -1.81,   -0.56,    2.05
1989-08-31,    1.43,    0.48,    0.62,  -0.49,   2.13,  -0.28,   -0.61,    0.36
1989-09-30,   -0.76,    0.47,   -1.27,   3.51,   1.08,  -2.65,    0.58,    1.39
1989-10-31,   -3.65,   -3.30,   -1.16,   1.35,  -4.33,  -3.56,   -0.11,    0.08
1989-11-30,    1.04,   -1.26,   -1.13,   2.70,  -1.71,  -1.21,    1.38,   -0.74
1989-12-31,    1.18,   -2.28,    0.15,   2.79,  -2.44,  -0.81,    1.31,   -0.07
1990-01-31,   -7.80,   -1.21,    0.83,  -2.98,   1.03,   3.40,    1.40,   -1.12
1990-02-28,    1.11,    1.15,    0.65,  -0.51,   0.49,   1.92,   -0.61,   -0.04
1990-03-31,    1.83,    1.59,   -2.90,   1.72,   0.20,  -0.28,   -0.94,    1.99
1990-04-30,   -3.36,   -0.35,   -2.57,   2.28,  -1.83,  -1.27,   -1.00,    1.78
