This file was created using the 202509 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
LT_Rev is the average of the returns on two (big and small) low prior return portfolios
minus the average of the returns on two high prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -60 to -13.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,LT_Rev
193101,   0.82
193102,   1.66
193103,   4.34
193104,  -1.42
193105,  -2.41
193106,   3.01
193107,   3.74
193108,  -3.66
193109,  -7.11
193110,   4.73
193111,   1.02
193112,  -6.53
193201,   6.38
193202,   2.24
193203,   1.05
193204,   1.10
193205,  10.27
193206,  -2.97
193207,  17.92
193208,  21.37
193209,  -8.32
193210,  -7.99
193211,  -7.70
193212,  -6.65
193301,   2.67
193302,  -3.51
193303,   6.47
193304,  38.66
193305,  33.07
193306,   8.99
193307,   1.37
193308,   4.23
193309, -12.10
193310,  -5.72
193311,   2.02
193312,   0.49
193401,  24.91
193402,   2.33
193403,  -1.80
193404,  -2.82
193405,  -7.38
193406,  -3.73
193407, -12.70
193408,   4.62
193409,  -0.18
193410,  -4.21
193411,   2.11
193412,  -2.71
193501,  -1.56
193502,  -8.81
193503,  -0.83
193504,   5.05
193505,   1.16
193506,   0.79
193507,   8.98
193508,  10.00
193509,  -0.50
193510,   6.27
193511,   7.43
193512,   0.98
193601,  12.30
193602,   1.81
193603,  -1.53
193604,  -7.20
193605,   3.39
193606,  -2.45
193607,   4.14
193608,   2.29
193609,  -1.02
193610,   1.57
193611,  -2.52
193612,   2.23
193701,   0.98
193702,  -0.48
193703,  -1.83
193704,  -0.08
193705,  -2.94
193706,   0.96
193707,  -1.43
193708,  -2.13
193709,  -2.70
193710,   2.21
193711,   2.85
193712,   0.95
193801,  -0.27
193802,  -3.71
193803,   8.10
193804,  -4.16
193805,   4.18
193806, -12.98
193807,  -2.34
193808,  -3.52
193809,  -0.58
193810,   5.14
193811,  -2.96
193812,  -1.24
193901,  -1.62
193902,   2.44
193903,  -7.16
193904,   1.14
193905,  -0.16
193906,  -5.07
193907,   1.10
193908,  -0.45
193909,  14.46
193910,  -4.29
193911,  -3.54
193912,  -1.90
194001,   3.46
194002,  -1.05
194003,  -1.06
194004,   1.29
194005,  -3.02
194006,   1.53
194007,  -1.12
194008,  -1.17
194009,  -1.78
194010,   0.36
194011,  -5.34
194012,  -2.72
194101,   2.95
194102,  -1.62
194103,   0.58
194104,  -0.72
194105,  -0.72
194106,  -0.32
194107,   8.88
194108,  -1.72
194109,  -3.62
194110,  -3.16
194111,  -1.75
194112,  -5.89
194201,  14.78
194202,   1.28
194203,  -0.12
194204,  -0.08
194205,  -3.47
194206,   0.08
194207,   3.55
194208,   0.05
194209,   3.14
194210,   8.89
194211,  -3.21
194212,   1.80
194301,  12.30
194302,   9.60
194303,   5.02
194304,   4.25
194305,   5.58
194306,  -1.29
194307,  -2.05
194308,  -0.59
194309,   2.88
194310,  -1.69
194311,  -4.16
194312,   3.28
194401,   2.44
194402,  -0.38
194403,   1.44
194404,  -0.52
194405,  -0.22
194406,   0.45
194407,   1.19
194408,   0.56
194409,   0.06
194410,  -0.77
194411,  -2.34
194412,  -0.34
194501,   0.60
194502,  -0.17
194503,   0.12
194504,  -1.83
194505,  -0.87
194506,   0.97
194507,   1.73
194508,  -0.50
194509,  -1.86
194510,  -3.63
194511,  -4.18
194512,  -1.44
194601,   1.26
194602,   2.05
194603,  -2.92
194604,  -0.58
194605,  -2.09
194606,   1.57
194607,   1.86
194608,   2.29
194609,   5.75
194610,   1.21
194611,   3.53
194612,   0.40
194701,  -0.36
194702,   0.63
194703,   2.97
194704,   5.16
194705,   3.16
194706,  -2.24
194707,  -3.69
194708,   2.37
194709,  -0.54
194710,  -1.05
194711,   1.85
194712,  -0.13
194801,   1.19
194802,   2.58
194803,  -1.54
194804,   0.29
194805,  -0.86
194806,   1.60
194807,   1.57
194808,  -0.91
194809,   1.24
194810,   0.37
194811,   0.75
194812,   0.66
194901,   0.78
194902,   1.03
194903,  -0.52
194904,   0.09
194905,   1.29
194906,  -0.74
194907,  -0.38
194908,  -1.51
194909,  -0.57
194910,  -0.23
194911,  -1.83
194912,   3.42
195001,   2.24
195002,  -0.02
195003,  -0.64
195004,   2.88
195005,  -2.86
195006,  -3.14
195007,   7.59
195008,  -3.21
195009,   0.32
195010,  -0.45
195011,   0.78
195012,   7.38
195101,   2.73
195102,  -3.15
195103,  -2.89
195104,  -0.31
195105,  -1.67
195106,  -4.57
195107,   1.07
195108,  -0.51
195109,   1.25
195110,  -0.61
195111,  -0.33
195112,  -2.14
195201,  -1.02
195202,   0.90
195203,  -2.36
195204,   1.83
195205,  -1.85
195206,  -1.83
195207,  -0.60
195208,   0.43
195209,   0.89
195210,   0.55
195211,  -0.78
195212,  -0.72
195301,   1.51
195302,   0.98
195303,   1.01
195304,   1.85
195305,  -1.24
195306,  -0.95
195307,  -0.60
195308,   0.78
195309,  -0.38
195310,  -3.46
195311,  -0.69
195312,  -1.23
195401,  -0.41
195402,  -0.94
195403,  -2.18
195404,  -3.08
195405,  -1.16
195406,  -1.14
195407,   0.72
195408,   0.14
195409,  -3.35
195410,  -0.98
195411,  -1.66
195412,  -0.03
195501,  -1.06
195502,  -1.81
195503,   0.07
195504,  -0.03
195505,  -0.05
195506,  -3.26
195507,  -0.34
195508,   0.14
195509,   0.06
195510,  -0.19
195511,  -3.14
195512,  -0.48
195601,   1.31
195602,  -1.78
195603,  -2.85
195604,  -1.15
195605,   0.10
195606,  -1.51
195607,  -1.91
195608,   0.61
195609,   1.04
195610,  -0.37
195611,   2.42
195612,  -1.30
195701,   4.94
195702,   1.10
195703,  -0.63
195704,  -1.89
195705,  -2.11
195706,  -1.51
195707,  -0.48
195708,   2.13
195709,   2.44
195710,  -0.11
195711,  -0.72
195712,   1.69
195801,   2.60
195802,   0.74
195803,  -0.50
195804,   1.14
195805,   0.31
195806,  -0.69
195807,  -2.08
195808,   0.62
195809,  -0.61
195810,  -1.18
195811,  -0.31
195812,  -0.33
195901,   1.90
195902,   0.34
195903,  -0.39
195904,  -0.44
195905,   0.92
195906,  -0.12
195907,  -0.38
195908,  -1.11
195909,  -0.24
195910,  -0.09
195911,  -0.34
195912,  -0.53
196001,   0.94
196002,  -0.83
196003,  -1.53
196004,  -1.18
196005,  -3.38
196006,   0.05
196007,   0.21
196008,   0.95
196009,   1.23
196010,   1.29
196011,  -2.53
196012,  -0.57
196101,   3.58
196102,  -2.80
196103,  -3.08
196104,   0.86
196105,   0.74
196106,  -1.68
196107,  -0.27
196108,  -1.66
196109,  -2.73
196110,  -0.41
196111,  -2.51
196112,   3.32
196201,   6.76
196202,   1.12
196203,  -1.12
196204,   0.53
196205,   3.34
196206,   1.71
196207,  -1.87
196208,  -1.09
196209,   1.76
196210,   0.82
196211,   0.81
196212,  -0.47
196301,   1.63
196302,   0.70
196303,   1.29
196304,   1.02
196305,   2.41
196306,  -0.21
196307,  -1.01
196308,   1.53
196309,  -0.13
196310,  -0.28
196311,   0.01
196312,   0.01
196401,   0.07
196402,   1.36
196403,   3.88
196404,  -2.49
196405,  -0.12
196406,  -0.50
196407,   0.05
196408,  -0.81
196409,   3.73
196410,  -0.72
196411,  -1.63
196412,  -1.63
196501,   2.36
196502,   2.86
196503,   0.61
196504,   0.18
196505,  -0.04
196506,  -1.84
196507,   1.52
196508,   1.61
196509,   1.99
196510,   0.90
196511,   0.98
196512,  -0.30
196601,   1.51
196602,   1.38
196603,   0.56
196604,   1.62
196605,  -0.94
196606,   1.42
196607,  -0.43
196608,   2.23
196609,  -1.57
196610,   0.08
196611,  -0.14
196612,   0.34
196701,   0.54
196702,   2.20
196703,  -0.73
196704,  -3.69
196705,  -0.30
196706,  -0.46
196707,  -1.58
196708,   0.27
196709,  -0.91
196710,   0.27
196711,  -2.13
196712,   1.78
196801,   6.11
196802,   2.52
196803,  -2.40
196804,  -4.73
196805,  -1.91
196806,   2.71
196807,   6.26
196808,   0.82
196809,  -0.08
196810,   2.67
196811,  -2.18
196812,  -0.89
196901,   2.55
196902,   2.45
196903,   0.02
196904,   0.11
196905,   1.50
196906,   1.49
196907,   3.03
196908,  -4.55
196909,  -1.03
196910,  -1.67
196911,  -0.51
196912,   0.18
197001,   4.15
197002,   2.38
197003,   5.19
197004,   6.86
197005,   4.08
197006,   3.21
197007,   1.61
197008,  -0.55
197009,  -7.54
197010,   0.88
197011,   2.01
197012,   1.07
197101,   1.32
197102,  -0.37
197103,  -1.93
197104,   1.52
197105,  -0.65
197106,  -1.01
197107,  -2.89
197108,   1.86
197109,  -1.70
197110,  -0.03
197111,  -0.87
197112,   0.78
197201,   2.96
197202,  -0.99
197203,  -1.56
197204,  -0.32
197205,  -1.20
197206,  -1.15
197207,  -0.25
197208,   3.07
197209,  -1.25
197210,   0.19
197211,   1.40
197212,  -2.33
197301,  -0.09
197302,  -0.22
197303,   0.87
197304,   2.48
197305,  -2.52
197306,  -0.35
197307,   0.59
197308,   0.32
197309,   5.71
197310,   2.23
197311,  -2.23
197312,   2.56
197401,   7.66
197402,   4.36
197403,  -0.27
197404,   1.22
197405,  -2.90
197406,  -1.92
197407,   3.21
197408,   2.03
197409,   0.84
197410,  -5.23
197411,   0.04
197412,  -3.99
197501,  14.67
197502,   0.14
197503,   4.97
197504,  -1.91
197505,   1.99
197506,   2.47
197507,   0.91
197508,  -2.39
197509,  -1.45
197510,   0.81
197511,   2.20
197512,  -0.36
197601,   9.20
197602,   4.97
197603,   0.28
197604,  -1.79
197605,  -3.40
197606,   1.82
197607,   0.30
197608,   0.35
197609,  -0.38
197610,  -1.70
197611,   1.29
197612,   2.79
197701,   0.86
197702,  -1.49
197703,  -0.75
197704,   0.21
197705,   0.26
197706,   3.21
197707,   1.37
197708,   3.41
197709,   0.42
197710,  -1.28
197711,   3.19
197712,  -1.79
197801,   1.45
197802,  -0.68
197803,   0.71
197804,   1.88
197805,  -0.06
197806,   0.05
197807,   0.66
197808,  -0.66
197809,  -0.63
197810,  -0.27
197811,  -0.87
197812,   0.16
197901,  -0.55
197902,   0.87
197903,  -0.29
197904,  -0.44
197905,   0.71
197906,  -2.60
197907,  -1.99
197908,  -1.64
197909,   0.16
197910,   1.50
197911,  -2.10
197912,  -0.41
198001,  -0.57
198002,  -0.04
198003,   2.67
198004,   0.01
198005,   0.86
198006,  -2.77
198007,  -1.56
198008,  -1.47
198009,  -1.81
198010,  -2.53
198011,  -7.82
198012,   3.48
198101,   7.64
198102,   2.51
198103,   1.44
198104,   2.79
198105,   1.64
198106,   1.08
198107,  -3.52
198108,   1.22
198109,   5.19
198110,  -4.89
198111,   0.72
198112,   1.30
198201,   6.34
198202,   5.96
198203,   3.91
198204,  -1.73
198205,   1.55
198206,   1.91
198207,   2.21
198208,  -0.88
198209,  -0.68
198210,  -0.60
198211,   1.10
198212,   1.00
198301,   0.09
198302,  -0.38
198303,   1.01
198304,   3.03
198305,  -2.01
198306,  -0.84
198307,   1.45
198308,   0.07
198309,   0.78
198310,   1.09
198311,  -1.31
198312,   1.31
198401,   4.13
198402,   0.25
198403,   0.87
198404,  -1.66
198405,  -0.21
198406,  -3.58
198407,  -1.54
198408,  -1.80
198409,   1.75
198410,  -1.51
198411,   0.89
198412,  -2.98
198501,  -1.76
198502,  -0.14
198503,  -1.05
198504,  -0.05
198505,  -3.82
198506,  -2.29
198507,   1.53
198508,   0.05
198509,  -0.77
198510,  -2.52
198511,  -2.25
198512,  -3.05
198601,  -2.76
198602,  -3.57
198603,  -2.53
198604,  -1.19
198605,  -1.48
198606,  -6.39
198607,  -3.83
198608,   4.66
198609,   3.90
198610,   0.83
198611,   0.19
198612,   0.54
198701,   3.29
198702,  -0.07
198703,   3.91
198704,   3.63
198705,   2.11
198706,  -1.57
198707,   2.25
198708,  -2.87
198709,   2.98
198710,  -5.68
198711,  -0.40
198712,   2.65
198801,  -1.63
198802,   1.36
198803,   1.18
198804,   0.42
198805,  -0.05
198806,   1.71
198807,  -1.41
198808,  -1.79
198809,  -1.99
198810,  -0.19
198811,  -0.79
198812,   0.74
198901,   2.89
198902,   0.89
198903,   0.48
198904,  -1.08
198905,  -1.75
198906,  -0.73
198907,  -1.81
