This file was created using the 202509 CRSP database.  It
contains a reversal factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
ST_Rev is the average of the returns on two (big and small) low prior return portfolios
minus the average of the returns on two high prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured as the most recent month's return.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,ST_Rev
192602,  -1.84
192603,  -5.93
192604,  -1.07
192605,  -1.30
192606,   4.00
192607,  -1.76
192608,   1.43
192609,  -0.07
192610,  -2.03
192611,   0.98
192612,   1.95
192701,  -2.00
192702,  -1.24
192703,  -3.60
192704,  -3.55
192705,  -1.03
192706,  -0.71
192707,  -0.97
192708,  -1.66
192709,  -1.06
192710,  -2.86
192711,   4.79
192712,  -0.34
192801,   0.68
192802,   0.15
192803,  -4.64
192804,  -0.67
192805,   3.35
192806,   1.19
192807,  -1.67
192808,   0.14
192809,  -0.57
192810,  -2.35
192811,  -1.66
192812,  -1.18
192901,  -6.64
192902,   0.05
192903,  -2.83
192904,   0.76
192905,  -2.59
192906,   1.47
192907,  -1.34
192908,  -1.74
192909,   1.53
192910,  -1.96
192911,  -8.20
192912,   1.71
193001,   5.31
193002,   0.26
193003,   1.95
193004,  -0.19
193005,   3.37
193006,  -6.82
193007,   6.36
193008,   2.20
193009,  -3.56
193010,  -4.34
193011,   1.98
193012,  -2.49
193101,  16.83
193102,  -2.33
193103,   5.08
193104,  -5.61
193105,  -3.63
193106,  17.80
193107,   8.18
193108,   1.20
193109,   4.92
193110,  19.24
193111,   1.73
193112,  -5.50
193201,  16.47
193202,   9.14
193203,  -0.69
193204,  -3.13
193205,  -1.20
193206,  15.82
193207,  -2.03
193208, -19.69
193209,   9.47
193210,  -1.35
193211,  -1.11
193212,  -1.37
193301,   7.54
193302,   3.38
193303,  10.11
193304, -12.58
193305,   0.29
193306,  -0.17
193307,   8.37
193308,   8.44
193309,  -0.12
193310,  -1.29
193311,   6.30
193312,  -0.76
193401,   9.43
193402,   2.36
193403,   1.34
193404,   0.22
193405,  -5.86
193406,  -0.78
193407,  -4.86
193408,  13.35
193409,   2.25
193410,  -0.16
193411,   2.02
193412,  -2.50
193501,   2.12
193502,  -3.66
193503,  -1.91
193504,   2.76
193505,   3.70
193506,   2.68
193507,  -0.87
193508,  -3.60
193509,  -0.63
193510,   1.75
193511,   5.53
193512,  -3.02
193601,  -1.41
193602,   2.02
193603,   1.61
193604,  -0.65
193605,   2.97
193606,   1.22
193607,   2.74
193608,  -0.42
193609,   1.31
193610,   0.28
193611,  -2.34
193612,  -3.43
193701,  -2.37
193702,   2.25
193703,  -2.97
193704,   1.51
193705,   0.02
193706,  -2.14
193707,   6.69
193708,   4.11
193709,  -6.47
193710,  -3.66
193711,  -1.61
193712,  -3.20
193801,   6.47
193802,   4.47
193803,   8.05
193804,  14.18
193805,   6.97
193806,  23.80
193807,  -4.18
193808,  -1.15
193809,   1.03
193810,   3.45
193811,   1.53
193812,   2.52
193901,   4.25
193902,   3.87
193903,   5.00
193904,   3.39
193905,   3.49
193906,   3.56
193907,  13.91
193908,   7.04
193909,  19.93
193910,  12.96
193911,  -8.97
193912,  -0.64
194001,   3.04
194002,   2.74
194003,   1.83
194004,   2.07
194005,  -0.39
194006,   5.71
194007,   2.48
194008,   1.24
194009,  -0.55
194010,   0.30
194011,   0.98
194012,   2.19
194101,   4.10
194102,   0.59
194103,   1.83
194104,  -1.92
194105,   1.04
194106,   1.12
194107,   0.93
194108,   0.84
194109,  -0.41
194110,  -1.92
194111,  -1.99
194112,  -2.01
194201,   9.57
194202,   0.89
194203,  -1.93
194204,   0.68
194205,  -0.29
194206,   0.71
194207,   2.33
194208,   0.17
194209,   1.15
194210,  -1.40
194211,   6.47
194212,   2.13
194301,   5.93
194302,  -5.64
194303,  -2.08
194304,   0.84
194305,  -0.64
194306,   1.96
194307,   0.38
194308,   2.32
194309,   0.51
194310,   3.08
194311,  -0.37
194312,   8.62
194401,   1.18
194402,   0.23
194403,  -0.23
194404,   1.94
194405,   2.53
194406,  -1.38
194407,   3.08
194408,   2.31
194409,   1.22
194410,   0.51
194411,   0.69
194412,  -1.72
194501,   3.32
194502,   0.89
194503,   3.63
194504,   4.08
194505,   2.15
194506,  -0.05
194507,   3.44
194508,   1.93
194509,   0.12
194510,  -1.23
194511,  -1.85
194512,   2.35
194601,   1.88
194602,   2.88
194603,  -1.16
194604,  -4.50
194605,   2.19
194606,   1.53
194607,  -0.60
194608,  -1.07
194609,  -2.95
194610,   1.13
194611,  -0.01
194612,   0.00
194701,   4.62
194702,   0.83
194703,   0.33
194704,  -2.83
194705,  -2.03
194706,   0.41
194707,   2.20
194708,   1.59
194709,  -0.40
194710,   2.25
194711,   0.05
194712,  -0.62
194801,   3.99
194802,   0.68
194803,   6.07
194804,  -0.33
194805,   1.07
194806,   1.09
194807,   1.46
194808,   0.58
194809,   0.35
194810,   2.52
194811,   3.96
194812,   0.10
194901,   4.33
194902,  -1.11
194903,   2.62
194904,   0.55
194905,  -1.73
194906,  -0.27
194907,   2.63
194908,   1.14
194909,   0.43
194910,   0.53
194911,   0.36
194912,   0.65
195001,   0.73
195002,   1.12
195003,   0.92
195004,   2.04
195005,  -1.11
195006,   1.04
195007,   0.61
195008,   5.28
195009,   0.35
195010,   2.72
195011,   1.07
195012,  -5.69
195101,   3.02
195102,   2.54
195103,  -0.34
195104,   1.76
195105,   1.86
195106,  -1.98
195107,   3.99
195108,   0.17
195109,   1.18
195110,   2.40
195111,   1.07
195112,   1.42
195201,   1.79
195202,   1.07
195203,   0.69
195204,   0.38
195205,   1.65
195206,   0.74
195207,   1.10
195208,   0.36
195209,  -1.20
195210,   0.77
195211,   1.86
195212,   2.07
195301,   2.13
195302,  -0.58
195303,   0.63
195304,   0.66
195305,   0.33
195306,  -0.09
195307,   0.85
195308,   0.35
195309,  -0.77
195310,   0.22
195311,  -0.18
195312,  -1.38
195401,   5.00
195402,   1.23
195403,   0.10
195404,  -1.42
195405,   2.57
195406,   1.92
195407,   1.27
195408,   2.08
195409,  -0.34
195410,   0.33
195411,  -0.56
195412,  -0.26
195501,   1.73
195502,   1.61
195503,   1.21
195504,   1.32
195505,   0.07
195506,  -0.84
195507,  -1.43
195508,   2.58
195509,   2.51
195510,  -0.06
195511,   3.57
195512,  -0.07
195601,   0.92
195602,   2.93
195603,  -2.38
195604,  -1.50
195605,   2.01
195606,   0.99
195607,  -1.20
195608,   2.08
195609,  -1.36
195610,   0.54
195611,  -1.44
195612,   0.03
195701,   3.60
195702,  -0.09
195703,   1.08
195704,  -0.58
195705,   0.08
195706,  -0.85
195707,   0.52
195708,   0.35
195709,  -4.00
195710,  -3.45
195711,  -0.11
195712,  -1.20
195801,   5.52
195802,   1.79
195803,   1.00
195804,  -0.42
195805,   1.37
195806,   1.97
195807,   2.83
195808,   1.71
195809,   2.52
195810,   1.34
195811,   0.71
195812,   1.73
195901,   1.11
195902,   0.60
195903,   0.41
195904,   0.76
195905,  -0.78
195906,   0.88
195907,  -0.11
195908,  -0.49
195909,  -0.09
195910,   1.09
195911,  -1.57
195912,   1.46
196001,   3.68
196002,  -0.52
196003,  -0.82
196004,  -2.30
196005,  -3.54
196006,   1.16
196007,   1.11
196008,  -1.65
196009,  -0.01
196010,  -2.19
196011,   1.15
196012,   0.80
196101,   1.30
196102,   1.33
196103,   1.47
196104,   1.95
196105,   3.57
196106,   1.36
196107,   1.36
196108,   1.00
196109,  -1.62
196110,  -1.41
196111,  -0.44
196112,   1.17
196201,   0.94
196202,   0.86
196203,   0.83
196204,  -0.84
196205,  -0.22
196206,  -2.91
196207,   3.52
196208,  -0.14
196209,   2.40
196210,  -2.06
196211,   5.21
196212,   5.05
196301,   4.61
196302,   1.38
196303,   1.50
196304,  -0.97
196305,   0.08
196306,   1.83
196307,  -0.07
196308,   1.42
196309,   1.20
196310,  -1.57
196311,   1.15
196312,   0.27
196401,  -0.36
196402,   0.22
196403,   0.29
196404,   3.52
196405,  -1.28
196406,   0.51
196407,   1.83
196408,  -1.14
196409,   1.25
196410,   1.02
196411,  -0.65
196412,   0.86
196501,   3.06
196502,  -0.53
196503,   1.41
196504,   0.41
196505,   0.20
196506,   0.24
196507,   2.64
196508,  -1.43
196509,  -1.35
196510,  -1.23
196511,  -2.42
196512,   2.66
196601,   0.45
196602,  -2.73
196603,  -0.36
196604,  -0.86
196605,   3.39
196606,   2.51
196607,   1.31
196608,   0.25
196609,   1.02
196610,  -1.44
196611,   8.96
196612,   0.23
196701,   3.54
196702,   1.25
196703,   1.87
196704,   0.55
196705,   1.80
196706,  -1.08
196707,   0.02
196708,   0.64
196709,  -0.57
196710,  -2.43
196711,   0.22
196712,  -0.05
196801,   3.72
196802,  -0.78
196803,   1.48
196804,  -0.73
196805,  -2.02
196806,   3.65
196807,  -1.37
196808,   0.63
196809,  -0.17
196810,   1.34
196811,   3.31
196812,   2.36
196901,   2.41
196902,   2.29
196903,   0.17
196904,  -1.05
196905,   1.37
196906,   0.20
196907,  -1.64
196908,   3.16
196909,   0.55
196910,  -0.33
196911,   0.98
196912,  -2.85
197001,  -0.27
197002,   2.85
197003,   0.66
197004,  -4.53
197005,  -3.23
197006,  -0.09
197007,   3.99
197008,   1.45
197009,   0.55
197010,   6.74
197011,  -0.47
197012,   2.49
197101,   1.95
197102,   1.66
197103,   0.10
197104,   0.78
197105,   0.50
197106,  -0.96
197107,   1.35
197108,   5.63
197109,   0.31
197110,  -1.25
197111,  -0.81
197112,   3.69
197201,  -0.60
197202,  -0.15
197203,   1.45
197204,   0.15
197205,  -0.88
197206,  -1.73
197207,  -2.35
197208,   0.77
197209,   1.48
197210,  -0.91
197211,   3.28
197212,   3.86
197301,  -1.43
197302,  -2.18
197303,   0.42
197304,  -0.66
197305,  -1.09
197306,   0.04
197307,   9.53
197308,   1.66
197309,   1.66
197310,   1.91
197311,  -4.73
197312,   0.53
197401,   9.26
197402,   0.78
197403,   4.17
197404,  -1.33
197405,  -2.62
197406,  -0.97
197407,   0.88
197408,   2.01
197409,   3.21
197410,   8.76
197411,  -0.33
197412,  -0.56
197501,  14.65
197502,   4.52
197503,   3.51
197504,  -0.46
197505,   3.80
197506,   3.25
197507,   1.25
197508,   0.63
197509,  -0.38
197510,   1.56
197511,  -2.54
197512,   3.49
197601,   2.92
197602,  -2.44
197603,   4.44
197604,   2.12
197605,  -0.88
197606,   0.64
197607,   1.69
197608,  -2.00
197609,  -0.28
197610,   1.16
197611,   0.59
197612,   3.62
197701,   0.55
197702,   1.34
197703,   1.09
197704,  -1.13
197705,  -0.33
197706,   0.14
197707,   1.03
197708,  -0.73
197709,   0.73
197710,   1.60
197711,   2.20
197712,  -0.11
197801,   1.03
197802,   1.16
197803,  -0.27
197804,   0.15
197805,   0.03
197806,   1.32
197807,   0.87
197808,   0.80
197809,   3.73
197810,  -1.88
197811,   9.02
197812,  -0.42
197901,   5.64
197902,   1.27
197903,   1.54
197904,  -0.42
197905,   1.09
197906,   1.27
197907,   0.64
197908,   0.83
197909,  -1.64
197910,  -1.96
197911,   1.39
197912,  -1.96
198001,  -3.41
198002,  -4.94
198003,   8.51
198004,   1.39
198005,   2.88
198006,   2.24
198007,   2.95
198008,  -0.81
198009,  -1.47
198010,  -2.06
198011,  -9.74
198012,   6.42
198101,  -2.26
198102,  -2.37
198103,   1.63
198104,  -1.44
198105,  -3.82
198106,   4.75
198107,  -0.57
198108,  -0.62
198109,  -1.27
198110,   4.46
198111,   2.77
198112,   1.64
198201,  -1.37
198202,  -4.35
198203,  -1.84
198204,   1.64
198205,   2.11
198206,   0.17
198207,  -2.87
198208,   1.30
198209,   4.35
198210,   3.05
198211,  -4.51
198212,   3.85
198301,   3.18
198302,   2.65
198303,   0.34
198304,  -0.58
198305,   2.70
198306,   0.23
198307,   1.98
198308,  -0.67
198309,   2.39
198310,  -1.64
198311,   4.93
198312,   1.98
198401,   0.70
198402,  -2.11
198403,   2.51
198404,   1.59
198405,   0.89
198406,   1.11
198407,  -1.46
198408,   7.27
198409,   4.28
198410,  -1.16
198411,  -0.59
198412,   0.84
198501,   2.17
198502,   2.48
198503,  -1.33
198504,  -2.40
198505,  -0.61
198506,  -0.80
198507,   3.63
198508,   1.82
198509,  -1.82
198510,   0.70
198511,   2.43
198512,  -0.35
198601,   0.76
198602,  -1.73
198603,  -0.13
198604,   2.78
198605,   1.04
198606,  -2.48
198607,  -2.93
198608,   1.23
198609,  -0.29
198610,   3.64
198611,   0.70
198612,   0.44
198701,   0.50
198702,  -1.16
198703,   1.85
198704,  -1.89
198705,  -0.22
198706,   0.13
198707,  -0.23
198708,   2.57
198709,  -0.44
198710,  -0.28
198711,  -0.74
198712,   5.86
198801,   7.81
198802,   4.36
198803,  -0.99
198804,   0.31
198805,   0.63
198806,   1.90
198807,   3.38
198808,  -1.96
198809,  -0.15
198810,  -0.94
198811,  -0.67
198812,   2.31
198901,   1.10
198902,   1.08
198903,  -0.88
198904,  -0.61
198905,  -2.70
198906,   2.38
198907,   1.46
198908,   2.13
198909,   1.08
198910,  -4.33
198911,  -1.71
198912,  -2.44
199001,   1.03
199002,   0.49
199003,   0.20
199004,  -1.83
199005,  -0.36
199006,  -0.10
199007,  -0.74
199008,  -3.70
199009,  -6.04
199010,  -2.73
199011,   5.74
199012,  -2.93
199101,  -1.87
199102,   2.03
199103,   0.55
199104,   1.73
199105,   0.14
199106,   2.10
199107,   2.24
199108,  -2.84
199109,  -0.68
199110,  -1.14
199111,  -0.42
199112,   0.83
199201,   5.20
199202,  -2.91
199203,  -1.04
199204,  -3.42
199205,  -0.16
199206,   0.95
199207,   2.02
199208,  -1.52
199209,  -1.03
199210,  -0.11
199211,  -1.02
199212,   1.22
199301,  -0.41
199302,  -1.44
199303,  -0.95
199304,  -1.65
199305,   1.39
199306,   2.20
199307,  -2.63
199308,   1.26
199309,   0.74
199310,   1.92
199311,  -1.37
199312,   1.12
199401,   1.65
199402,   0.46
199403,   0.07
199404,  -0.40
199405,   0.07
199406,   0.10
199407,   1.41
199408,   1.40
199409,  -0.71
199410,  -0.19
199411,  -2.00
199412,   0.81
199501,   4.06
199502,   2.34
199503,  -0.03
199504,  -0.45
199505,  -0.44
199506,   1.11
199507,  -2.05
199508,   1.28
199509,  -0.85
199510,  -1.02
199511,   0.61
199512,  -0.97
199601,   1.18
199602,   2.22
199603,  -0.11
199604,   0.67
199605,  -1.00
199606,  -0.23
199607,  -2.44
199608,   2.49
199609,   0.52
199610,  -1.11
199611,   0.20
199612,   0.58
199701,   2.70
199702,   1.24
199703,   0.87
199704,   2.41
199705,   2.92
199706,   0.76
199707,   3.89
199708,  -0.06
199709,   1.71
199710,  -0.91
199711,  -1.95
199712,  -2.87
199801,   5.03
199802,   1.87
199803,   1.83
199804,   1.74
199805,   0.72
199806,  -1.38
199807,  -1.95
199808,  -2.86
199809,   3.03
199810,   9.11
199811,   1.35
199812,  -1.67
199901,  -2.25
199902,   2.45
199903,   0.16
199904,   2.12
199905,   1.15
199906,   1.33
199907,   1.56
199908,  -3.44
199909,  -0.40
199910,  -1.48
199911,   0.58
199912, -14.19
200001,   2.62
200002, -13.40
200003,  10.09
200004,  -2.08
200005,  -8.83
200006,  12.26
200007,   6.64
200008,   0.45
200009,   2.26
200010,  -4.78
200011, -14.63
200012,  -6.97
200101,  16.68
200102,  12.53
200103,  -7.60
200104,   9.82
200105,   3.85
200106,   0.75
200107,   1.17
200108,  -3.73
200109,  -4.99
200110,  14.94
200111,  -3.12
200112,   1.61
200201,   1.94
200202,   0.09
200203,   2.77
200204,   2.19
200205,  -2.60
200206,  -3.62
200207,   1.32
200208,   1.44
200209,  -1.73
200210,   7.38
200211,  -0.01
200212,  10.83
200301,   0.29
200302,  -0.69
200303,   0.03
200304,   3.04
200305,  -1.49
200306,  -0.10
200307,   2.37
200308,  -1.54
200309,   4.48
200310,   2.19
200311,  -1.48
200312,   1.86
200401,   2.31
200402,   1.53
200403,  -2.15
200404,  -0.22
200405,   2.28
200406,   0.31
200407,  -1.33
200408,  -2.31
200409,   3.09
200410,   0.24
200411,   1.49
200412,   0.97
200501,   1.50
200502,  -2.47
200503,   0.09
200504,  -1.83
200505,   3.17
200506,   0.04
200507,  -0.11
200508,  -1.36
200509,  -3.65
200510,   1.40
200511,   0.11
200512,   2.01
200601,  -1.02
200602,   3.35
200603,  -0.03
200604,  -0.32
200605,  -0.04
200606,  -0.62
200607,   0.21
200608,   1.64
200609,   0.77
200610,  -0.28
200611,  -0.95
200612,   2.41
200701,   1.15
200702,   0.18
200703,  -2.06
200704,  -0.30
200705,  -1.02
200706,  -0.64
200707,  -3.65
200708,  -2.57
200709,   0.33
200710,  -3.97
200711,  -1.72
200712,  -2.06
200801,   6.89
200802,   4.98
200803,  -0.38
200804,   3.16
200805,  -2.16
200806,  -7.11
200807,   8.02
200808,  -0.38
200809,  -3.96
200810,  -9.56
200811,  -9.98
200812,   5.31
200901,   0.28
200902,  -6.67
200903,   3.07
200904,  -6.33
200905,  -2.73
200906,   4.78
200907,   4.40
200908,  -2.10
200909,   1.20
200910,   2.23
200911,   0.47
200912,   1.73
201001,   3.65
201002,   1.69
201003,   0.77
201004,  -1.84
201005,   0.51
201006,  -4.79
201007,   4.06
201008,   1.01
201009,   3.29
201010,  -1.20
201011,  -0.86
201012,   2.26
201101,  -0.09
201102,  -0.92
201103,  -0.82
201104,  -1.01
201105,  -1.22
201106,  -0.96
201107,  -1.16
201108,  -1.39
201109,  -9.53
201110,  12.19
201111,   1.26
201112,  -1.55
201201,   6.54
201202,  -0.37
201203,  -0.78
201204,  -0.43
201205,  -3.48
201206,  -0.81
201207,   1.37
201208,   3.03
201209,  -0.21
201210,   0.31
201211,   0.91
201212,   0.19
201301,  -1.54
201302,  -1.17
201303,  -1.90
201304,  -1.10
201305,   1.58
201306,   0.46
201307,   1.96
201308,  -0.78
201309,  -0.49
201310,  -0.13
201311,   0.63
201312,   1.28
201401,   0.30
201402,  -0.15
201403,   2.57
201404,  -2.10
201405,   0.54
201406,  -0.55
201407,   2.65
201408,   1.62
201409,  -0.30
201410,  -2.71
201411,  -3.31
201412,  -1.00
201501,  -0.48
201502,   3.73
201503,  -0.15
201504,   4.25
201505,   2.41
201506,  -3.56
201507,  -5.00
201508,   1.53
201509,  -3.20
201510,   0.96
201511,   0.18
201512,   1.17
201601,  -2.93
201602,  -0.95
201603,   1.56
201604,   0.42
201605,   0.15
201606,   1.45
201607,   4.51
201608,  -0.33
201609,   0.02
201610,   2.55
201611,   0.25
201612,  -1.22
201701,   3.31
201702,  -0.95
201703,  -0.93
201704,  -2.11
201705,  -3.27
201706,   4.12
201707,   2.00
201708,  -0.37
201709,   2.83
201710,  -0.65
201711,   0.42
201712,  -0.73
201801,   0.76
201802,  -1.08
201803,   0.32
201804,  -0.74
201805,  -0.15
201806,   0.77
201807,   1.64
201808,   1.68
201809,   0.07
201810,   1.19
201811,   1.19
201812,  -1.57
201901,   8.18
201902,  -0.11
201903,   0.09
201904,   0.86
201905,   0.72
201906,   3.77
201907,  -0.15
201908,  -2.38
201909,   5.12
201910,  -0.40
201911,  -0.22
201912,   0.63
202001,   2.56
202002,  -2.42
202003, -11.63
202004,  15.73
202005,  -3.28
202006,  -1.92
202007,  -3.03
202008,  -2.48
202009,   0.48
202010,   0.59
202011,   3.28
202012,  -3.14
202101,   0.80
202102,   4.43
202103,  -0.90
202104,   1.44
202105,   1.56
202106,   2.96
202107,  -0.66
202108,  -1.48
