ATQH_w,DVPQH_w,SALEQH_w,SEQQH_w,IBQH_w,NIQH_w,XIDOQH_w,IBADJQH_w,IBCOMQH_w,ICAPTQH_w,TEQQH_w,PSTKRQH_w,PPENTQH_w,CEQQH_w,PSTKQH_w,DLTTQH_w,PIQH_w,TXTQH_w,NOPIQH_w,AOQH_w,LTQH_w,DOQH_w,LOQH_w,CHEQH_w,ACOQH_w,DVQH_w,LCOQH_w,APQH_w,intercept,month_end
27756743.975448992,20051409762.62752,55448796.04304436,467293094.2277009,-18922414412.989117,768811447.147323,-7576264235.54485,-66345618.322262764,19487871839.052723,-290776445.92999154,-559.0038410683072,2705848382.582693,-35294854.79299827,-219718448.31416562,91539244.68655477,349687022.2164743,-1059309218.7845652,1276226235.0252979,-820787906.0286257,46387852.93537222,-20191799.68505519,539658353.6085904,-49060006.108325854,54384812.92289933,-500933232.8659887,-2.831108711001427e-06,-88396583.97491615,-124083263.13449064,362432978.40999335,1987-07-31
85982897.12744343,15517914161.363537,38266925.53063043,398389485.540089,-2101642228.8694491,300188911.4808845,-5102764018.690728,-8527274084.076245,10631110743.160164,-190878970.955933,28.568125665146688,1825697876.967294,-20167757.731981535,-285248184.6291475,-883095069.3223643,204423998.2850813,-104241808.30164817,437066862.4496034,-535359104.1323326,13729944.711490737,-59145716.43978033,12741759009.116331,-61213998.205711804,6971772.012831202,-424632724.50034994,2.1823908048972856e-07,-41759315.30265751,-169141103.4012882,330745773.6615393,1987-08-31
47065536.431445375,4793720072.735375,20110330.79866881,70514887.63072078,-8378401962.306942,435210623.257019,-541725769.7191814,-3839602992.321384,11180662158.383812,-55928817.90425032,-1651.946975167319,1498060540.5135431,-9472027.516506705,-65448425.88406903,-141116237.4767014,53979796.3247066,825185626.4832579,-722139648.8686743,-1180804103.403953,20191514.17715099,-30105958.361036494,5770875952.052227,-94108596.09633872,13869686.753001174,-150437181.06396216,-1.4167245471690836e-06,-29677113.056077566,-87545625.14660917,294498013.01058924,1987-09-30
25499364.80261294,25783368994.790375,28481553.70645029,494879415.3063947,-27481595909.24885,698711231.0674392,452178464.0974569,9233224488.183615,15086283455.46999,22281411.537100073,-1593.5031915659722,1338193045.5416472,-21670122.5130421,-547199817.8899962,-398578832.4568486,-16918996.168275855,2667542610.2830195,-2029001706.7991352,-987948090.8675562,24206925.75462443,14408054.031452399,4160196588.7702174,-137209655.821393,9106854.22631531,-165703794.59629765,-1.0185756444739747e-06,-171513688.20930845,-165318587.3413451,357452002.10576826,1987-10-30
165469212.54643783,16021473471.450726,71873827.4652438,223927220.9955332,-23880580449.796516,2810030388.17472,-3549612613.2214656,1626215639.223426,16678122193.075943,-104600901.604453,9168.1659755886,1585084284.1565294,-10106860.849794561,-292947631.48501134,-261635908.46239933,130607489.61736512,3118489490.3590746,-3275169715.854244,-1572511270.0010912,28157671.582467586,-171078639.50441086,7323652378.202701,-36143040.65362818,34208961.66308973,6319552.409922069,-5.176406047690444e-07,-131685916.3270588,-154677797.1919384,377128705.421906,1987-11-30
95805398.02969067,-18782864858.194565,34017157.01111684,-9685016.055595478,-5592921656.556676,3474093399.3950973,-1963805888.1109903,4877038847.42153,-1795297606.704591,-101217125.28320298,5820.234298237734,2637305445.3005147,-25821292.155838717,34902957.629169926,53507852.029151164,123184564.14012611,-600484918.4213514,1364693519.8621676,-1303783266.2080953,-12118882.544667132,-62740750.21627144,-10424572291.67109,-27999103.176488202,-550574.1121699477,-219503800.8175242,-1.0912940334901933e-06,-231097635.82876632,-179189803.54944578,426791526.2947965,1987-12-31
109481911.54660356,-5045950490.84523,43257813.857122384,-685311730.054749,-9003191577.609829,2723205340.8385477,-1991259384.0430996,4015753397.4276876,4539622570.10765,60190719.15777977,66.64640554971125,2375447613.8435736,-13401513.011798574,516172206.5289743,373020874.2606456,-37745965.40812622,-1957928913.938768,2674381164.686555,-880341506.7174509,-5444607.183457927,-100470228.05035906,-0.2131910528409257,17937130.678299204,7302125.054146714,-145167996.82614824,0.0,-160145810.73397067,-127888634.43795729,411244380.9436879,1988-01-29
-15295922.118841233,-23967049008.448887,8329787.855603361,-645868935.2829381,5907811894.906806,4445450871.146897,341395962.53711915,-116182047.68594691,-7708938798.188088,73686922.828783,15101.84979215419,2356565802.7442613,-21930863.31435,592903701.8505021,960887531.0749576,-42357901.9808898,-2014853784.824802,2321920429.7598467,-649491828.5077552,18913081.567275956,36230122.47691177,-34697733970.66781,-109654616.19476835,-14868691.615728384,-92454005.18999578,-1.101988633947579e-06,-179773499.00466958,-83123225.16418605,428352867.1329625,1988-02-29
92340786.34059246,-13796153802.684097,2129052.5350522753,289466375.0374903,-2348965766.010823,729904919.280062,-414731479.1586709,-1540166643.5502934,4458622107.867074,-47973079.28095869,-141.5299094301789,1371825974.1361532,-8451819.75713277,-340588253.48122615,-173219347.0102715,60242295.87547545,-1129988903.4949358,1422013467.676752,-270762446.6432621,13554882.309606362,-84032144.50152192,-0.1381586285946418,-32341078.42716665,7111286.806279616,-144434484.77792025,0.0,-23774402.85841568,-48049848.05857908,405195037.1797611,1988-03-31
147744174.40801066,-22426205307.90966,-350227.60022588517,-139773709.51101655,-5441076310.278505,1709067882.3402765,-568395880.4421941,-1577212178.38653,6605931882.607938,-207585460.09445104,-5288.67931293866,1944915937.3657966,-12518326.76794268,198695872.69440216,480930232.39669985,228342134.13654882,-1120224177.8904085,1262019840.3599875,-495192028.09589237,14585732.747659141,-135264368.84072942,55995090035.692215,-44365219.918520875,12385112.523331972,-138043422.98953938,7.365137950357785e-07,-37519188.540869884,-66048086.293487646,413348067.6848869,1988-04-29
66498747.68102205,-32188537148.00509,9315614.124571586,87017446.74714404,-6746285203.285882,954528919.493738,590907988.5869985,-3278150458.168049,9005149427.58512,6255564.34041034,-366.036852988953,1825702044.3123288,-21850044.152173456,-164447818.71361598,462037632.120621,8467310.811766183,202463461.85950693,-112893748.54169858,-11031977.159397775,18477886.98618066,-35563209.046184346,23628800778.907967,-49719655.29360246,7381752.362235162,-184024939.02547783,-1.1885536170581612e-06,-61421522.99692539,-118405020.10329826,378997598.76453394,1988-05-31
-1140408.9280764891,-37671425699.54677,9500692.065367969,-296226831.3483293,-8484079407.473644,916281494.0382468,-1507036091.2885869,-2369457655.4671307,10346828712.31747,95659020.58616248,-71.5141242474101,2135221504.6139174,-14141253.274406495,191833507.08507308,926345095.7132825,-82010160.09474367,-297903603.2502912,559439999.3408885,-324955878.2672252,34055120.410159744,15918847.364731383,26879335430.148148,-90155297.65106973,822540.435475673,-154448124.46262962,-5.352314300874862e-07,-15439363.091236614,-83369298.39932819,360966887.16157186,1988-06-30
