Panel,Specification,Signal,Coefficient,t-statistic,p-value,Significant (5%)
Full Sample,5,OLS,-0.0011,[-0.10],0.9228,No
Full Sample,6,TS,-0.0058,[-0.94],0.3496,No
Full Sample,7,LASSO,0.0111,[0.63],0.5271,No
Full Sample,8,PLS,0.0073,[0.96],0.3368,No
Full Sample,9,XGB,0.0044,[0.62],0.5374,No
Subsample 1993-2012,1,OLS,-0.0056,[-0.70],0.4829,No
Subsample 1993-2012,2,OLS,-0.0134,[-1.53],0.1266,No
Subsample 1993-2012,3,OLS,-0.0103*,[-1.78],0.0750,No
Subsample 1993-2012,4,OLS,-0.0049,[-0.65],0.5170,No
Subsample 1993-2012,5,OLS,-0.0049,[-0.65],0.5170,No
Subsample 1993-2012,6,TS,-0.0055,[-1.38],0.1670,No
Subsample 1993-2012,7,LASSO,0.0035,[0.52],0.6007,No
Subsample 1993-2012,8,PLS,-0.0075,[-1.21],0.2246,No
Subsample 1993-2012,9,XGB,0.0027,[0.56],0.5769,No
