Date,Open,High,Low,Close,Adj Close,Change,Pct Change,Volume,Day VWAP,IV30,IV30 Change,IV30 Pct Change,Call Option Volume,Put Option Volume,Call Open Interest,Put Open Interest
4/28/2025,162.5,163.15,158.6,160.61,160.61,-1.35,-0.0083,26870850,,30.26,-0.4,-0.013,204130,97471,1916118,1228532
4/25/2025,165,166.1,161.04,161.96,161.96,2.68,0.0168,56033995,162.9791,30.66,-11.96,-0.2806,685573,278395,1998932,1340041
4/24/2025,156.13,159.59,155.79,159.28,159.28,3.93,0.0253,45893951,158.2553,42.62,0.74,0.0177,497876,245333,1868674,1234640
4/23/2025,155.66,157.525,153.81,155.35,155.35,3.88,0.0256,31128833,155.7941,41.88,-0.94,-0.022,190811,84720,1827172,1210078
4/22/2025,148.89,152.19,148.54,151.47,151.47,3.8,0.0257,26971774,150.4894,42.82,-1.13,-0.0257,123540,53504,1802714,1194862
4/21/2025,148.93,148.945,146.1,147.67,147.67,-3.49,-0.0231,26049115,147.2017,43.95,1.1,0.0257,167578,77576,1728404,1174074
4/17/2025,154.21,154.68,148.5,151.16,151.16,-2.17,-0.0142,33046576,151.1998,42.85,-0.42,-0.0097,181733,171217,1964784,1268268
4/16/2025,152.99,155.89,151.51,153.33,153.33,-2.98,-0.0191,28187421,153.6075,43.27,2.37,0.0579,218409,136540,1926822,1269898
4/15/2025,159.06,159.65,155.21,156.31,156.31,-2.76,-0.0174,27551534,156.8872,40.9,-0.7,-0.0168,141578,103270,1903873,1249171
4/14/2025,159.87,161.72,157.56,159.07,159.07,1.93,0.0123,30332957,159.7038,41.6,-4.25,-0.0927,184774,111516,1858926,1212037
4/11/2025,152.89,157.67,152.82,157.14,157.14,4.32,0.0283,33636239,156.0475,45.85,-5.61,-0.109,256936,82063,1926298,1281192
4/10/2025,156.65,157.72,149.93,152.82,152.82,-5.89,-0.0371,48021972,153.8666,51.46,10.89,0.2684,203463,108274,1860127,1270278
4/9/2025,144.4,159.55,143.905,158.71,158.71,14.01,0.0968,64373030,151.8954,40.57,-16.99,-0.2952,270790,145017,1809950,1232209
4/8/2025,151.18,152.24,143.03,144.7,144.7,-2.05,-0.014,52200208,148.1387,57.56,3.07,0.0563,275170,131299,1799522,1199162
4/7/2025,141.24,152.85,140.53,146.75,146.75,1.15,0.0079,76794136,145.9327,54.49,-1.99,-0.0352,297602,141368,1677734,1185350
4/4/2025,148.1,151.07,145.38,145.6,145.6,-5.12,-0.034,62259539,148.1481,56.48,13.3,0.308,278405,217843,1736083,1208137
4/3/2025,151.09,152.7799,150.39,150.72,150.72,-6.32,-0.0402,46883371,151.5594,43.18,5.33,0.1408,243518,188668,1684672,1197857
4/2/2025,155.1,158.4052,154.7,157.04,157.04,-0.03,-0.0002,25041730,156.7097,37.85,0.88,0.0238,119249,57774,1659048,1189674
4/1/2025,153.85,158.1,153.62,157.07,157.07,2.43,0.0157,30672899,156.5099,36.97,-0.02,-0.0005,173234,94253,1630254,1169482
3/31/2025,153.17,155.54,150.662,154.64,154.64,0.31,0.002,54603464,153.1394,36.99,0.93,0.0258,219103,120545,1569805,1153633
3/28/2025,160.45,161.82,153.63,154.33,154.33,-7.91,-0.0488,48669335,156.2026,36.06,5.22,0.1693,359176,216711,1622171,1178578
3/27/2025,164.63,165.42,162,162.24,162.24,-2.82,-0.0171,24508273,163.4828,30.84,0.42,0.0138,143594,85766,1597073,1175635
3/26/2025,168.99,169.61,164.84,165.06,165.06,-5.5,-0.0322,28939326,166.9588,30.42,3.45,0.1279,116616,71575,1581663,1160650
3/25/2025,169.04,170.63,168.315,170.56,170.56,2.88,0.0172,24174373,169.7263,26.97,-0.2,-0.0074,159703,70477,1565157,1138076
3/24/2025,167.05,168.32,165.14,167.68,167.68,3.69,0.0225,30879129,167.2484,27.17,-1.05,-0.0372,138892,67742,1531725,1121164
3/21/2025,161.28,164.24,160.8901,163.99,163.99,1.19,0.0073,36625764,162.8244,28.22,-0.72,-0.0249,167827,87592,1875827,1274232
3/20/2025,161.43,164.89,160.96,162.8,162.8,-1.09,-0.0067,28138464,162.9736,28.94,0.56,0.0197,151605,127774,1845629,1281169
3/19/2025,161.85,165.87,161,163.89,163.89,3.22,0.02,31174626,163.3496,28.38,-2.18,-0.0713,151118,102776,1834614,1267714
3/18/2025,163.6,164.25,156.72,160.67,160.67,-3.62,-0.022,42074751,159.5356,30.56,1.79,0.0622,307147,161825,1752353,1225381
3/17/2025,165.12,166.3,163.67,164.29,164.29,-1.2,-0.0073,31184335,164.8639,28.77,-1.21,-0.0404,156160,68177,1706351,1223639
3/14/2025,163.12,166.49,162.45,165.49,165.49,2.73,0.0168,31995894,164.3375,29.98,-3.55,-0.1059,259555,115403,1805914,1246648
3/13/2025,165.81,166.13,162.11,162.76,162.76,-4.35,-0.026,31756214,163.518,33.53,1.7,0.0534,248183,131479,1752628,1258059
3/12/2025,166.48,167.6399,163.53,167.11,167.11,3.07,0.0187,28372396,165.9515,31.83,-3.34,-0.095,190140,98959,1714409,1241950
3/11/2025,165,166.75,161.37,164.04,164.04,-1.83,-0.011,39587414,164.3496,35.17,-1.01,-0.0279,208472,129525,1670656,1219527
3/10/2025,168.13,168.46,163.69,165.87,165.87,-7.79,-0.0449,43604027,165.7254,36.18,5.43,0.1766,294138,160808,1612653,1192279
3/7/2025,171.1,174.97,170.27,173.86,173.66,1.51,0.0088,27385813,172.6887,30.75,-1.26,-0.0394,287570,116318,1718625,1224051
3/6/2025,170.75,174.81,170.5,172.35,172.35,-0.67,-0.0039,28301953,172.673,32.01,2.62,0.0891,192076,129871,1712958,1205447
3/5/2025,170.46,173.78,169.06,173.02,173.02,2.1,0.0123,30954922,171.5443,29.39,-2.26,-0.0714,150086,81842,1702764,1189394
3/4/2025,166.11,173.2946,165.8,170.92,170.92,3.91,0.0234,45387996,169.6312,31.65,1.06,0.0347,321972,142125,1647868,1163469
3/3/2025,171.98,173.37,165.93,167.01,167.01,-3.27,-0.0192,40770451,169.0031,30.59,1.75,0.0607,224630,79839,1620514,1155219
2/28/2025,168.64,170.61,166.77,170.28,170.28,1.78,0.0106,48130565,168.6704,28.84,-2.21,-0.0712,318776,146371,1721889,1155623
2/27/2025,174,174.56,167.94,168.5,168.5,-4.23,-0.0245,39991015,170.2857,31.05,2.5,0.0876,377299,161600,1643880,1144526
2/26/2025,174.95,176.08,171.5807,172.73,172.73,-2.69,-0.0153,35431268,173.758,28.55,0.76,0.0273,367597,136128,1550217,1119819
2/25/2025,178,178.74,174.6939,175.42,175.42,-3.83,-0.0214,41913411,176.2745,27.79,1.42,0.0538,326754,144997,1482245,1102494
2/24/2025,181.87,183.12,178.885,179.25,179.25,-0.41,-0.0023,29854206,180.5919,26.37,-0.23,-0.0086,213031,84224,1417431,1079003
2/21/2025,185.12,185.34,179.08,179.66,179.66,-4.9,-0.0265,35199239,181.1738,26.6,2.52,0.1047,362253,156392,1644033,1162809
2/20/2025,184.75,185.31,182.72,184.56,184.56,-0.71,-0.0038,20441462,184.102,24.08,-0.33,-0.0135,164900,100985,1619249,1151042
2/19/2025,184.33,185.46,183.59,185.27,185.27,1.5,0.0082,19549396,184.6327,24.41,-0.41,-0.0165,166575,56836,1597620,1139508
2/18/2025,185.51,185.96,181.7401,183.77,183.77,-1.46,-0.0079,29916675,183.6391,24.82,-0.62,-0.0244,301441,73981,1565240,1118706
2/14/2025,185.03,186.4,184.32,185.23,185.23,-0.91,-0.0049,20448437,185.2318,25.44,0.33,0.0131,299705,86292,1658846,1142346
2/13/2025,184.2,186.28,183.14,186.14,186.14,2.53,0.0138,21402523,184.5225,25.11,-0.15,-0.0059,238232,100950,1608231,1137506
2/12/2025,183.16,185.11,181.83,183.61,183.61,-1.71,-0.0092,22072559,183.5259,25.26,0.29,0.0116,219669,73457,1588670,1129655
2/11/2025,185,186.94,184.28,185.32,185.32,-1.15,-0.0062,21239519,185.2662,24.97,0.32,0.013,217782,75215,1540436,1117924
2/10/2025,187.44,188.2,185.86,186.47,186.47,1.13,0.0061,23105649,186.8488,24.65,-1.79,-0.0677,209531,105561,1490279,1093118
2/7/2025,190.91,191.18,183.24,185.34,185.34,-6.26,-0.0327,49314961,186.1531,26.44,1.83,0.0744,703141,305759,1563627,1129829
