,cash,short_term_investments,accounts_receivable,inventory,ppe_net,total_liabilities,shareholders_equity,operating_cf,capex,dividends,sales,cogs,oibdp,net_income,interest_expense,current_ratio,quick_ratio,debt_to_assets,debt_to_equity,roa,asset_turnover,ocf_to_debt
cash,1.0,0.9087704418236044,0.6146068977164195,0.45219859753367575,0.1369337829205776,0.8254911423223604,0.562208671301371,0.3363789126801955,0.13534963784565204,0.26427409328128804,0.29252665465089805,0.18675552497339004,0.49799872021787367,0.2991721641808792,0.4909826066500159,-0.0029848755068774707,-0.0027025353749209283,-0.0018006119744115757,-0.0010592035047610397,0.0007729286162440899,-0.0002204585865642836,0.0008822994934295852
short_term_investments,0.9087704418236044,1.0,0.5466626648844071,0.4476566759457823,0.09705623238794125,0.745715175565776,0.5672751002294317,0.22464359791785943,0.07879572392258644,0.27685852050416293,0.2515181262331252,0.14706900346287463,0.4543180844758909,0.28015488777133984,0.46031050070892143,-0.0011506701127731393,-0.0009518011754297797,-0.0014962160593596542,-0.0011475959110824635,0.0006028530189504102,-0.00017592535190002847,8.848642600112418e-05
accounts_receivable,0.6146068977164195,0.5466626648844071,1.0,0.2408216253111755,0.09300584880531902,0.8980277783666627,0.42614654080640024,0.2477942500801415,0.10054308389454696,0.21833247364656835,0.25988760798204835,0.1377718593218362,0.5639426851305994,0.2508283937709841,0.8676848276858057,-0.004667758013439543,-0.004420747713556596,-0.0015718195218680617,-0.006753688422952521,0.0007202858685574168,-0.00021311786017544324,-0.00022599279151072776
inventory,0.45219859753367575,0.4476566759457823,0.2408216253111755,1.0,0.13373476094735812,0.3088317822406449,0.27055994313835174,0.0852298140273106,0.1362057951637801,0.15951686314766836,0.23791695506180394,0.2043753210773257,0.30269108805917444,0.16868462931151856,0.26607466556363646,-0.0046382032783463915,-0.004901609339926699,-0.0012892303431412807,-0.000482575618646384,0.0006227749305334912,-0.0001599374233275929,-0.00025649306797172243
ppe_net,0.1369337829205776,0.09705623238794125,0.09300584880531902,0.13373476094735812,1.0,0.17395601278896644,0.6470223651345005,0.5515890157319263,0.878180212667726,0.5493946438455846,0.731080610693886,0.6952032166309294,0.6521854365495602,0.46454652340499486,0.14513985494827514,-0.005533683074794587,-0.0052114760487515085,-0.003579770810557139,-0.0005461353607336841,0.001832235093814756,-0.00045960132754888,-0.0003739439453449325
total_liabilities,0.8254911423223604,0.745715175565776,0.8980277783666627,0.3088317822406449,0.17395601278896644,1.0,0.6319836576944381,0.35192190780951843,0.17316983467479447,0.3458125411694731,0.3641248398426568,0.24521013052521315,0.6109207243354492,0.30619963403872513,0.7779623093882052,-0.006284542399390019,-0.005908887664112065,-0.0023284445765559803,-0.006342023301074277,0.0009575381056374954,-0.00028329730977101316,-0.00023867585808465293
shareholders_equity,0.562208671301371,0.5672751002294317,0.42614654080640024,0.27055994313835174,0.6470223651345005,0.6319836576944381,1.0,0.6351804167467474,0.6537877561409591,0.6214424991290927,0.7224550173540547,0.6162531968144762,0.7901832994742053,0.632288549608989,0.3179032968545898,-0.004758512364300389,-0.004518072739409349,-0.00422619482221012,-0.0007660708513496238,0.002149601226191639,-0.0004906922372548973,0.0018308533270415233
operating_cf,0.3363789126801955,0.22464359791785943,0.2477942500801415,0.0852298140273106,0.5515890157319263,0.35192190780951843,0.6351804167467474,1.0,0.5724080608291405,0.5423369043385795,0.5906766228297463,0.5038906317896338,0.6470062785748177,0.5465049421847268,0.16028539213634438,-0.004837455299479178,-0.00454375408394555,-0.003239367316940721,-0.0012196657151316585,0.0014362370668403212,-0.0015555518021033493,0.004548644386991148
capex,0.13534963784565204,0.07879572392258644,0.10054308389454696,0.1362057951637801,0.878180212667726,0.17316983467479447,0.6537877561409591,0.5724080608291405,1.0,0.5513666128917559,0.7207692300418945,0.6686299127202421,0.672743432009685,0.48596312356399124,0.17968022333579767,-0.0048436305483010225,-0.004529777132630914,-0.003757054173292601,-0.0007524927407973198,0.001716400144970335,-0.003723851123598722,0.0006496226446816531
dividends,0.26427409328128804,0.27685852050416293,0.21833247364656835,0.15951686314766836,0.5493946438455846,0.3458125411694731,0.6214424991290927,0.5423369043385795,0.5513666128917559,1.0,0.6104172099624737,0.5097012455886996,0.6768145139144838,0.6251415636759303,0.22133638853639337,-0.004086829702075311,-0.0038536427008729664,-0.0034620727950306234,-0.00038521209909382625,0.0016098902009621964,-0.0003986284106005329,0.004339602285626657
sales,0.29252665465089805,0.2515181262331252,0.25988760798204835,0.23791695506180394,0.731080610693886,0.3641248398426568,0.7224550173540547,0.5906766228297463,0.7207692300418945,0.6104172099624737,1.0,0.9676515959789824,0.7573391856182531,0.5863450290038504,0.2554796640853092,-0.005365442389787394,-0.005221527438676173,-0.004592606773994933,-0.0021566360217632236,0.002016191348880282,-0.0003577708444626441,0.0042068403998859385
cogs,0.18675552497339004,0.14706900346287463,0.1377718593218362,0.2043753210773257,0.6952032166309294,0.24521013052521315,0.6162531968144762,0.5038906317896338,0.6686299127202421,0.5097012455886996,0.9676515959789824,1.0,0.6008444916778773,0.46906789156183654,0.1600554433377512,-0.004893894820532912,-0.00478593195224553,-0.004108588949970013,-0.0012527136814105536,0.0017886098534846922,-0.0002635792759031874,0.002940833043438061
oibdp,0.49799872021787367,0.4543180844758909,0.5639426851305994,0.30269108805917444,0.6521854365495602,0.6109207243354492,0.7901832994742053,0.6470062785748177,0.672743432009685,0.6768145139144838,0.7573391856182531,0.6008444916778773,1.0,0.7310804368698358,0.5849915861758238,-0.005221299503129513,-0.004942441488559492,-0.0041072176493609095,-0.004007992570168681,0.001885309326736658,-0.00046465925598189375,0.0043669435411766416
net_income,0.2991721641808792,0.28015488777133984,0.2508283937709841,0.16868462931151856,0.46454652340499486,0.30619963403872513,0.632288549608989,0.5465049421847268,0.48596312356399124,0.6251415636759303,0.5863450290038504,0.46906789156183654,0.7310804368698358,1.0,0.15863840740379298,-0.002993776600196816,-0.0028671387883625644,-0.002895837116308153,0.0007967054567022638,0.003095940970560014,-0.0002897216054404934,0.006560678082322262
interest_expense,0.4909826066500159,0.46031050070892143,0.8676848276858057,0.26607466556363646,0.14513985494827514,0.7779623093882052,0.3179032968545898,0.16028539213634438,0.17968022333579767,0.22133638853639337,0.2554796640853092,0.1600554433377512,0.5849915861758238,0.15863840740379298,1.0,-0.007009784645221117,-0.006572760564485894,-0.0018328054135777886,-0.015372355764589101,0.0008822742923784976,-0.00024517050039687727,-0.0005293889438933319
current_ratio,-0.0029848755068774707,-0.0011506701127731393,-0.004667758013439543,-0.0046382032783463915,-0.005533683074794587,-0.006284542399390019,-0.004758512364300389,-0.004837455299479178,-0.0048436305483010225,-0.004086829702075311,-0.005365442389787394,-0.004893894820532912,-0.005221299503129513,-0.002993776600196816,-0.007009784645221117,1.0,0.9998665222151996,-0.0011576943776089612,-0.00026943262506457356,0.0004327207503122559,-0.000731362315086994,-0.0082098594783243
quick_ratio,-0.0027025353749209283,-0.0009518011754297797,-0.004420747713556596,-0.004901609339926699,-0.0052114760487515085,-0.005908887664112065,-0.004518072739409349,-0.00454375408394555,-0.004529777132630914,-0.0038536427008729664,-0.005221527438676173,-0.00478593195224553,-0.004942441488559492,-0.0028671387883625644,-0.006572760564485894,0.9998665222151996,1.0,-0.0010478943964274386,-0.00024114378726775156,0.000387249894021021,-0.0007369321511404495,-0.00885278188207874
debt_to_assets,-0.0018006119744115757,-0.0014962160593596542,-0.0015718195218680617,-0.0012892303431412807,-0.003579770810557139,-0.0023284445765559803,-0.00422619482221012,-0.003239367316940721,-0.003757054173292601,-0.0034620727950306234,-0.004592606773994933,-0.004108588949970013,-0.0041072176493609095,-0.002895837116308153,-0.0018328054135777886,-0.0011576943776089612,-0.0010478943964274386,1.0,-0.00010144160792343332,-0.08828277951479646,0.0018249578651144413,-0.00023021580420090203
debt_to_equity,-0.0010592035047610397,-0.0011475959110824635,-0.006753688422952521,-0.000482575618646384,-0.0005461353607336841,-0.006342023301074277,-0.0007660708513496238,-0.0012196657151316585,-0.0007524927407973198,-0.00038521209909382625,-0.0021566360217632236,-0.0012527136814105536,-0.004007992570168681,0.0007967054567022638,-0.015372355764589101,-0.00026943262506457356,-0.00024114378726775156,-0.00010144160792343332,1.0,8.663218291291945e-05,-2.3380969249387896e-05,-6.249224762527552e-05
roa,0.0007729286162440899,0.0006028530189504102,0.0007202858685574168,0.0006227749305334912,0.001832235093814756,0.0009575381056374954,0.002149601226191639,0.0014362370668403212,0.001716400144970335,0.0016098902009621964,0.002016191348880282,0.0017886098534846922,0.001885309326736658,0.003095940970560014,0.0008822742923784976,0.0004327207503122559,0.000387249894021021,-0.08828277951479646,8.663218291291945e-05,1.0,0.004443484947763681,0.00042899706579168143
asset_turnover,-0.0002204585865642836,-0.00017592535190002847,-0.00021311786017544324,-0.0001599374233275929,-0.00045960132754888,-0.00028329730977101316,-0.0004906922372548973,-0.0015555518021033493,-0.003723851123598722,-0.0003986284106005329,-0.0003577708444626441,-0.0002635792759031874,-0.00046465925598189375,-0.0002897216054404934,-0.00024517050039687727,-0.000731362315086994,-0.0007369321511404495,0.0018249578651144413,-2.3380969249387896e-05,0.004443484947763681,1.0,0.00047284727648993683
ocf_to_debt,0.0008822994934295852,8.848642600112418e-05,-0.00022599279151072776,-0.00025649306797172243,-0.0003739439453449325,-0.00023867585808465293,0.0018308533270415233,0.004548644386991148,0.0006496226446816531,0.004339602285626657,0.0042068403998859385,0.002940833043438061,0.0043669435411766416,0.006560678082322262,-0.0005293889438933319,-0.0082098594783243,-0.00885278188207874,-0.00023021580420090203,-6.249224762527552e-05,0.00042899706579168143,0.00047284727648993683,1.0
