var_a,var_b,delta_r
cash,operating_cf,0.17064281074013726
cash,interest_expense,0.1381298101476972
roa,asset_turnover,0.12715933151628567
operating_cf,interest_expense,0.12092003829114154
shareholders_equity,interest_expense,0.07682152746988025
inventory,interest_expense,0.07502238656807575
cogs,interest_expense,0.07284117707699655
inventory,operating_cf,0.06391365175408371
capex,interest_expense,0.06227094534455327
accounts_receivable,cogs,0.06138963159674615
short_term_investments,operating_cf,0.060409674226784754
dividends,interest_expense,0.058867506378052104
total_liabilities,operating_cf,0.05736462108978929
ppe_net,interest_expense,0.05253439813467781
capex,dividends,0.051059924140273716
total_liabilities,cogs,0.04999709100801511
short_term_investments,interest_expense,0.04375737792257628
dividends,cogs,0.0402639382547062
dividends,sales,0.03757399323174537
short_term_investments,cogs,0.03634761828963781
accounts_receivable,shareholders_equity,0.035066399925156144
capex,oibdp,0.03479385525443346
sales,interest_expense,0.03258938293667207
short_term_investments,accounts_receivable,0.03044773877828333
cash,accounts_receivable,0.030077791722954106
cash,cogs,0.0292988090278489
ppe_net,dividends,0.02811619677492949
accounts_receivable,dividends,0.027320848839456152
dividends,oibdp,0.026153038696320463
accounts_receivable,ppe_net,0.02437733192735965
net_income,ocf_to_debt,0.020695588054661495
interest_expense,debt_to_equity,0.020174091886944193
oibdp,ocf_to_debt,0.019324740231093936
ppe_net,total_liabilities,0.018772086010626715
net_income,roa,0.018240109493729215
accounts_receivable,sales,0.016265452044343764
dividends,ocf_to_debt,0.0161765191296113
short_term_investments,ppe_net,0.015464631906830478
total_liabilities,dividends,0.015367904447190106
shareholders_equity,dividends,0.01475405337023128
accounts_receivable,inventory,0.014725092859926514
accounts_receivable,capex,0.014416169300374648
ppe_net,oibdp,0.011238243638959644
cash,ppe_net,0.010435363341113946
operating_cf,ocf_to_debt,0.010311410864971187
shareholders_equity,ocf_to_debt,0.00905115104110108
accounts_receivable,debt_to_equity,0.008920476460992515
total_liabilities,debt_to_equity,0.008404402231160844
sales,ocf_to_debt,0.007647151902135366
short_term_investments,dividends,0.006727360252270942
inventory,shareholders_equity,0.0065371917786169464
total_liabilities,interest_expense,0.0063251707420770575
capex,ocf_to_debt,0.006179863461780518
short_term_investments,sales,0.005641695507119238
shareholders_equity,roa,0.005161040613081227
oibdp,debt_to_equity,0.005127649755489847
asset_turnover,ocf_to_debt,0.005121692508487869
capex,sales,0.003849695519798524
total_liabilities,capex,0.0037438379466292193
cash,ocf_to_debt,0.0029329069677985035
short_term_investments,ocf_to_debt,0.002878610238053211
accounts_receivable,operating_cf,0.002809379606353052
total_liabilities,sales,0.002724711540320446
capex,cogs,0.0027235586363763
ppe_net,ocf_to_debt,0.0026933166547363704
short_term_investments,shareholders_equity,0.002621875461508605
interest_expense,current_ratio,0.0024060267285727303
total_liabilities,current_ratio,0.0022318781726471774
net_income,current_ratio,0.0021688463172214135
interest_expense,quick_ratio,0.0021260711850860986
ppe_net,debt_to_equity,0.0020493422021594684
net_income,quick_ratio,0.0020426981543330003
total_liabilities,quick_ratio,0.002000651583734544
oibdp,current_ratio,0.0018303961370252702
ppe_net,current_ratio,0.0018123432306031391
sales,roa,0.001789249096185203
sales,current_ratio,0.0017027703385533869
inventory,quick_ratio,0.0016758010360189727
ppe_net,roa,0.0016755252105871887
cogs,roa,0.0016664300302081936
total_liabilities,asset_turnover,0.0016633239177483265
oibdp,quick_ratio,0.0016557272294248464
operating_cf,current_ratio,0.0016546802878346228
ppe_net,quick_ratio,0.0016183276769136962
sales,quick_ratio,0.0016120354759707727
shareholders_equity,asset_turnover,0.0015803542666654228
capex,roa,0.0015670140080489958
sales,cogs,0.0015581820766249477
shareholders_equity,current_ratio,0.0015496441238635494
oibdp,roa,0.0015421373150421502
inventory,current_ratio,0.0015306901911710303
capex,current_ratio,0.0015276350950355648
dividends,debt_to_equity,0.0015163473075796203
cogs,current_ratio,0.0015114435548199325
cogs,oibdp,0.0014693921734336701
operating_cf,quick_ratio,0.0014581957799618072
cogs,quick_ratio,0.0014441933582502418
accounts_receivable,current_ratio,0.0014293130198900954
dividends,roa,0.0014266404638543285
short_term_investments,debt_to_equity,0.0014205549740444255
shareholders_equity,quick_ratio,0.0013988816541770496
sales,debt_to_equity,0.0013842411515984398
accounts_receivable,asset_turnover,0.001349524453066706
capex,quick_ratio,0.0013379202961164801
accounts_receivable,quick_ratio,0.001283430801088909
cash,asset_turnover,0.0012452608096240787
dividends,current_ratio,0.0011508937373623245
oibdp,asset_turnover,0.0011404742640816782
short_term_investments,asset_turnover,0.001117763241728334
total_liabilities,ocf_to_debt,0.0011145892658365824
interest_expense,roa,0.0011114758257297294
cash,debt_to_equity,0.0010340322550177492
net_income,debt_to_assets,0.0010132511090862103
dividends,quick_ratio,0.0010124089284301785
inventory,cogs,0.0009773449083193275
net_income,asset_turnover,0.0009701644018450964
operating_cf,debt_to_equity,0.0009536671849802602
interest_expense,asset_turnover,0.0009113433255841177
ppe_net,asset_turnover,0.000908256608459146
accounts_receivable,ocf_to_debt,0.0008622802135748932
dividends,asset_turnover,0.0008062188707471566
capex,debt_to_equity,0.0008023302917562788
cash,sales,0.0007748728326833487
cash,current_ratio,0.0007401823279726801
operating_cf,roa,0.0007220697604445241
accounts_receivable,roa,0.0006775029354709745
cash,roa,0.0006498538255835181
inventory,ocf_to_debt,0.0006066397686172895
cash,quick_ratio,0.0005662499207961065
inventory,debt_to_equity,0.000515535228450686
inventory,roa,0.000494965015262503
short_term_investments,roa,0.0004907355625868741
total_liabilities,roa,0.00045441850714887265
inventory,asset_turnover,0.00043693438807475645
short_term_investments,current_ratio,0.00027680587081518686
cogs,ocf_to_debt,0.00026203610521754496
interest_expense,ocf_to_debt,0.00023367207644480652
current_ratio,debt_to_assets,0.0002251729620833566
current_ratio,quick_ratio,0.00019484230151112225
quick_ratio,debt_to_assets,0.0001815095152504836
short_term_investments,quick_ratio,0.00015180661996318614
cogs,debt_to_equity,0.00014659925870988194
debt_to_equity,asset_turnover,0.0001155092285240344
debt_to_equity,roa,0.0001125172640264545
debt_to_assets,ocf_to_debt,0.00010696299660550694
quick_ratio,roa,7.47455123201753e-05
current_ratio,roa,7.06501076218561e-05
current_ratio,debt_to_equity,4.8431732868133026e-05
quick_ratio,debt_to_equity,3.21359812068518e-05
debt_to_equity,ocf_to_debt,3.168420475799196e-05
roa,ocf_to_debt,-7.610735791487965e-05
debt_to_assets,debt_to_equity,-8.817642572936527e-05
cash,short_term_investments,-0.00019301586491782263
net_income,debt_to_equity,-0.00021675486094919767
operating_cf,debt_to_assets,-0.00027444751936341917
inventory,debt_to_assets,-0.0004310310943021862
cash,dividends,-0.0004862687345131289
short_term_investments,debt_to_assets,-0.000493146650011253
cash,debt_to_assets,-0.0006090872088651152
shareholders_equity,debt_to_equity,-0.0006237749301126382
accounts_receivable,debt_to_assets,-0.0007244638820078579
