,cash,short_term_investments,accounts_receivable,inventory,ppe_net,total_liabilities,shareholders_equity,operating_cf,capex,dividends,sales,cogs,oibdp,net_income,interest_expense,current_ratio,quick_ratio,debt_to_assets,debt_to_equity,roa,asset_turnover,ocf_to_debt
cash,1.0,0.9086279468915373,0.6404674553219747,0.43907602713123584,0.1458249558789984,0.8107567096298662,0.558344675619734,0.47369228352056,0.13146997586091555,0.26434042262671437,0.29337778546568605,0.21169182131532635,0.4368680269614478,0.15208899120751726,0.611695143231812,-0.002559255343243068,-0.0023969171810405607,-0.0023273106082223635,-0.00021334918232534026,0.0013909803176638219,-0.0004723666156837603,0.003465276780850947
short_term_investments,0.9086279468915373,1.0,0.572749400045369,0.4272616412761467,0.11019136025187423,0.7368693903771736,0.5696897337183785,0.2742828395410238,0.07785708102721152,0.2830567271296125,0.2564530934978986,0.17804043470538838,0.3900834496558371,0.13336957656483053,0.49785171963295666,-0.0009897164594865047,-0.000876938605443271,-0.001921537089718525,2.1212465933329743e-05,0.0010700985044052051,-0.0003644999427466582,0.0026215572022924957
accounts_receivable,0.6404674553219747,0.572749400045369,1.0,0.2534467435548815,0.11397812642701653,0.8980998448628524,0.45620473311578225,0.25268292010972315,0.1129620141727768,0.24209992703982108,0.27386665039860675,0.19052338916167832,0.4460108155497128,0.06285316529270178,0.7935157459587331,-0.0037942985302915665,-0.0036475484096904548,-0.0022007659204070873,0.0006965980679035428,0.0013620217041698777,-0.0004669077957153147,0.000540685370848107
inventory,0.43907602713123584,0.4272616412761467,0.2534467435548815,1.0,0.12387925090794426,0.30295953241839757,0.2761514858356147,0.13697084597023318,0.12634607796737377,0.15352432063748597,0.2257787966788439,0.20527947858253578,0.2554460745855194,0.058134333110326133,0.3321424649739463,-0.003681921318253602,-0.0038473325743942034,-0.0016605607796501107,-5.8155201790546784e-05,0.001094480312777297,-0.00036549005906849743,0.0002772133806209986
ppe_net,0.1458249558789984,0.11019136025187423,0.11397812642701653,0.12387925090794426,1.0,0.18989953708048,0.641397788081796,0.4304041075034902,0.8720544588386656,0.5738830980805792,0.7166496878758609,0.6770219086015498,0.6620868403980802,0.2724034492359419,0.19048706399779347,-0.004409792606624725,-0.004221405396251207,-0.0048248197547247915,0.0011601958837945709,0.0034204961260179364,-0.0011338025960826864,0.002017778971536082
total_liabilities,0.8107567096298662,0.7368693903771736,0.8980998448628524,0.30295953241839757,0.18989953708048,1.0,0.6316780060147428,0.3988338957527736,0.17647348357525272,0.35968608999629437,0.366814974536768,0.287641767254223,0.490893964850406,0.08260121098888687,0.7839595582430189,-0.004867434881909603,-0.004651470556555811,-0.003002125893029716,0.0005400658244403622,0.0014015257278528074,-0.0005950913921859177,0.0007409407764643548
shareholders_equity,0.558344675619734,0.5696897337183785,0.45620473311578225,0.2761514858356147,0.641397788081796,0.6316780060147428,1.0,0.5514117889168122,0.6413040220376931,0.6344516898540172,0.7095018361948733,0.6128979565338771,0.7641239340233781,0.40703438251434987,0.383935572755653,-0.003794035569674718,-0.003657977737099868,-0.005479859910465614,-0.0012906217818779938,0.00697534660152712,-0.0011328272937026406,0.009850806037953633
operating_cf,0.47369228352056,0.2742828395410238,0.25268292010972315,0.13697084597023318,0.4304041075034902,0.3988338957527736,0.5514117889168122,1.0,0.44036253817540694,0.45571813951591833,0.4846898305291944,0.40124182999971986,0.5746710192890787,0.31078851510425864,0.2644497295981044,-0.003806317282200311,-0.0036480631927879657,-0.003517601348991961,-0.0004907039646794208,0.002168753483938808,-0.01180624455432441,0.013388633933549868
capex,0.13146997586091555,0.07785708102721152,0.1129620141727768,0.12634607796737377,0.8720544588386656,0.17647348357525272,0.6413040220376931,0.44036253817540694,1.0,0.5958851403270917,0.7240843712084137,0.6709748526893105,0.7031367782208333,0.3388809604666939,0.23421978916446093,-0.003914972462384691,-0.003730630006816543,-0.005019847783580607,-8.484916060820096e-05,0.003202523041385764,-0.014040420007722536,0.006134185800867361
dividends,0.26434042262671437,0.2830567271296125,0.24209992703982108,0.15352432063748597,0.5738830980805792,0.35968608999629437,0.6344516898540172,0.45571813951591833,0.5958851403270917,1.0,0.6431864325789803,0.5447835526144993,0.6996835914585912,0.4022482701018672,0.27248782271779176,-0.0034166424452488427,-0.0032776412907456406,-0.00457496510255347,0.0008990899027628662,0.002964875124501835,-0.0009708283013310685,0.01878298184025748
