FYEAR,N,IQR,mean,p25,p50,p75,std,skew,min,max
1996,10283,96.09649999999999,837.4182600408442,2.183,14.525,98.2795,8964.266796659509,24.884567573600968,-0.001,412941.0
1997,10029,104.832,911.80561830691,2.412,16.297,107.244,9345.833090902985,21.81944101590039,0.0,358093.524
1998,10361,112.244,1086.9658028182607,2.147,16.89,114.391,12082.699033424773,21.707989792265163,0.0,418676.0
1999,10431,124.8695,1214.8616215127986,2.1895,17.993,127.059,13198.71682151553,21.970311139910233,0.0,526310.0
2000,9993,143.21800000000002,1496.429730911638,2.271,21.085,145.489,16190.697313919629,20.44383632581291,0.0,611928.0
2001,9445,146.97,1731.9188681842245,1.838,19.44,148.808,18536.132097386457,20.051687663809457,0.0,709872.0
2002,9016,160.93925,1929.051501774623,1.976,21.659,162.91525,20764.644992722795,19.856387794356724,-0.034,802608.0
2003,8744,186.74374999999998,2210.670943618481,2.0957500000000002,24.925,188.8395,23854.975377118386,19.97220832919427,0.0,912604.0
2004,8468,214.38425,2675.5325194851202,2.50475,29.3315,216.889,28916.822775564808,18.547098441174924,-0.167,917361.0
2005,8242,243.106,2857.5929451589423,3.0532500000000002,32.2485,246.15925,30692.627430907094,18.487021693142328,0.0,865967.0
2006,7877,270.054,3338.536227116923,3.5,36.656,273.554,36688.32841452663,18.66289051660488,0.0,1076248.741
2007,7539,301.543,4100.986986868285,3.6685,40.122,305.2115,47510.39279312146,22.55448912476943,0.0,2080955.253
2008,7299,299.8845,3796.0896224140292,4.051,41.642,303.9355,43850.15417807115,19.635443933791077,-0.006,1480786.286
2009,7172,295.5095,3921.3529496653655,4.00375,42.947500000000005,299.51325,45127.942116017584,18.880464172925212,0.0,1325930.038
2010,7082,327.02425,4602.275099830556,3.8565,47.087500000000006,330.88075,61060.75088646794,28.281567953037506,0.0,3053530.0
2011,7076,334.4915,4589.446229649519,3.56025,48.63,338.05174999999997,60249.15741583562,28.159781922480075,0.0,3013842.0
2012,7319,339.7765,4582.696787949173,2.444,47.317,342.2205,59116.70195008188,28.610581124365215,0.0,3047193.0
2013,7419,348.30350000000004,4658.013321202318,2.1285,45.645,350.432,59822.18132377728,28.503209519789728,0.0,3088257.0
2014,7190,387.93,4677.431442976356,2.743,53.4375,390.673,58561.04189104957,29.43027514404634,0.0,3070649.0
2015,6952,407.27,4700.679665995397,2.9844999999999997,57.0655,410.2545,58805.73725628785,29.649254821850793,0.0,3053092.0
2016,6784,434.08725,4862.26552446934,3.118,58.6275,437.20525,59896.51831409075,29.89375512512006,0.0,3101561.0
2017,6678,473.61575,5306.2445826594785,3.36,62.9315,476.97575,63587.209162586056,28.438663135646923,0.0,3192235.0
2018,6584,490.82325,5394.666579586877,3.2665,63.745,494.08975,64315.87849180045,29.181162581732625,0.0,3260070.0
2019,6661,478.51500000000004,5460.184052995046,3.217,59.235,481.732,65952.24284778385,29.352501061159348,0.0,3347053.0
2020,6882,448.12225,5525.501214617843,2.45825,49.9855,450.58050000000003,69654.15398255468,31.630113303041156,0.0,3666405.0
2021,6838,498.7115,5809.499327142439,3.3762499999999998,58.1025,502.08775,74846.33687390742,33.718491336438426,-0.007,3977869.0
2022,6515,566.063,6218.469244205679,3.5425,67.212,569.6055,78742.70691018834,34.10416696599553,0.0,4126749.0
