FYEAR,N,IQR,mean,p25,p50,p75,std,skew,min,max
1996,9284,21.13225,95.82319248168892,0.42974999999999997,3.106,21.561999999999998,638.4280398764107,22.099872525837917,-99.0,28443.0
1997,9056,24.8925,107.31305653710248,0.51475,3.4365,25.407249999999998,693.4618966980985,22.195121056092912,-8.352,31393.0
1998,9327,26.679000000000002,113.08886555162431,0.47,3.508,27.149,734.9200749998816,22.26533000224525,-0.159,33143.0
1999,9317,26.9,120.2709340989589,0.428,3.712,27.328,819.5710359059134,20.91751382856163,-55.869,30549.0
2000,8912,31.13725,141.15126772890486,0.4,4.311999999999999,31.53725,887.3202282860902,18.733227525448108,-4.0,31605.0
2001,8377,30.858,146.1867474036051,0.233,3.45,31.091,863.2546307500875,16.47020522620566,-0.167,27238.5
2002,8093,28.71,137.38847942666501,0.208,3.199,28.918,820.840271954604,15.97029250778749,-6.998,26384.454
2003,7853,30.082,136.65425009550492,0.2,3.226,30.282,791.6275297522103,15.634758975802866,-43.4,28369.704
2004,8424,32.64425000000001,148.80556576448242,0.355,3.622,32.99925,874.5845458469289,16.153001377725793,-8.52,33273.696
2005,8179,38.4275,164.79475901699476,0.421,4.274,38.8485,960.8860960840871,15.236313666346916,-104.963,32077.61
2006,7834,46.10175,203.77934120500382,0.498,5.1975,46.59975,1163.768934940966,14.913212371475016,-11.479,40595.292
2007,7495,55.894,239.65273035356904,0.508,5.617,56.402,1251.1078137579407,11.631040345159763,-28.61,27548.0
2008,7282,58.251999999999995,261.7005689371052,0.47224999999999995,5.849500000000001,58.72425,1387.721934484315,12.545054885302983,-295.13,35065.0
2009,7136,42.4085,224.7173417881166,0.313,4.2725,42.7215,1294.2278111102025,14.561295267430873,-401.609,37733.047
2010,7043,51.513000000000005,244.542552179469,0.318,5.165,51.831,1431.1336721639393,15.657234299172382,-0.564,45078.0
2011,7017,64.85799999999999,282.5108814308109,0.349,6.152,65.207,1591.217085076584,15.272020796894065,-17.731,48535.0
2012,7269,62.379999999999995,298.72679997248594,0.255,5.285,62.635,1714.6758859117656,14.727874728886757,-1.5,50038.363
2013,7368,64.97699999999999,304.98737255700325,0.191,4.9165,65.16799999999999,1798.234907861806,15.136875798003858,-0.373,50233.741
2014,7144,74.73275000000001,315.4610590705487,0.2515,5.936,74.98425,1677.0372600890441,13.546917133767204,-0.029,49407.053
2015,6903,76.75,303.2979833405766,0.25,5.688,77.0,1540.1962789853355,11.978056113032668,-2.752,36108.0
2016,6739,68.2815,281.0817824603057,0.232,5.462,68.5135,1395.7005390693519,11.558857658162053,-0.008,31787.0
2017,6634,73.99000000000001,295.9298260476334,0.24425,5.5655,74.23425,1455.6020636037754,11.890836224934537,-0.002,35233.389
2018,6546,79.72149999999999,319.2505893675527,0.27525,5.77,79.99674999999999,1560.2048015758344,11.35829858927034,-1.18,38852.346
2019,6628,74.78750000000001,316.18305914302954,0.255,6.112500000000001,75.0425,1603.7881397726264,12.332002571912657,-0.27,45912.092
2020,6844,56.5075,269.9848473115137,0.18175,4.551,56.68925,1473.94174278939,13.304913075339154,-3258.0,40140.0
2021,6859,63.225,291.8184650823735,0.281,5.723,63.506,1655.1866050254969,16.441817846807346,-0.54,61053.0
2022,6540,82.918,335.4859501529052,0.31975,7.539,83.23775,1790.3242953179652,15.294894404573323,-0.342,63645.0
