FYEAR,N,IQR,mean,p25,p50,p75,std,skew,min,max
1996,10363,33.23950000000001,228.00114194731253,1.357,7.785,34.596500000000006,2443.4430399079197,26.698641114960452,0.0,124828.098
1997,10101,37.168,268.69066161766165,1.612,8.934,38.78,3112.768460385619,26.623029289729363,0.0,132659.12
1998,10430,40.15624999999999,282.585515915628,1.496,8.7195,41.652249999999995,3094.628973862118,25.085663349554565,-0.003,124803.386
1999,10497,46.294,332.49768248070876,1.639,10.107,47.933,3826.863429885781,28.272583986565174,-0.055,194362.0
2000,10056,60.43475,385.43246449880667,1.56525,11.6025,62.0,4411.823521482284,25.527385113109812,-0.156,162470.066
2001,9502,67.41175000000001,495.4678941275521,1.4532500000000002,13.075,68.86500000000001,5865.327354572555,27.658892513912356,0.0,273035.305
2002,9066,73.99950000000001,556.2950135671741,1.702,15.1355,75.70150000000001,6305.498326430858,26.888351262396448,-0.134,316206.896
2003,8791,88.44300000000001,667.2196986690934,2.2885,17.921,90.73150000000001,7816.426350376805,31.219743459801617,0.0,434655.089
2004,8516,105.715,831.7990346406764,2.999,22.157,108.714,9948.631011860485,28.815406905485798,-0.011,511253.067
2005,8292,112.36874999999999,878.0190084418716,3.67,24.848,116.03875,10918.344004000235,28.546874013808043,-0.034,540098.874
2006,7938,127.39099999999999,994.8616909800958,4.1685,27.956,131.55949999999999,12735.443908433537,29.97659300198722,-0.004,623959.82
2007,7602,139.77275,1180.9710278873981,5.178,30.066000000000003,144.95075,14401.385051742725,25.287128298444156,-0.01,535019.023
2008,7354,142.20525,1095.9162810715256,4.77025,30.075499999999998,146.9755,11697.468926411271,22.043627566418905,-0.006,368149.0
2009,7223,177.22299999999998,1269.4250317042781,5.4385,37.401,182.6615,13516.168595707539,25.65075816847057,-0.007,592643.965
2010,7132,196.3075,1460.1629687324732,5.73575,41.180499999999995,202.04325,15061.245206083757,21.524099684127517,-0.008,527306.832
2011,7116,191.03775,1523.9929599494099,5.5112499999999995,41.001000000000005,196.54899999999998,15742.972254205937,20.311317926933476,0.0,481362.673
2012,7367,183.0755,1530.8841980453374,4.6395,38.188,187.715,15442.932232124149,20.334029121841493,-0.21,496114.591
2013,7473,193.239,1627.0624771845312,4.914,38.799,198.153,17049.033210093254,20.501213848563964,-0.004,603938.0
2014,7239,207.3425,1659.4210223787816,6.254,44.888,213.5965,17209.90589368822,22.416118124861544,0.0,728111.0
2015,7003,207.98499999999999,1645.8948516350135,7.131,48.159,215.11599999999999,16576.09279971345,20.860160190992,-1.346,573080.0
2016,6838,230.7335,1816.2600291020767,7.756,50.093500000000006,238.4895,18746.644633067936,22.080432759895128,-8.03,648038.025
2017,6731,253.49,2064.4562907443174,7.8055,53.392,261.2955,21459.7748369569,21.412602258855284,-2.826,768210.644
2018,6639,265.178,2039.6288840186776,9.01,58.9,274.188,22172.35511985958,21.7004984051048,0.0,772024.42
2019,6724,271.37825000000004,2052.099976353361,9.454,60.9815,280.83225000000004,22816.605906258,24.447058965699043,0.0,953005.136
2020,6963,396.1055,2636.747895160132,13.549,91.456,409.6545,28418.638269666244,23.02094537585479,-0.012,1058786.122
2021,6911,425.442,2773.963019678773,19.5535,110.288,444.9955,29747.48361745011,22.453968041756898,0.0,1007320.545
2022,6588,364.85849999999994,2647.2128292349726,15.0665,89.0865,379.92499999999995,28672.73399485893,22.15367795734189,0.0,963606.456
