FYEAR,N,IQR,mean,p25,p50,p75,std,skew,min,max
1996,10314,227.69475,733.8619405662206,8.344249999999999,40.34,236.039,3951.441994023523,16.64334575523345,-1.398,126523.0
1997,10062,257.12125000000003,796.2588744782349,9.32575,46.4935,266.447,4138.781759159088,15.98744128655826,-0.137,128568.0
1998,10393,266.452,850.4711928220919,8.501,45.751,274.953,4272.868414189723,14.487507957543372,0.0,119616.0
1999,10451,272.63100000000003,935.8009064204382,7.9685,43.817,280.59950000000003,4829.172292015055,14.682941353050415,-0.069,129023.0
2000,10023,315.01500000000004,1105.9969813429113,8.792,52.017,323.807,5622.20157442077,14.04737504344825,-366.645,159794.0
2001,9454,346.72975,1196.8828877723715,8.275,52.8395,355.00475,5899.354700542957,13.45550660056083,0.0,168862.0
2002,9032,364.4265,1223.9889687776795,7.97825,52.458,372.40475,6300.448065611335,14.249009608195355,-188.341,188738.0
2003,8743,406.73150000000004,1350.1784154180486,7.6715,55.596,414.403,7033.371171820735,14.56350371624439,-141.556,195247.0
2004,8484,464.056,1550.1790278170674,8.37125,62.0495,472.42724999999996,8148.3473608191525,15.178337014309145,-111.344,240391.0
2005,8242,525.2885,1627.2990810482893,10.0595,66.5215,535.348,8483.596981769053,15.862793792431768,-55.186,253592.0
2006,7890,600.6455,1869.7452316856782,12.222750000000001,77.70400000000001,612.86825,9491.77511718759,14.38093535347264,0.0,258693.0
2007,7554,680.1899999999999,2144.711443208896,13.627749999999999,85.72200000000001,693.8177499999999,10766.806065681076,13.774323204015927,-1.477,284799.0
2008,7341,761.001,2357.5699167688326,15.501,100.69,776.502,12189.507219531983,15.685349002606367,-12424.689,383557.0
2009,7204,693.036,2180.0267431982234,14.36625,94.69800000000001,707.40225,10366.858393110608,12.37591988999891,-191.173,297500.0
2010,7099,724.02,2357.49772432737,12.661999999999999,94.105,736.682,11788.433876099287,13.65105263311081,-310.359,307749.0
2011,7082,782.58925,2622.7476366845526,11.14075,97.8505,793.73,13953.322633081163,15.501535934813653,-205.601,396533.0
2012,7335,773.1035,2609.9504478527606,7.5329999999999995,84.275,780.6365000000001,14243.700189530238,15.895985475040156,-141.291,408296.015
2013,7439,797.4025,2585.806013442667,6.3475,79.266,803.75,14298.45756587526,16.074378311951666,-8016.0,435726.253
2014,7209,882.631,2634.4657561381605,7.025,94.531,889.656,13972.333229094365,15.690034095156305,-447.682,417157.915
2015,6967,920.076,2474.5578646476242,7.906000000000001,101.995,927.982,11875.229666431935,13.201676195983396,-669.218,351530.0
2016,6804,899.28075,2448.6772808641977,7.9247499999999995,100.7645,907.2055,11616.210576513038,12.748978389317278,-9.836,351176.0
2017,6687,944.0575,2722.002654852699,8.6425,105.537,952.7,13307.943017317992,12.94423412001755,-252.337,362867.0
2018,6595,990.0134999999999,2850.211767096285,9.859,115.833,999.8725,14371.55872813571,13.893524815659877,-112.108,381623.895
2019,6670,961.3075,2899.3656500749626,10.9965,120.0875,972.304,14722.224976802427,13.490266124618095,-832.846,391464.613
2020,6887,837.2139999999999,2630.2892195440686,9.335,104.448,846.549,13407.326225614594,13.48503680964092,-3.836,409163.0
2021,6902,932.51,2944.0297215299915,7.02775,103.5205,939.53775,15308.891495664568,13.564870733710066,-3703.0,418342.0
2022,6584,1133.3314999999998,3463.358429981774,10.73825,133.12150000000003,1144.0697499999999,17841.91817320934,13.158310201761836,-23105.164,452776.0
