FYEAR,N,IQR,mean,p25,p50,p75,std,skew,min,max
1996,11237,2.811,26.686671798522738,0.0,0.0,2.811,151.48047776756383,16.777252942632497,-0.279,5756.0
1997,10893,2.887,29.141948866244377,0.0,0.0,2.887,161.85805208559037,14.22151245657439,0.0,5550.0
1998,11200,2.41075,33.588026517857145,0.0,0.0,2.41075,244.81928589957326,25.560878288344703,0.0,11749.345
1999,11455,2.2495000000000003,33.10793705805325,0.0,0.0,2.2495000000000003,197.4483032290854,13.617392870359954,0.0,5836.0
2000,11106,2.3895,36.66381271384837,0.0,0.0,2.3895,223.70644167356488,13.874783239736361,-1.933,6123.0
2001,10583,2.3945,39.36326911083814,0.0,0.0,2.3945,245.5517004056962,14.377423204461053,0.0,6555.0
2002,10158,2.64375,43.513832250442995,0.0,0.0,2.64375,273.02492469246795,14.18901735912495,0.0,7266.0
2003,9899,3.903,50.750583796343065,0.0,0.0,3.903,307.13158270933576,12.840389990381844,0.0,7759.0
2004,9634,6.67225,63.47109373053768,0.0,0.0,6.67225,373.14823613033883,12.594550953601015,0.0,8594.0
2005,9376,9.45675,77.5916163609215,0.0,0.0,9.45675,579.3743386007617,33.27943115129084,0.0,36968.0
2006,8990,11.45425,90.22673893214683,0.0,0.0,11.45425,523.3717029308959,12.06496707917502,0.0,10675.0
2007,8623,13.6585,111.41903873361939,0.0,0.0,13.6585,632.8437343913168,12.296264186330774,0.0,19043.0
2008,8340,12.77375,101.40771822541966,0.0,0.0,12.77375,560.154622270699,11.673093936756324,-0.064,12649.0
2009,8161,8.031,80.11212829310134,0.0,0.0,8.031,471.11887474173847,12.388331488977935,0.0,10899.0
2010,8120,10.598500000000001,89.73610997536946,0.0,0.0,10.598500000000001,480.1200114026408,10.65544481113311,-10.0,10196.0
2011,8126,13.55375,103.29821831159242,0.0,0.0,13.55375,555.0697820468606,11.139788555028163,-0.914,13082.0
2012,8355,19.274,112.55012675044884,0.0,0.0,19.274,576.9307950040659,11.123242374941029,0.0,15681.0
2013,8405,19.947,125.5479777513385,0.0,0.0,19.947,940.4229113456815,46.47052619760137,-0.637,67643.805
2014,8204,26.299,126.30880460750853,0.0,0.0,26.299,608.3577918399992,10.243844960682623,-0.042,11843.0
2015,7995,31.084,137.03723314571607,0.0,0.0,31.084,672.1886303990239,11.45957244553965,-0.121,16041.0
2016,7792,31.7245,139.9465694301848,0.0,0.0,31.7245,654.0258419087621,10.449413307422423,-1.661,14959.0
2017,7637,34.997,155.4525839989525,0.0,0.0,34.997,724.1457115358469,10.48987192136952,0.0,16297.435
2018,7529,38.916,168.0938299907026,0.0,0.0,38.916,809.9983404358843,11.15132618874071,0.0,18589.0
2019,7609,37.272,170.72850545406757,0.0,0.0,37.272,794.5630185870185,10.092506499305786,0.0,15198.0
2020,7864,25.232,149.50354336215665,0.0,0.0,25.232,740.8843663652989,10.578524504905069,-0.053,15483.0
2021,7813,29.654,169.079324203251,0.0,0.0,29.654,806.5275825308943,10.34147224782778,-2.473,16871.0
2022,7449,37.201,198.36311330379917,0.0,0.0,37.201,980.0424860132235,13.917436385818979,-1.0,36323.0
