FYEAR,N,IQR,mean,p25,p50,p75,std,skew,min,max
1996,10285,28.712,143.05183150218767,0.0,2.761,28.712,1770.3628949443555,44.42141432964579,0.0,113796.0
1997,10049,31.921,179.44487342024084,0.0,2.976,31.921,2712.489673675534,40.75616685246354,0.0,139969.0
1998,10391,30.5615,189.62984948513136,0.0,2.48,30.5615,2648.62672449149,35.633691953382694,0.0,119845.0
1999,10530,29.205,201.7923319088319,0.0,1.9605000000000001,29.205,2844.647481670113,34.68175579354689,0.0,136222.0
2000,10146,31.756,249.76687926276367,0.0,1.9529999999999998,31.756,3798.2747890451324,32.22753496102256,0.0,156336.255
2001,9615,32.0865,268.88912709308374,0.0,1.934,32.0865,4279.351102270251,36.53011021604738,0.0,239719.243
2002,9215,34.5955,305.01126218122624,0.0,2.145,34.5955,4820.736160808938,35.91509771973761,0.0,268514.422
2003,8964,34.70375,364.83332585899154,0.0,1.9715,34.70375,6386.673275998772,38.5218244104621,0.0,372998.384
2004,8707,40.313500000000005,463.69559388997357,0.0,1.983,40.313500000000005,8320.842132663334,37.09320492012808,0.0,463874.869
2005,8482,44.489000000000004,470.0192534779533,0.0,2.222,44.489000000000004,8266.108880778705,34.76195543891757,0.0,379751.293
2006,8114,52.68525,519.2622395859009,0.0,2.598,52.68525,9102.455600637366,36.44224381310745,0.0,393925.0
2007,7781,58.612,596.3864278370389,0.0,2.967,58.612,11079.887868236963,36.57264667486303,0.0,472266.229
2008,7548,63.43475,468.98393110757814,0.0,3.757,63.43475,7547.108557771039,38.13277872916422,0.0,342868.923
2009,7420,63.385999999999996,514.4185586253369,0.0,4.013999999999999,63.385999999999996,8242.970730660418,34.545807937711054,0.0,342402.0
2010,7338,71.26675,562.3407962660125,0.0,4.085,71.26675,9035.011038749288,33.55506575053314,0.0,373176.433
2011,7319,77.8865,563.6204194562099,0.0,4.122,77.8865,8270.363431799473,33.55493533068326,0.0,364206.0
2012,7583,73.529,566.3385392324938,0.0,3.104,73.529,8526.59270026551,34.49299318913502,0.0,407011.0
2013,7694,64.2335,518.2318571614245,0.0,2.229,64.2335,7591.69345216371,36.21601713902158,0.0,340503.0
2014,7452,71.31925,515.1084661835749,0.0,2.5025,71.31925,7339.18569121051,35.95431641316648,0.0,335575.0
2015,7216,69.58775,519.2518395232817,0.0,2.415,69.58775,6859.570883818601,34.43177415020077,0.0,313463.0
2016,7041,70.368,526.0513794915495,0.0,2.089,70.368,6969.440777073272,35.23027070557885,0.0,341053.0
2017,6919,72.99,572.8738696343402,0.0,1.999,72.99,7603.253015069275,35.298159520522624,0.0,374508.0
2018,6817,70.0,596.1849725685786,0.0,1.615,70.0,7747.686599141881,35.096484809705174,0.0,366227.0
2019,6900,66.72175,604.0587057971014,0.0,1.4795,66.72175,8049.117401373167,34.983396208033334,0.0,402390.0
2020,7150,63.975,657.7641489510489,0.0,1.165,63.975,9722.162890526826,36.520967924490265,0.0,503428.0
2021,7102,77.0,709.3826132075471,0.0,1.495,77.0,9638.70293971342,36.295625668466386,0.0,481195.0
2022,6770,91.67150000000001,730.0990951255538,0.0,1.697,91.67150000000001,8966.497409281641,35.663781107810514,0.0,466080.0
