FYEAR,N,IQR,mean,p25,p50,p75,std,skew,min,max
1996,10325,19.13,59.266468861985466,-1.214,2.17,17.916,326.78210416166814,10.96942094707606,-2701.0,8897.0
1997,10084,22.530250000000002,63.64469704482348,-2.05025,2.3055,20.48,369.6374945455273,10.175735542156316,-5821.597,8460.0
1998,10412,22.18025,63.444608144448715,-3.657,1.4264999999999999,18.52325,499.62610616967106,25.93960303054484,-2893.153,26305.0
1999,10455,24.1765,75.84906829268293,-4.128,1.262,20.0485,472.60327924705194,10.048647114110574,-6456.255,10717.0
2000,10023,27.7395,79.3591468622169,-6.29,0.857,21.4495,655.5031194941422,8.87490642594919,-13853.697,17720.0
2001,9453,24.082,17.26309721781445,-8.519,0.106,15.563,1019.1316478121513,-22.821667334088446,-56121.9,15320.0
2002,9033,26.619,6.749993025572901,-6.677,0.482,19.942,1440.127254489933,-39.80630957696615,-98696.0,15276.0
2003,8743,33.744,117.53817190895573,-2.957,2.064,30.787,845.8758751546446,12.01262229774482,-16587.6,24728.0
2004,8484,48.622,151.67078029231493,-2.18825,3.9555,46.433749999999996,947.8155680420379,8.928165101526728,-17462.2,25330.0
2005,8243,54.320499999999996,177.57318209389786,-2.266,4.972,52.0545,1217.0646493647994,4.36632110913314,-38118.499,36130.0
2006,7891,66.425,243.22882055506273,-2.2145,6.004,64.2105,1357.8103546085342,11.434031602649865,-12613.0,39500.0
2007,7555,65.174,245.03905373924553,-3.503,5.089,61.671,1545.1571496681051,5.821923472596843,-38732.0,40610.0
2008,7341,50.816,70.34648222313037,-12.358,0.965,38.458,2180.558286704366,-16.208756171820124,-99289.0,45220.0
2009,7204,53.47675,170.98720349805663,-7.986750000000001,1.4665,45.49,1914.2221016140882,16.973332171581436,-71969.0,104821.0
2010,7100,73.78750000000001,259.30441985915496,-3.06525,5.3635,70.72225,1466.6263647340384,10.155837462413281,-14025.0,36538.585
2011,7083,77.25800000000001,269.2341647606946,-3.442,5.296,73.816,1664.4717686825147,11.241634213178424,-16855.0,41060.0
2012,7335,75.09700000000001,241.69091124744378,-4.498,4.118,70.599,1594.8680595036487,12.894224045938234,-15906.0,44880.0
2013,7439,82.948,289.34106990186854,-5.021,3.976,77.92699999999999,2206.1934351212863,24.218970022347055,-14248.668,98806.045
2014,7210,94.96825,257.3445,-6.18075,4.8725000000000005,88.7875,1403.1676372979282,11.113534460497442,-7367.0,39510.0
2015,6967,89.304,204.00797315917896,-9.831,3.544,79.473,1548.3423748867797,9.913250186914416,-23119.0,53394.0
2016,6804,95.17325000000001,233.77810861258084,-9.543000000000001,3.9275,85.63025,1417.2026830408633,11.374864635551772,-8916.44,45687.0
2017,6686,117.49925,317.7971060424768,-9.3115,4.9125,108.18775000000001,1800.8378240996183,13.37062934250198,-16265.0,50778.396
2018,6595,131.6285,337.25732949203945,-11.211500000000001,5.522,120.417,1799.647032977105,11.401518530710996,-22355.0,59531.0
2019,6670,116.329,324.1459476761619,-15.67325,2.7350000000000003,100.65575,2048.1015292237175,17.432290229681467,-10137.0,81417.0
2020,6887,93.94900000000001,177.61472382750108,-29.804000000000002,-0.384,64.14500000000001,1922.0768479916208,10.721490801808647,-22440.0,57411.0
2021,6902,164.92325,464.9523643871342,-21.31125,4.672000000000001,143.612,2834.3275649633615,17.483820093767292,-9501.0,94680.0
2022,6584,177.56625000000003,435.1361969927096,-29.799,2.31,147.76725000000002,2857.7667833772434,15.683556788257043,-22819.0,99803.0
