FYEAR,N,IQR,mean,p25,p50,p75,std,skew,min,max
1996,8135,0.6805321346955774,2.2714011094769955,-0.11485103949977495,0.1619853962281055,0.5656810951958025,266.9257752492692,43.12783840014227,-10849.0,19776.0
1997,7895,0.7020078216643134,1.4750399612286171,-0.14764648095262944,0.1414409063913381,0.554361340711684,206.15431871369657,42.06229865900158,-5473.0,12210.625
1998,8117,0.6420116542125409,-1.6810418258395985,-0.2130731397747104,0.1106026588056512,0.4289385144378305,141.47633163028513,-2.6555229526708715,-5276.333333333333,6050.333333333333
1999,8143,0.6498281687014326,3.5242367222616826,-0.24008535130157785,0.1096370463078848,0.40974281739985474,280.035414114379,49.474505364996205,-4304.0,19069.0
2000,7709,0.6783493410919161,-2.3439190474307527,-0.3069293291086927,0.0911145716247159,0.3714200119832235,226.72113478605317,-20.797804734337117,-13560.285714285714,6165.0
2001,7206,0.6709057968277864,-8.524842725734027,-0.21298025424390102,0.12240039982347084,0.45792554258388535,402.98715230469617,-39.82829156607287,-23996.0,7235.0
2002,6814,0.626040323408061,0.15878039606361352,-0.10949692020504107,0.15237434548706505,0.51654340320302,238.13230050131168,-14.176439703777321,-12707.333333333334,7300.5
2003,6537,0.6218756555098256,8.033373157804476,-0.0749259089201486,0.1621967764006424,0.546949746589677,301.1464320176336,45.61366919070823,-2428.5,19200.0
2004,7033,0.5644450875814081,6.368180114584262,-0.0417848852205313,0.1468178598195127,0.5226602023608768,251.73974603098344,16.982708465622515,-7720.0,11759.499999999998
2005,6811,0.5758037153695267,9.441142183829754,-0.04101383113161135,0.1448296638465593,0.5347898842379153,295.571617661152,23.07179326029175,-5189.0,11293.833333333334
2006,6512,0.5672082738151423,12.487278085925293,-0.028593361681031552,0.150179360475393,0.5386149121341107,288.87528706805466,21.244680387945397,-5659.0,11628.666666666668
2007,6227,0.521385205292426,8.976495468541147,-0.0135224606278872,0.1516410382149987,0.5078627446645388,392.8846547989453,23.18820973120183,-9469.5,16881.0
2008,6100,0.48227240533471455,7.522702132068811,-0.0109505668658105,0.14222616935448015,0.4713218384689041,360.05640152796815,35.874702288581474,-8947.285714285714,21612.0
2009,5959,0.5726307811113315,9.704727790746926,0.00904392244248025,0.1833351843625055,0.5816747035538117,315.13392196282234,48.346735482536694,-4037.6666666666665,20159.0
2010,5822,0.5361875961180566,6.91888176041841,0.008273587515275325,0.1881322120910238,0.5444611836333318,259.3406776011393,27.968621561780633,-4233.75,12693.5
2011,5779,0.49252531917571757,8.491432007916274,-0.00813698013978265,0.1766741650804637,0.4843883390359349,302.8031153337916,46.26836026379262,-2082.0,18756.5
2012,6015,0.49862320070467475,24.911044454674546,-0.03953911656853025,0.1647377203680697,0.4590840841361445,1688.3477589011618,74.0730293868224,-15373.5,128995.51515151514
2013,6064,0.4956582099639696,8.188294772458452,-0.0406949307924675,0.16634635804614162,0.4549632791715021,792.5447065955266,61.46370769464161,-19410.0,57761.0
2014,5915,0.43555903588390527,-0.927090688980161,-0.04278730625410295,0.1497065922751472,0.39277172962980234,216.6727511395206,-46.32140363290133,-14068.666666666668,3734.500000000001
2015,5753,0.4037975955574196,-4.0297858672449305,-0.0164177826000057,0.1537565727307475,0.3873798129574139,266.49742178426163,-37.34872858426487,-16053.0,6335.333333333333
2016,5578,0.3938175565289474,3.8821315669305467,-0.012227933520148799,0.15569628940505414,0.3815896230087986,222.65001251597525,47.210307659228384,-2488.0,13824.0
2017,5451,0.3960328938610932,-6.618686001629836,-0.0178094055280163,0.1540915231760859,0.3782234883330769,341.85755062334283,-36.38409595539609,-16069.0,7934.529411764705
2018,5365,0.431009552790408,-4.046454026737752,-0.0373253605611026,0.1617859291770561,0.3936841922293054,126.91323582546785,-22.21934458794518,-5721.0,2174.0
2019,6122,0.5308306229258944,-2.2780831811000306,-0.17618048384606677,0.13301482855636748,0.3546501390798277,85.4402207002617,-21.02382770262699,-3763.0,2564.3
2020,6449,0.6197804845337476,-2.5965991973185782,-0.2310706495889287,0.1257930430977904,0.3887098349448188,252.77202863728732,-45.72937962208006,-17404.5,6532.289473684211
2021,6441,0.8095436648781305,-3.5716847561341267,-0.4103734439834025,0.1185855406941166,0.399170220894728,235.5725624488872,-37.579729036979565,-15230.0,6675.5
2022,6288,0.8875539522206172,-0.4777159802957068,-0.5556952880040542,0.09259514074278816,0.33185866421656296,262.5998966083294,73.57304202098481,-1861.75,20312.0
