FYEAR,N,IQR,mean,p25,p50,p75,std,skew,min,max
1996,10070,52.77075,196.59820294935452,0.232,8.7055,53.00275,1008.8051384630712,13.092567357459398,-1563.135,29055.0
1997,9800,64.371,222.16176946938774,0.033,9.746,64.404,1145.0768875028054,12.992316210726253,-5467.315,33997.0
1998,10108,62.33625,228.94322655322517,-0.51025,8.558499999999999,61.826,1228.7326946442672,13.130965959218798,-2424.4,32291.0
1999,10195,65.877,252.7920161844041,-0.7464999999999999,7.608,65.1305,1376.0520122504502,13.237904203043932,-1780.0,36041.0
2000,9786,76.15875,306.26174790517064,-1.0030000000000001,7.9495000000000005,75.15575,1770.0167500882885,13.532066937323114,-2439.943,47803.0
2001,9219,77.65699999999998,305.342567415121,-1.0615,6.908,76.59549999999999,1742.5471190382054,13.314153875533648,-5743.0,49708.0
2002,8819,90.89050000000002,333.70939233473183,-0.5485,9.559,90.34200000000001,1783.1650705701886,12.412458823349642,-3695.0,51554.0
2003,8531,106.79849999999999,393.71069862853125,-0.207,12.487,106.5915,2037.62498340302,11.217660595925985,-2136.0,52205.0
2004,8287,129.723,461.22658247858095,-0.075,15.733,129.64800000000002,2307.766671312442,10.61855786232569,-7639.092,48695.0
2005,8040,141.071,515.7308603233831,-0.1215,17.85,140.9495,2673.483283786665,11.22448780701082,-1725.197,59255.0
2006,7710,165.97675,622.6422089494163,-0.139,20.8465,165.83775,3299.5595621292555,11.634041708250354,-951.058,79423.534
2007,7391,177.567,698.3084588012448,-0.3025,20.213,177.2645,3674.2673330299103,11.299644428993002,-4653.4,90170.14
2008,7163,168.29850000000002,580.2647728605333,-0.729,16.88,167.5695,3244.4194028270867,8.136600113276085,-76735.0,78669.0
2009,7023,165.62199999999999,568.9265966111349,-0.4585,17.528,165.1635,2895.6135605311983,9.499480768920426,-45026.0,80171.774
2010,6906,214.28,740.6903355053577,-0.024,25.564,214.256,3785.899100688694,13.268721027189864,-14081.063,124840.0
2011,6883,235.857,777.5854159523464,-0.067,27.447,235.79,3943.4139343038664,11.972847559468786,-15913.915,113570.0
2012,7120,237.1425,753.3226926966291,-0.3505,23.911,236.792,3923.278357074409,13.554497652575131,-13666.0,128130.0
2013,7210,245.78375,769.1378986130375,-0.6827500000000001,22.075499999999998,245.101,3979.8465036432517,13.80660002803965,-3663.284,130622.0
2014,6982,282.42924999999997,777.0873890002865,-0.87075,26.868499999999997,281.5585,3710.0172637393293,12.803860592295136,-8218.5,120354.0
2015,6738,271.91875,726.5920604036806,-1.31275,24.8235,270.606,3605.6170254153544,12.561214990179469,-21913.0,106305.0
2016,6572,282.64475,749.9616007303712,-1.3245,27.607,281.32025,3369.69683600695,12.219018120993924,-4722.0,104140.0
2017,6471,320.2095,863.670947457889,-1.3094999999999999,29.472,318.9,3787.1290117371036,11.143079983752669,-3559.0,107806.0
2018,6386,352.17375000000004,902.1505684309427,-1.86775,31.311500000000002,350.30600000000004,3970.1403744574295,11.219855971978886,-3706.0,115076.0
2019,6461,338.081,903.8587741061755,-3.081,28.107,335.0,4228.490559244709,12.628153652525242,-8124.0,118401.0
2020,6677,259.41200000000003,762.2021373371275,-5.886,16.985,253.526,3757.582373424871,11.655597735648033,-9022.0,100083.0
2021,6696,353.25225,996.169847520908,-8.10225,23.594,345.15,4825.458253142948,12.297948278727016,-7260.687,125581.0
2022,6396,391.002,1062.2848864915572,-11.65875,23.658,379.34325,5140.4870465682825,11.768686671148185,-17188.0,128137.0
