FYEAR,N,IQR,mean,p25,p50,p75,std,skew,min,max
1996,9413,33.24,127.86506225432912,-0.793,3.248,32.447,790.8712105252803,11.241076402283287,-17784.0,21377.0
1997,9185,37.949,137.3993417528579,-1.192,3.408,36.757,826.2611153708289,11.799568656264864,-17730.0,27634.0
1998,9478,40.23,144.18597562776955,-1.77075,2.673,38.45925,873.3625485129742,12.839834981968739,-10060.0,23100.0
1999,9483,43.963499999999996,165.35525614257094,-1.759,2.785,42.204499999999996,1169.6601506936374,11.279366854894826,-29271.0,34012.432
2000,9075,48.1665,176.70033619834712,-2.291,2.381,45.8755,1113.7006394514058,9.811464748811579,-27976.468,33764.0
2001,8515,60.536500000000004,201.5944788021139,-1.34,3.65,59.1965,1206.5515352083385,9.900136708462375,-24091.0,32195.0
2002,8120,71.3095,250.52014261083744,-0.62875,5.6795,70.68075,1483.7716918614026,13.401869027978515,-10077.0,41562.206
2003,7872,82.74849999999999,291.7273807164634,-0.46,7.551,82.2885,1808.9326639321707,16.73889823742431,-17526.0,75807.486
2004,8438,86.26125,285.4473205735956,-0.444,8.7505,85.81725,2339.111339878938,13.513818761574218,-41471.258,102999.812
2005,8199,96.0385,280.4706602024637,-0.539,10.277,95.4995,2411.090917339164,2.86514955321949,-75741.432,78470.0
2006,7853,106.427,307.46697325862726,-0.427,11.991,106.0,2864.936457063714,-2.130628473088985,-68804.902,80781.0
2007,7514,125.575,382.3717760180995,-0.443,13.400500000000001,125.132,3499.6668908198435,-2.6886427577012526,-110560.0,91038.0
2008,7299,134.66950000000003,485.4489915056857,-0.3145,14.405,134.35500000000002,3808.7955780121597,9.74563579214482,-110136.622,121664.949
2009,7166,151.63425,473.8575580519118,-0.064,17.6685,151.57025000000002,4010.001684371313,15.023571213261862,-85822.0,143819.272
2010,7062,155.7655,554.0420644293401,-0.086,18.7505,155.6795,3702.401102044263,19.834831260823815,-41890.554,166671.531
2011,7038,167.31975,586.1013401534526,-0.2705,18.881,167.04925,3404.1645934530707,12.583529331950796,-21212.152,95932.0
2012,7295,171.87800000000001,544.5296560657985,-0.5185,17.013,171.35950000000003,3249.5155965257604,8.628596972264912,-73362.761,75601.931
2013,7395,179.085,558.4271922920892,-0.543,17.675,178.542,3623.4757576203983,11.60178516487141,-50767.819,107953.0
2014,7169,197.698,532.2185710698842,-0.905,17.983,196.793,3396.83649707448,-3.136916171009694,-140537.0,68691.447
2015,6930,220.69575,583.865780952381,-0.77475,21.826999999999998,219.921,2939.0928953586726,12.605668380279708,-18750.0,81266.0
2016,6764,233.307,610.6101920461266,-0.76375,23.979,232.54325,2959.2593182452065,11.987723449254954,-16360.0,74507.672
2017,6656,238.364,655.2462375300481,-1.1669999999999998,22.191,237.197,3532.3825302816526,11.162288366033621,-52280.756,87973.579
2018,6566,262.49075000000005,635.7302811452939,-1.77525,23.188499999999998,260.7155,3180.556373106054,7.512913446261031,-61900.033,77434.0
2019,6647,255.3525,646.0066500676996,-3.0035,18.795,252.349,3395.3101530819904,8.004814755443684,-57048.401,69391.0
2020,6862,237.415,802.7399828038473,-3.6887499999999998,17.737000000000002,233.72625,6000.99081986624,16.61392016971499,-79910.0,182220.0
2021,6876,254.023,809.1197961023852,-8.95775,14.454,245.06525,4472.619582858365,11.918016638413146,-16995.058,104312.0
2022,6563,280.57,823.559312052415,-11.293,13.777,269.277,4759.22265767524,11.828981336740034,-56469.134,122151.0
