FYEAR,N,IQR,mean,p25,p50,p75,std,skew,min,max
1996,11031,87.8865,490.87937938536857,2.2175000000000002,11.524,90.104,2719.956426840994,15.68497789069748,0.0,93998.0
1997,10713,102.576,524.4655346774946,2.494,13.23,105.07,2727.405983006294,13.889771002021975,0.0,90950.0
1998,11096,102.35075,545.0722211607787,2.17275,12.605,104.5235,2864.938794573031,14.214694120823227,0.0,100511.0
1999,11389,102.955,584.0013610501361,2.203,12.164,105.158,3134.6669608224715,14.705642533830252,0.0,111921.0
2000,11005,116.035,639.9253123125852,2.416,14.126,118.451,3345.48236338266,13.838515429698935,0.0,95873.0
2001,10472,130.22025,701.5461130634071,2.0820000000000003,13.8895,132.30225,3522.1691326543455,12.451564386281618,0.0,89602.0
2002,10055,137.59,760.2988748881154,2.0635000000000003,14.511,139.6535,3828.2634047884126,12.342561782505257,0.0,94940.0
2003,9827,149.473,831.8054302432075,2.0075,15.435,151.4805,4191.566232421046,12.063368368482761,0.0,104965.0
2004,9532,166.14399999999998,910.3679591900965,2.25575,16.6505,168.39974999999998,4562.548318068705,11.561279779496237,0.0,108639.0
2005,9300,171.701,922.2797331182795,2.4250000000000003,17.958,174.126,4653.163782246773,11.46976287956504,0.0,107010.0
2006,8919,193.2625,1051.394120865568,2.6955,20.395,195.958,5338.204180204587,11.256897460312342,0.0,115147.0
2007,8549,231.078,1208.7578542519593,2.956,22.56,234.034,6024.4733017672215,10.998650808708765,0.0,142411.0
2008,8267,253.1565,1288.1076673521227,3.315,24.675,256.4715,6338.80829144726,10.924470464745541,0.0,137542.0
2009,8131,263.232,1392.7392073545689,3.169,25.653,266.401,7027.362544456575,11.679096059126344,0.0,161744.0
2010,8029,272.502,1488.7764729106989,2.919,26.619,275.421,7861.4998665077765,13.637798073732716,0.0,218567.0
2011,7987,306.362,1585.4126752222362,2.638,27.356,309.0,8352.08984454879,13.529707873140032,0.0,217989.96
2012,8240,298.19899999999996,1632.2813606796117,2.24275,25.815,300.44174999999996,8958.384715964507,14.644219757395025,0.0,256834.0
2013,8329,305.727,1699.5581871773322,1.867,25.13,307.594,9509.081681064703,15.10866881608498,0.0,272852.0
2014,8075,349.43499999999995,1766.402012383901,2.1390000000000002,27.949,351.57399999999996,9506.977890245847,14.26934206554116,0.0,281676.659
2015,7849,361.757,1764.034453178749,2.462,28.981,364.219,9274.407640430409,13.930714790556085,0.0,275541.851
2016,7644,369.34200000000004,1834.8305419937205,2.308,28.988500000000002,371.65000000000003,9662.999724749438,13.500974502205931,0.0,250546.594
2017,7507,382.73199999999997,1957.8497470360994,2.4080000000000004,29.807,385.14,10180.30192886525,13.05285874756352,0.0,261717.566
2018,7386,387.38175,1998.6495687787706,2.5655,30.432000000000002,389.94725,10202.767106570076,12.46832219289306,0.0,248028.794
2019,7485,493.32599999999996,2246.2441711422844,4.374,43.428,497.7,11298.04794565839,12.46294572952998,0.0,292684.091
2020,7735,453.94,2194.5284174531353,3.9345,40.868,457.8745,11028.332800638707,11.54372452328087,0.0,252880.411
2021,7679,451.591,2222.7215667404607,4.773,46.581,456.36400000000003,11100.669202154426,11.479342640645115,0.0,262562.034
2022,7323,505.645,2338.617279393691,6.062,54.832,511.707,11442.67049861742,11.459846267806004,0.0,252838.0
