FYEAR,N,IQR,mean,p25,p50,p75,std,skew,min,max
1996,10293,0.1152053960412307,-0.30200154700714776,-0.0492515444384934,0.0195297968901123,0.0659538516027373,13.859089160038394,-93.07627628215351,-1363.0,63.833333333333336
1997,10033,0.13422315118172118,-0.16992634592516354,-0.0702913932844461,0.0170617770162562,0.0639317578972751,5.410809404238157,-15.337920999520213,-385.0425531914894,319.0
1998,10353,0.1790106379204439,-0.29307434300415475,-0.1250450739212308,0.0106609724998468,0.0539655639992131,6.616262086507156,3.1341913737179796,-262.7142857142857,308.0
1999,10422,0.17901166288468073,-0.5768470653268106,-0.1280582080901133,0.00985239384564025,0.05095345479456743,13.53205183800188,-53.24145591210329,-957.0,104.94066317626528
2000,9982,0.2141840700436259,-1.136794450539854,-0.16612195215830736,0.00736901680949105,0.04806211788531855,45.448048044444306,-55.75826289514758,-3407.0,1208.0
2001,9403,0.26048802375148444,-1.8472002347782144,-0.22467951310763926,0.0019508815404586,0.0358085106438452,39.026773688037,-41.70024093682002,-2499.0,683.1999999999999
2002,8966,0.2387997780767787,-6.239434614286825,-0.19899296060494354,0.0056052680962632995,0.039806817471835176,276.5967678537026,-78.21846013891401,-24357.5,1827.0
2003,8679,0.15055214524435995,-4.0437138129900205,-0.100615884908274,0.0103311050557722,0.04993626033608595,208.22205560013913,-76.48535143506864,-17703.0,701.8
2004,8442,0.13037784348831039,-1.922556746757089,-0.06975670030819522,0.013990835562762899,0.06062114318011515,34.121285037873676,-29.381915988170245,-1512.9999999999998,400.5352112676056
2005,8194,0.13336360286556104,-1.776756801554743,-0.06949340853849303,0.01439954854018045,0.063870194327068,35.82519741936263,-38.97058038535951,-2038.0,76.92857142857143
2006,7855,0.12352519052817985,-2.2802384764946235,-0.05688517276017095,0.0170603628610602,0.0666400177680089,124.52984624318579,-85.82082961429235,-10916.0,481.0
2007,7526,0.1331670044115505,-18.428909829898846,-0.06938375665121005,0.014153163737644948,0.06378324776034044,1499.599872000847,-86.71628070511964,-130077.0,209.33333333333331
2008,7302,0.2031146194381265,-5.344341688436887,-0.14921124763310886,0.00434783309583635,0.05390337180501765,305.33663838653735,-83.48963579322415,-25884.80769230769,811.0
2009,7162,0.13751683318137484,-1.7643018226604468,-0.08767499427621112,0.005818134885418999,0.04984183890516373,43.29444912308993,-60.06968291736264,-3202.0,244.83333333333331
2010,7053,0.1093777763061629,-3.1957290102547398,-0.048459647471102,0.0137479427624686,0.0609181288350609,129.1325635504782,-73.38042707721088,-10311.636363636364,751.7142857142857
2011,7045,0.1190517708103858,-3.0749130663482025,-0.0589813171086485,0.0115690915796558,0.0600704537017373,71.73960482657071,-55.02730000640511,-5098.0,316.0
2012,7277,0.1545028663611959,-2.1624766520147345,-0.1018295541727048,0.0094915227839377,0.0526733121884911,34.42189817152744,-32.034968164291456,-1624.7499999999998,215.72727272727275
2013,7383,0.1652138859038847,-5.229971877869844,-0.11570225061095105,0.0088288061772306,0.04951163529293365,134.73831538259566,-50.93011712149863,-9019.666666666666,418.4
2014,7186,0.16284136955575446,-2.733768480679657,-0.1148022482220996,0.009174462585282199,0.04803912133365485,98.79872194592139,-59.71475980758427,-7526.0,2537.833333333333
2015,6927,0.1998753029917169,-9.139815773227616,-0.15619218329862744,0.007540311045265,0.04368311969308945,388.0655124494936,-67.38334584616814,-29700.5,1992.4324324324325
2016,6767,0.19152933433516922,-3.101265105341726,-0.14999277101608677,0.0075576288568941,0.041536563319082453,57.4139775950887,-26.67859805181437,-2523.5,1162.0
2017,6649,0.175161762038979,-2.1214489754564636,-0.1270726560144709,0.0079592600322063,0.0480891060245081,34.4370086158675,-32.65649546987481,-1758.0,178.8
2018,6567,0.1816069042528303,-1.2530230684976322,-0.1329688948530948,0.0095682705800444,0.048638009399735505,28.10081250642804,-11.73507054552771,-1374.0,1189.85
2019,6643,0.2102915186853025,-2.256691164880085,-0.17052674508250665,0.0073048714764393,0.039764773602795844,87.45080634437348,-54.40745407570166,-5325.999999999999,922.5
2020,6860,0.21647192317870279,-2.0323128611695522,-0.18388256862027003,-0.0039277901515736,0.032589354558432745,70.06840956465983,-49.5092110732955,-3960.225,1000.0
2021,6872,0.2156604037190079,-3.691507067945517,-0.16125793740032576,0.00880649665030115,0.05440246631868215,190.56429588370418,-80.14241243342047,-15612.6,20.2
2022,6559,0.28133933801140565,-0.5307531823167975,-0.23404348539518455,0.0066557508904975,0.0472958526162211,189.86637783597405,50.18206884402004,-5761.0,13583.0
