FYEAR,N,IQR,mean,p25,p50,p75,std,skew,min,max
1996,10320,363.98525,1083.1464269379844,14.4465,70.066,378.43175,5330.257907837894,14.165636556628588,-7.454,160121.0
1997,10077,414.043,1181.8915832092885,16.457,79.874,430.5,5606.635229302963,13.71670639507422,-48.124,168919.0
1998,10406,427.52200000000005,1255.9509820295982,14.099499999999999,79.345,441.6215,5851.652056719074,12.844838536884236,-107.639,158514.0
1999,10455,450.072,1380.8970791009085,13.4025,79.011,463.4745,6557.399187651975,13.101680154987742,-16.153,174694.0
2000,10023,507.8470000000001,1628.9537403970867,14.408999999999999,91.884,522.2560000000001,7662.03189655201,12.594110194229108,-0.656,206083.0
2001,9454,562.4540000000001,1740.7668554051195,13.92225,92.3555,576.37625,7929.031300066296,12.043539501646096,-203.746,218529.0
2002,9032,604.3925,1810.6085378653675,14.81375,99.187,619.2062500000001,8476.67058551627,12.650274224907742,-11.879,245308.0
2003,8743,693.7515000000001,2035.2065318540547,15.717500000000001,108.652,709.469,9559.463794174224,12.656062275864866,-21.796,257157.0
2004,8484,790.0017499999999,2337.4402481140974,17.6385,123.4985,807.6402499999999,11051.615543962567,13.15621944402898,-9.417,286103.0
2005,8242,881.82,2476.5263436059213,20.40325,135.6795,902.22325,11632.0462836229,13.725726120400953,-26.481,328213.0
2006,7890,994.8405,2865.0069778200254,23.46325,158.654,1018.30375,13205.341555628154,12.448641044841489,-0.667,345977.0
2007,7555,1102.3055000000002,3270.00331237591,24.523,167.519,1126.8285,14945.022292563423,11.802697118576356,-4234.472,375376.0
2008,7341,1188.2179999999998,3381.965927938973,27.391,186.768,1215.609,15918.568047058825,13.962841432326003,-15009.328,458361.0
2009,7204,1089.9264999999998,3198.3530209605774,27.05075,176.299,1116.97725,13945.813991207426,11.163042715930702,-272.867,406103.0
2010,7100,1201.34225,3572.472568309859,27.227,192.5555,1228.56925,15935.35759525349,11.619982715313574,-1208.806,420016.0
2011,7082,1356.61525,3893.3620470206156,24.784750000000003,204.1655,1381.4,18159.760281794275,13.167578518080155,-6749.631,470171.0
2012,7334,1290.948,3858.851064085083,17.9185,181.5535,1308.8665,18340.75934079809,13.529405604157201,-3781.68,467231.0
2013,7438,1328.3697499999998,3856.0919665232586,15.897499999999999,177.3865,1344.2672499999999,18404.729681730874,13.57830223102243,-704.066,475793.482
2014,7209,1477.326,3929.31652309613,18.49,210.694,1495.816,17953.003831697828,13.371787147394684,-1964.999,483521.0
2015,6966,1508.1952499999998,3727.3155264140105,19.23675,224.689,1527.4319999999998,15908.149631231667,11.783636236691827,-1269.295,479962.0
2016,6803,1518.6509999999998,3747.6784273114804,19.198999999999998,221.29,1537.85,15715.845312279936,11.522667796524741,-1.302,482154.0
2017,6689,1617.394,4173.799628644043,21.345,239.288,1638.739,17795.239578011835,11.428070357521904,-0.075,496785.0
2018,6595,1741.924,4365.405143593632,21.5425,257.594,1763.4665,19058.1244929724,12.007720283954768,-278.112,511729.0
2019,6670,1702.1242499999998,4433.89701784108,22.046750000000003,264.74,1724.1709999999998,19655.455273795433,11.828592604415421,0.0,521426.0
2020,6888,1449.843,4004.5210103077816,15.61475,220.6945,1465.45775,18187.021222669413,12.56190147607908,-1876.885,556933.0
2021,6902,1700.93125,4609.973483483048,18.40475,246.17000000000002,1719.336,21039.279633206144,12.537363392785496,-69.296,569962.0
2022,6584,2002.83125,5272.310057867558,20.11875,288.5725,2022.95,23983.33808473173,12.13276477323909,-24954.684,608481.0
