FYEAR,N,IQR,mean,p25,p50,p75,std,skew,min,max
1996,11323,172.6575,504.6509292590303,9.0705,40.839,181.728,2146.813878750496,10.65077441149033,-3053.47,63008.0
1997,11017,203.564,558.000241717346,10.032,46.897,213.596,2245.5041391744767,9.670636014976852,-1620.0,60386.0
1998,11411,211.99,625.6043699062308,8.5095,45.83,220.4995,2716.0414789307424,10.524975160670403,-2822.0,57403.0
1999,11681,229.54000000000002,719.6842939816796,10.104,50.19,239.644,3725.262723157971,24.744579235056918,-3067.083,224234.303
2000,11284,280.57175,860.7277500886211,10.9825,59.923500000000004,291.55425,4222.782110366366,17.72817728208142,-6979.138,206312.667
2001,10747,307.867,927.6913737787289,8.2805,56.844,316.14750000000004,4606.082054809553,15.87194478415527,-20823.527,186066.525
2002,10337,333.237,956.7186784366838,8.262,60.232,341.499,4659.142231008523,15.219599068911537,-22295.0,203171.509
2003,10109,398.747,1138.6615025225049,10.897,71.126,409.644,5357.59843194292,13.44974119032982,-7074.674,205940.16
2004,9802,470.0615,1352.4664113446236,14.765,87.1275,484.8265,6333.773215699005,11.556603584223954,-8215.826,187589.95
2005,9578,509.42275,1423.662821987889,17.22025,99.503,526.643,6514.0000936131455,10.415129963895914,-25869.0,148579.703
2006,9179,590.826,1681.196408759124,21.063499999999998,116.899,611.8895,7663.936179479438,10.053245725344402,-13593.0,135272.0
2007,8787,637.176,1911.0870992375098,24.779,130.461,661.955,8615.501538189486,9.878113495332629,-37094.0,161192.0
2008,8512,616.63025,1775.2536190084586,20.85425,121.19,637.4845,8623.892298845436,10.557490534800781,-86154.0,177052.0
2009,8376,686.146,2128.1716829035336,20.643,131.807,706.789,10165.753913080694,10.69431005481655,-15372.0,231444.0
2010,8284,790.6685,2377.8352980444233,23.625500000000002,150.5005,814.294,11167.802852716046,10.33800537577073,-13873.0,228248.0
2011,8258,821.83125,2500.4037851780095,23.575499999999998,155.377,845.40675,11740.931034760932,10.334919483751607,-18940.0,233236.0
2012,8531,844.0324999999999,2590.9602133395847,19.9705,148.14,864.0029999999999,12396.003000788169,10.672878876619041,-34846.0,275668.0
2013,8629,919.423,2686.638360644339,20.577,157.95,940.0,12817.965675729973,10.838772059583372,-39823.0,284434.0
2014,8376,1021.5210000000001,2785.761160936008,27.429000000000002,183.67700000000002,1048.95,13022.35975728101,10.677158398431354,-45331.0,243471.0
2015,8127,1041.24,2782.6462641811245,28.207,190.688,1069.4470000000001,13154.26544956027,11.26821520852378,-50391.0,256205.0
2016,7925,1081.341,2925.7630630914823,25.361,195.237,1106.702,13624.827312323912,11.469631332886468,-55982.0,283001.0
2017,7780,1201.905,3235.5083050128537,30.269,216.74450000000002,1232.174,14834.87932268972,11.366881402450476,-58724.0,348296.0
2018,7650,1274.4197499999998,3268.183931633987,34.311749999999996,233.607,1308.7314999999999,14803.122799532648,11.425389467298084,-62637.0,348703.0
2019,7700,1321.2445,3389.617502987013,33.042249999999996,240.251,1354.28675,15546.600045869553,12.440940410185954,-71532.0,424791.0
2020,7957,1289.6170000000002,3431.1597369611663,38.398,255.112,1328.015,15845.669178091406,12.593919637467478,-80708.0,443164.0
2021,7892,1482.234,3710.80309401926,52.85925,301.73400000000004,1535.09325,16756.00768272783,13.490476734324279,-75680.0,506199.0
2022,7522,1547.9472500000002,3711.145261233715,41.773250000000004,299.9585,1589.7205000000001,16485.24701055899,13.145278174604314,-16634.0,472360.0
