FYEAR,N,IQR,mean,p25,p50,p75,std,skew,min,max
1996,11154,6.085,206.87341016675632,0.0,0.0,6.085,2707.0140292308515,22.218785870711137,0.0,105229.598
1997,10838,7.399,270.44745451190255,0.0,0.0,7.399,3684.3497062624274,21.43145762818606,0.0,116632.398
1998,11206,7.494000000000001,249.1009084419061,0.0,0.0,7.494000000000001,3145.4001888727753,20.827585035519494,0.0,116254.0
1999,11484,6.83975,294.5310329153605,0.0,0.0,6.83975,3932.846324064403,22.39390038550967,0.0,144878.0
2000,11086,8.603,346.6479900775753,0.0,0.0,8.603,4636.209081114799,21.400842046722005,0.0,160631.404
2001,10552,10.83925,481.36520271038665,0.0,0.0,10.83925,6514.721905458697,23.556118768239752,0.0,260389.203
2002,10166,11.8995,501.92838215620696,0.0,0.0,11.8995,6562.516510494078,23.046172823469348,0.0,313119.352
2003,9943,10.1245,587.0874468470281,0.0,0.0,10.1245,8037.824394095909,27.1268392431535,0.0,431760.097
2004,9651,16.22,754.0047725624287,0.0,0.002,16.22,10173.181193431588,25.080432726044656,0.0,505963.898
2005,9441,18.988,803.6573218938671,0.0,0.077,18.988,11310.521932415788,25.133835014989266,0.0,536022.969
2006,9045,22.765,913.3180353786622,0.0,0.205,22.765,13245.0978514063,26.284321924427136,0.0,621093.891
2007,8666,21.02,1077.4146903992614,0.0,0.297,21.02,14988.502243016093,22.922187781552353,0.0,518338.732
2008,8395,16.5935,857.3661311494938,0.0,0.157,16.5935,11163.592633844919,21.726270563275953,0.0,341254.0
2009,8249,24.093,1009.0256631106802,0.0,0.182,24.093,13327.86957196872,23.871356240288108,0.0,512275.842
2010,8148,26.68675,1192.909775282278,0.0,0.178,26.68675,14711.37175267181,19.435270577231798,0.0,431810.414
2011,8123,29.4235,1219.7421371414503,0.0,0.208,29.4235,14826.622729708437,18.51864018965304,0.0,395750.446
2012,8390,28.49275,1225.61885125149,0.0,0.0865,28.49275,14525.193099709775,18.974906891283062,-0.225,418110.0
2013,8480,25.708750000000002,1330.7665654481132,0.0,0.06,25.708750000000002,16557.350328363824,20.47721786493917,0.0,564167.0
2014,8218,30.0,1351.5411988318326,0.0,0.2335,30.0,17092.9927358755,24.548402994079243,0.0,700280.0
2015,7964,31.6005,1219.1626899799096,0.0,0.423,31.6005,14930.540684867798,23.647436677344185,0.0,552590.0
2016,7769,36.0,1337.0879185223325,0.0,0.522,36.0,16053.282843691748,23.523041771289304,0.0,595729.0
2017,7634,37.121,1442.8662911972751,0.0,0.504,37.121,17229.368483952087,22.410535624928656,0.0,602716.0
2018,7508,41.641999999999996,1479.4732884922748,0.0,0.951,41.641999999999996,17893.022910286665,21.54598072536843,0.0,578057.0
2019,7563,44.693,1500.5627274890917,0.0,0.934,44.693,18639.049591227205,22.847531359099722,0.0,643690.277
2020,7819,60.3915,1852.3853238265763,0.0,0.797,60.3915,23504.041556624845,23.95028996777917,0.0,799019.0
2021,7751,76.386,1958.6753889820668,0.0,1.167,76.386,24732.05108598163,25.90160117282532,0.0,976094.0
2022,7390,64.12174999999999,1788.8317102841677,0.0,2.308,64.12174999999999,22853.26218218822,25.267236908980863,0.0,855129.0
