year,tvol_36m,svol_36m,ivol_36m
1996,,,
1997,0.14422420157531132,0.03423187143396284,0.13845635237935353
1998,0.20355398061078994,-0.011382909962446543,0.19089034723485782
1999,0.13742446521930896,0.04000731448291989,0.13009705491053342
2000,0.15948785863855902,0.016666835262019696,0.1562340632411093
2001,0.15062277328940996,0.015399471471174268,0.14875883206611645
2002,0.10313352666497447,0.013083985885257339,0.10092707738200868
2003,0.20607690298987325,0.027903292908354,0.20283927270068394
2004,0.11983994344767751,0.028544322870002796,0.11577217632623311
2005,0.11366296336882586,0.03296025032733511,0.10690324543872107
2006,0.09028561685229264,0.012724898618677087,0.08644607741226398
2007,0.08531947977216962,0.01127485735427519,0.08332981114859585
2008,0.1071292086988388,0.040354810904787354,0.09756501899493984
2009,0.21431758466937398,0.09012229521375922,0.1902104752924819
2010,0.1912506644687212,0.0859407381235907,0.16880659118610997
2011,0.14787297487230092,0.06954881576134696,0.1289876070248741
2012,0.09627232770466199,0.0488283210856177,0.0819629877779704
2013,0.08616398513508945,0.04198196537530093,0.07327704546496537
2014,0.09122948152226514,0.03233518133286279,0.08459870211528318
2015,0.13464442683724404,0.03432180817880391,0.12527711530033617
2016,0.141032723365704,0.04017596902454538,0.13311385654221047
2017,0.09581623190258111,0.02713111284727196,0.08942581179984685
2018,0.08171831407010077,0.02182854700008126,0.07785451927931114
2019,0.09094273267472279,0.030569408112595828,0.08430131334565028
2020,0.11586732731379765,0.05573231393397249,0.09492930007793726
2021,0.11913480898354457,0.054500602548971634,0.0986660677335115
2022,0.13500571833562675,0.06002095479102668,0.11562125347824999
2023,0.1461398299203709,0.06252507754649311,0.12892469366199558
