year,tvol_36m,svol_36m,ivol_36m
1996,,,
1997,0.15464596864124563,0.04118028920942134,0.14531228073966954
1998,0.23995704558173098,0.026342063703805485,0.2350843756683644
1999,0.16199408620312467,0.030147278930430996,0.15174319122860414
2000,0.22795404118530657,0.0484080051803959,0.21978885441200308
2001,0.16099765386429649,0.04389762687977172,0.1518889655144381
2002,0.16970590218599416,0.050414095788746574,0.15832831326034197
2003,0.13691474822347305,0.05836609224747478,0.12254988985119712
2004,0.1283668699430257,0.04611865875445832,0.11718517688869105
2005,0.13549166277284816,0.06109079243772355,0.11973013131610859
2006,0.14806656901009316,0.05085020606168937,0.13425760216982396
2007,0.12132122445504392,0.04991941123620186,0.10967440949121927
2008,0.18521611160457546,0.040820947497430135,0.16810931753973873
2009,0.20500323309607907,0.09743513278366531,0.17699724820730717
2010,0.19346635416588115,0.10378154734597123,0.16285120958587143
2011,0.19055522528107288,0.07305981063906944,0.1709196453354186
2012,0.12695674172996274,0.07559719347377046,0.10051411611150592
2013,0.12356472376570779,0.07603722346357278,0.09573971373867375
2014,0.13815982483790984,0.05630663382714942,0.12252755560316608
2015,0.1034823223537823,0.03610928063932954,0.0938714227413705
2016,0.11680525828221464,0.05557697636884166,0.10056448846575096
2017,0.10639194129399054,0.039226804600687074,0.09715249345810564
2018,0.1058316189428363,0.04881116505833262,0.09323185282182188
2019,0.18033566240695334,0.04804877162612146,0.16998050993010866
2020,0.15902252615037848,0.0914019210970716,0.12779913320609612
2021,0.13672323708218836,0.08322359554067577,0.10554060030466353
2022,0.15081642903444575,0.08960552132937835,0.11900633219813975
2023,0.12344690278970989,0.06858142008632234,0.09817488864339999
