year,tvol_36m,svol_36m,ivol_36m
1996,,,
1997,0.08255098985139105,0.012217057602992623,0.0811633635462254
1998,0.09638060798698547,0.02161264818369026,0.09113299918652454
1999,0.10514692739624149,0.04069705781856952,0.09418777560052267
2000,0.09615256847708169,0.01087773900674246,0.09381457867489733
2001,0.09733497638468687,0.007664866949925099,0.09313938044237413
2002,0.15363705416884624,0.05633665701455949,0.13647542910690202
2003,0.08159808526570139,0.02003196058105982,0.07849806808741658
2004,0.07093603554375776,0.01977747299834707,0.06589027648114745
2005,0.07472034422663905,0.023781614493068554,0.07000555594675975
2006,0.052787513907576425,0.01536129441949264,0.048849250416767215
2007,0.07327712521560101,0.018627373747771188,0.06896414015074528
2008,0.12588384735324806,0.02353018499849286,0.12149726130563945
2009,0.12709453978111315,0.05539759511068197,0.11349468752831297
2010,0.2032591500265381,0.08836487845367327,0.17470522332171934
2011,0.16139419231597038,0.0912909389845058,0.13027230989796626
2012,0.0888772456592328,0.04770990023437499,0.07173242472253666
2013,0.08488342823462573,0.046174769924663794,0.06652044348806585
2014,0.07891380977938527,0.035909703900382124,0.06937243237023721
2015,0.0774848666756707,0.02301943512267975,0.0720966142855758
2016,0.10460960621295483,0.03218202153877231,0.09697488687856276
2017,0.058027731086892145,0.022144050229901718,0.05242966073577173
2018,0.07351329465685402,0.03467321948130008,0.06353840209370577
2019,0.0764042479616486,0.046125258395781396,0.059793906370141384
2020,0.1047525676659303,0.0628590114443175,0.07434098697267402
2021,0.10565253566371072,0.06348038819826149,0.08268591556931561
2022,0.10191346393475878,0.04053853729041661,0.09070438834394898
2023,0.11473508479242474,0.049390019038743294,0.0992476953241092
