year,tvol_36m,svol_36m,ivol_36m
1996,,,
1997,0.16494149500165456,0.02614466668686984,0.15879519861699148
1998,0.1643668604377458,0.03762165255191658,0.15798219154054638
1999,0.19901909768129292,0.05901896699409964,0.18968821910301217
2000,0.18679890400466376,0.081508536545605,0.16799258944190126
2001,0.077153089879159,0.0052539400233312765,0.07697399166038374
2002,0.0729253468560731,0.0174687176467554,0.07080219006398396
2003,0.0728126713290552,0.03047169014690095,0.06612988133714044
2004,0.05567538572629226,0.019898278660445367,0.05199814498732328
2005,0.05142207006529395,0.018630165304250625,0.04792855339498884
2006,0.07314994977397195,0.01717168989290365,0.07093492166070846
2007,0.05794496453997128,0.012475813286363832,0.056227853740903916
2008,,,
2009,0.15026340872348448,0.0492688579851339,0.14179782909472716
2010,0.11487674568981127,0.00708361655464825,0.11019370816111915
2011,0.1359054382095188,0.0283015096628773,0.13181985290254386
2012,0.14970581382949552,0.05669936527281982,0.13585972858218442
2013,0.15048249492696217,0.028617036251238535,0.14228714269934403
2014,0.14960213654905546,0.0448139531401141,0.13963336245041286
2015,0.13373691004243848,0.043148189882761284,0.1261044223328678
2016,0.1532288693571486,0.05269046485689897,0.14296163442156304
2017,0.1801903754220104,0.04783468587070638,0.17198326256463442
2018,0.2167555357684162,0.07888448000770656,0.1995015791504362
2019,0.19108577583828604,0.04217250247735476,0.1850620001040668
2020,0.16090317034723334,0.0801987206897638,0.13634991213442232
2021,0.3763810849155519,0.06625351882711401,0.32849913229831385
2022,0.17527324240677702,0.03409831857899515,0.17076512811058384
2023,0.13458681177002743,0.05565440621391718,0.12095035302386711
