year,tvol_36m,svol_36m,ivol_36m
1996,,,
1997,0.13988107338005154,0.036106841781678334,0.13205538016113222
1998,0.1702387758630574,0.040518294355738955,0.16303750895061847
1999,0.16257203675120413,0.057788195836675556,0.14882986459875633
2000,0.2649194223353514,0.06312648063918753,0.25350179348610963
2001,0.16043304230380953,0.023783966999362846,0.15693699379709913
2002,0.19518571011249514,0.05526425284603442,0.1857012214605318
2003,0.19071266829759115,0.05354000460102035,0.17909069659131058
2004,0.16117599895326917,0.048386339099736185,0.15117938330460012
2005,0.11038369132154435,0.04384853611972861,0.09773127408314797
2006,0.10409551510765332,0.031339279754917584,0.09798001175372975
2007,0.11028241218259296,0.02895526163868405,0.10549649837204256
2008,0.12569752224625796,0.0423334246526973,0.11312863877297871
2009,0.19430888962798465,0.09565392030809854,0.16604307647271416
2010,0.19239998091738106,0.08027458570826687,0.17163874832362322
2011,0.1979869745300815,0.09381000842014794,0.1730517135809588
2012,0.1176148121025015,0.06196897604806867,0.09846994831785813
2013,0.09845713857632407,0.033925486176821076,0.09069320422501878
2014,0.0981475251423769,0.04199056440752419,0.08748373541560008
2015,0.10145461536190109,0.030036009864853632,0.09464965906851024
2016,0.11048738340935926,0.033664324630649826,0.10467645495743957
2017,0.1215611126342071,0.017846132721750577,0.11862426737258727
2018,0.10782043389878915,0.03384660391007812,0.10018139769443793
2019,0.15771323052749686,0.0413428055791478,0.1509453622022522
2020,0.16592855251152278,0.1024771748231332,0.12989239028304503
2021,0.13314297282649415,0.0778872549995391,0.10698924939610192
2022,0.1475615941202279,0.07949616747893021,0.12234907635930295
2023,0.1626104753357399,0.07546609952443918,0.14207800596858733
