year,tvol_36m,svol_36m,ivol_36m
1996,,,
1997,0.2218455069195641,0.07505088655681125,0.2076878329309945
1998,0.19789043514916585,0.06153072904940121,0.18394387792991992
1999,0.28560338746143715,0.09371547836131798,0.2680143419552565
2000,0.25627676757824985,0.10410068601021649,0.23172946199587538
2001,0.2559941104630718,0.07528950438603162,0.23609969414821894
2002,0.2522829932003944,0.0808944454572065,0.23410045946544003
2003,0.28614547397368534,0.13508521805770993,0.2486882009877313
2004,0.2033712399752484,0.05684706709642433,0.18547380955377474
2005,0.17449694877315713,0.05968019594792829,0.16313443696974253
2006,0.10445793001282194,0.02960896757564906,0.0981678017099498
2007,0.10443215676533026,0.03344204495313008,0.09870441670133066
2008,0.20866194336302332,0.07043817038325167,0.19359963320831391
2009,0.24470287878800995,0.0830410536015301,0.22565679262045174
2010,0.19823209084197732,0.11006570490743178,0.15828158798895592
2011,0.1836525472123889,0.07876786128055117,0.16011278550094224
2012,0.1262247034986927,0.05761948262297061,0.10862579749068108
2013,0.11841427443180319,0.04779514789186552,0.10662205618824061
2014,0.10722731557344654,0.02152657249843314,0.10388705760132436
2015,0.19440425763904828,0.020481184996540648,0.1878691757429253
2016,0.11365824609334838,0.027139184375699975,0.10832630915783585
2017,0.18049403591812413,0.05350431345842,0.16955810169689958
2018,0.08488366315495718,0.034795913777699194,0.07562531062438126
2019,0.12368512854433433,0.03641962130509597,0.11423886982984222
2020,0.16762738565560142,0.0561155613944107,0.1558840388911967
2021,0.1331747823091398,0.08804278877395431,0.09781498952284748
2022,0.1614161023480301,0.06192616611784016,0.13950845414999535
2023,0.1659970542867612,0.06132808660786606,0.15292541661827647
