year,tvol_36m,svol_36m,ivol_36m
1996,,,
1997,0.11314837846484371,0.04451337635515001,0.10113510423476192
1998,0.14574501415380842,0.044170262501307504,0.1375089076712674
1999,0.28495010581066266,0.053151768756703716,0.27718058922261013
2000,0.1909988069046263,0.04888957182368695,0.1812589887758231
2001,0.15544746877881907,0.060505466889227456,0.13666387135816188
2002,0.15344853500954356,0.05534520835718787,0.13902401263529723
2003,0.10593781341937632,0.03962736283927697,0.09591882607715435
2004,0.201190523174773,0.04769589057029371,0.192401661134835
2005,0.10635131943932982,0.036462757336283055,0.09900924779373403
2006,0.08644082994646105,0.01912451836392649,0.08376435235131269
2007,0.08757763397641473,0.030250885271142718,0.08101057385175708
2008,0.12156678859255643,0.041627814224094964,0.10997215298709814
2009,0.17241418808788006,0.06989805619691672,0.15442414065710194
2010,0.13696601837245256,0.06895392584631715,0.11468395236875344
2011,0.1860950612924575,0.07183242346874184,0.16365719033805953
2012,0.0832218695806608,0.03539393360439944,0.07449732311378328
2013,0.08042439639077663,0.021856874295221082,0.07583978540100271
2014,0.09503819502383869,0.03785792724320666,0.08602012244734923
2015,0.11772453578852833,0.03786415880327295,0.10921165941151642
2016,0.12134682831825816,0.03649163852187841,0.11424216529809397
2017,0.0794511796301192,0.015525259127516396,0.07564324470192112
2018,0.08727264349935596,0.025419454209372454,0.08254341494268859
2019,0.08069776682730587,0.03292222358479795,0.07208029191315982
2020,0.09539890199287179,0.050757915882544725,0.07696466860882437
2021,0.1420665084663876,0.043898860384176355,0.12782626584138013
2022,0.13097250474721983,0.06036022820475628,0.11059035563652916
2023,0.12518825450914545,0.057081214323011074,0.1096578651207493
