year,tvol_36m,svol_36m,ivol_36m
1996,,,
1997,,,
1998,,,
1999,0.26666881808118736,0.029018064535472517,0.2650852890437954
2000,0.3735609637980916,-0.0037629080262051758,0.3735420112878141
2001,0.1915561123188782,-0.0055971451363206965,0.19147432238565473
2002,,,
2003,0.3307802567233476,0.17970025255473884,0.2752048468239975
2004,,,
2005,,,
2006,,,
2007,,,
2008,,,
2009,,,
2010,0.1018683940579818,0.05573231698775633,0.0852706195071228
2011,0.1534145929906991,0.06868972360418325,0.13312106329055143
2012,,,
2013,,,
2014,0.07744193167428251,0.00925029892275614,0.07688748110898093
2015,0.20823561674782387,0.04587170504522557,0.19615642348650633
2016,0.20340862207763974,0.03198464724594419,0.1931023900523702
2017,,,
2018,0.005615739284961411,0.0005784476526007377,0.005585868422175696
2019,0.0986505272359629,0.011533481481115548,0.09685528091982698
2020,0.12170637419605525,0.0621871155822959,0.10315778927992363
2021,0.16860434012742734,0.046334941175575475,0.15798240167677757
2022,0.14241801590252723,0.05968243817678152,0.1265758155317168
2023,0.16947111884041463,0.03462752385335292,0.1616428710487105
