year,tvol_36m,svol_36m,ivol_36m
1996,,,
1997,0.15130979133731354,0.03860979024837987,0.14356160677703303
1998,0.18877709799291575,0.03977043998122408,0.17858241957370455
1999,0.2015720953380099,0.05339244632619809,0.191153609853367
2000,0.20182262207900095,0.04498837888700087,0.1933493295276124
2001,0.1670234195402999,0.04038359927891118,0.1575168994847329
2002,0.17782128526477525,0.054451445901681536,0.16461049757692434
2003,0.1780826864404993,0.05963151668237043,0.1642658394487971
2004,0.14325147862363294,0.040848282370230644,0.1341983793165859
2005,0.12777062560472416,0.040333649117344036,0.11874069771346935
2006,0.10629905207592734,0.031186507006869747,0.09935466204417424
2007,0.10382861255859724,0.03078033453696196,0.0976045412178967
2008,0.15075719448492533,0.04748286093795645,0.13796340450281375
2009,0.20511260420052177,0.0858597551228994,0.18178531665884234
2010,0.19632744340313196,0.09319072159572117,0.16746349122221288
2011,0.17721711500284687,0.08040815334230456,0.1525825102649749
2012,0.11705518010510989,0.0578219921536411,0.09863566936186684
2013,0.11187725865763025,0.048659528462134616,0.09685833944700253
2014,0.10896813311283877,0.03927337987163359,0.09957416888088944
2015,0.12869631139207235,0.03561010000479473,0.11967761984772476
2016,0.14348568165785378,0.04451975406693089,0.13346191205950841
2017,0.12041085962851762,0.03377393249334316,0.11299571993559364
2018,0.11232969586676946,0.04008905661298091,0.10300829501299784
2019,0.12485696317833174,0.0412930315214073,0.11465595534013624
2020,0.15522362436947923,0.07993786103391141,0.12779264482209457
2021,0.1840145208283973,0.07183728929512205,0.15623127915906385
2022,0.1565418097419426,0.07158653094698879,0.13415643024806548
2023,0.1518436880740655,0.05837156533117626,0.1358726138339709
