
Date,Open,High,Low,Close,Volume
2005-02-25,44.5051,45.5365,44.5051,45.4069,93074.182517142
2005-02-28,45.8797,45.9937,44.1714,45.1179,169186.57152794
2005-03-01,45.1363,45.173,44.1425,44.2121,67141.682583579
2005-03-02,44.1714,44.852,44.158,44.8163,31541.26034043
2005-03-03,45.1904,45.5306,44.8743,45.4515,73310.077697219
2005-03-04,45.4669,46.1359,45.2677,46.0778,43029.805725652
2005-03-07,45.9937,45.9937,45.2677,45.7444,100364.95037911
2005-03-08,45.8227,46.0296,45.5655,45.5887,82843.522165994
2005-03-09,45.9493,46.1861,44.417,44.417,147461.15912199
2005-03-10,43.8467,43.8467,43.0424,43.4378,116204.37113712
2005-03-11,43.4049,44.246,43.4049,43.8177,81299.095886493
2005-03-14,43.9617,44.1976,43.1691,44.1203,72889.058610979
2005-03-15,44.3263,44.4954,43.5045,43.5045,74852.435086862
2005-03-16,43.4813,44.1714,43.0763,43.6901,77935.080976287
2005-03-17,44.3532,44.4238,43.9308,44.3387,67702.351735281
2005-03-18,44.5156,44.8879,44.4393,44.8879,70225.362917935
2005-03-21,44.9932,44.9932,44.1637,44.5659,84382.776220848
2005-03-22,44.653,45.2301,44.0372,44.0729,88871.232769243
2005-03-23,43.5305,43.5305,42.8123,43.1691,97981.589261919
2005-03-24,43.7394,43.7394,42.7176,43.1323,314266.43842259
2005-03-28,43.1594,43.2773,42.7785,43.1536,59714.367990937
2005-03-29,43.1903,43.6031,42.3899,42.3899,60132.283742389
2005-03-30,42.7176,42.9611,41.7751,42.9611,53543.903987438
2005-03-31,43.6427,43.9308,43.5848,43.8612,111296.96439235
2005-04-01,44.4393,44.9159,44.2383,44.9013,120264.56748477
2005-04-04,45.0464,45.3016,44.1714,44.5747,95594.090365008
2005-04-05,44.5659,44.6577,43.8177,43.9685,51305.365160352
2005-04-06,43.9946,44.8743,43.8409,44.7544,54945.57686669
2005-04-07,45.1014,45.1363,44.1425,44.5447,57469.622494274
2005-04-08,44.4393,44.5659,43.8264,43.8264,54247.326539388
2005-04-11,43.8051,44.0914,43.317,44.0235,48639.600577449
2005-04-12,43.8467,43.8467,43.0821,43.3808,24393.245878708
2005-04-13,43.0347,43.4329,42.2042,42.3048,127415.68528129
2005-04-14,42.6471,42.7176,41.9134,42.0883,85784.4491001
2005-04-15,41.7567,41.8902,40.414,40.4333,152648.90044262
2005-04-18,40.0562,41.2289,40.0485,41.1496,107094.01464445
2005-04-19,41.6648,42.3202,41.6648,42.155,31256.787984861
2005-04-20,42.1124,42.5783,41.4473,41.4638,95594.090365008
2005-04-21,41.5296,42.6257,41.5296,42.6257,37144.848522651
2005-04-22,42.4846,43.3053,42.1995,42.7708,37563.798719033
2005-04-25,43.4968,43.7442,43.2773,43.3672,34623.906229855
2005-04-26,43.3469,43.4813,42.7176,42.8037,78635.400193449
2005-04-27,42.7446,42.7446,41.6513,41.7344,101062.16626149
2005-04-28,41.2346,41.2936,40.7078,40.7078,47656.877894579
