MarketAssets,Window,HiddenSize,LearningRate,Activation,Val_RMSE
FIAT,12,4,0.001,linear,0.25332072377204895
FIAT,12,4,0.001,tanh,0.24811357259750366
FIAT,12,4,0.001,relu,0.25226062536239624
FIAT,12,4,0.01,linear,0.25441038608551025
FIAT,12,4,0.01,tanh,0.2522958219051361
FIAT,12,4,0.01,relu,0.2547462582588196
FIAT,12,4,0.1,linear,0.525715708732605
FIAT,12,4,0.1,tanh,0.2728722393512726
FIAT,12,4,0.1,relu,0.646934986114502
FIAT,12,8,0.001,linear,0.2533983588218689
FIAT,12,8,0.001,tanh,0.2515537142753601
FIAT,12,8,0.001,relu,0.253404825925827
FIAT,12,8,0.01,linear,0.2628410756587982
FIAT,12,8,0.01,tanh,0.2537931203842163
FIAT,12,8,0.01,relu,0.26204395294189453
FIAT,12,8,0.1,linear,0.49880552291870117
FIAT,12,8,0.1,tanh,0.30203303694725037
FIAT,12,8,0.1,relu,0.5417525768280029
FIAT,12,16,0.001,linear,0.2519164979457855
FIAT,12,16,0.001,tanh,0.2527840733528137
FIAT,12,16,0.001,relu,0.2518361210823059
FIAT,12,16,0.01,linear,0.2512543201446533
FIAT,12,16,0.01,tanh,0.25974246859550476
FIAT,12,16,0.01,relu,0.2613315284252167
FIAT,12,16,0.1,linear,0.5110192894935608
FIAT,12,16,0.1,tanh,0.3347318470478058
FIAT,12,16,0.1,relu,0.5420258045196533
EQUITY,12,4,0.001,linear,0.7083120942115784
EQUITY,12,4,0.001,tanh,0.33943986892700195
EQUITY,12,4,0.001,relu,0.5006782412528992
EQUITY,12,4,0.01,linear,0.7576971650123596
EQUITY,12,4,0.01,tanh,0.5713001489639282
EQUITY,12,4,0.01,relu,0.29109621047973633
EQUITY,12,4,0.1,linear,0.7120764255523682
EQUITY,12,4,0.1,tanh,0.3889300525188446
EQUITY,12,4,0.1,relu,0.40912723541259766
EQUITY,12,8,0.001,linear,0.41721147298812866
EQUITY,12,8,0.001,tanh,0.4553757607936859
EQUITY,12,8,0.001,relu,0.3641985058784485
EQUITY,12,8,0.01,linear,0.4291093051433563
EQUITY,12,8,0.01,tanh,0.44411349296569824
EQUITY,12,8,0.01,relu,0.3980242609977722
EQUITY,12,8,0.1,linear,0.4515732526779175
EQUITY,12,8,0.1,tanh,0.4090607762336731
EQUITY,12,8,0.1,relu,0.7111518979072571
EQUITY,12,16,0.001,linear,0.43201908469200134
EQUITY,12,16,0.001,tanh,0.4428548812866211
EQUITY,12,16,0.001,relu,0.36174431443214417
EQUITY,12,16,0.01,linear,0.3562798798084259
EQUITY,12,16,0.01,tanh,0.34094297885894775
EQUITY,12,16,0.01,relu,0.35547372698783875
EQUITY,12,16,0.1,linear,0.4053613245487213
EQUITY,12,16,0.1,tanh,0.33127593994140625
EQUITY,12,16,0.1,relu,1.0859092473983765
GOLD,12,4,0.001,linear,0.2509137690067291
GOLD,12,4,0.001,tanh,0.24927884340286255
GOLD,12,4,0.001,relu,0.25273358821868896
GOLD,12,4,0.01,linear,0.25377729535102844
GOLD,12,4,0.01,tanh,0.25876694917678833
GOLD,12,4,0.01,relu,0.2502794861793518
GOLD,12,4,0.1,linear,0.41392067074775696
GOLD,12,4,0.1,tanh,0.326808363199234
GOLD,12,4,0.1,relu,0.5758323669433594
GOLD,12,8,0.001,linear,0.25078216195106506
GOLD,12,8,0.001,tanh,0.2533908784389496
GOLD,12,8,0.001,relu,0.24963843822479248
GOLD,12,8,0.01,linear,0.2537215054035187
GOLD,12,8,0.01,tanh,0.26824331283569336
GOLD,12,8,0.01,relu,0.2515367567539215
GOLD,12,8,0.1,linear,0.45897334814071655
GOLD,12,8,0.1,tanh,0.3693896532058716
GOLD,12,8,0.1,relu,0.46452173590660095
GOLD,12,16,0.001,linear,0.25374314188957214
GOLD,12,16,0.001,tanh,0.2534378468990326
GOLD,12,16,0.001,relu,0.24993763864040375
GOLD,12,16,0.01,linear,0.27150896191596985
GOLD,12,16,0.01,tanh,0.27349138259887695
GOLD,12,16,0.01,relu,0.2616316080093384
GOLD,12,16,0.1,linear,0.5144240856170654
GOLD,12,16,0.1,tanh,0.4186326265335083
GOLD,12,16,0.1,relu,0.5035477876663208
ENERGY,12,4,0.001,linear,0.23064693808555603
ENERGY,12,4,0.001,tanh,0.23350520431995392
ENERGY,12,4,0.001,relu,0.23298251628875732
ENERGY,12,4,0.01,linear,0.32312142848968506
ENERGY,12,4,0.01,tanh,0.3361562490463257
ENERGY,12,4,0.01,relu,0.309517502784729
ENERGY,12,4,0.1,linear,0.5209265947341919
ENERGY,12,4,0.1,tanh,0.7206149697303772
ENERGY,12,4,0.1,relu,0.41198548674583435
ENERGY,12,8,0.001,linear,0.23735789954662323
ENERGY,12,8,0.001,tanh,0.26966649293899536
ENERGY,12,8,0.001,relu,0.2570681869983673
ENERGY,12,8,0.01,linear,0.3161570429801941
ENERGY,12,8,0.01,tanh,0.32380038499832153
ENERGY,12,8,0.01,relu,0.3395267128944397
ENERGY,12,8,0.1,linear,0.3456859588623047
ENERGY,12,8,0.1,tanh,0.4414771497249603
ENERGY,12,8,0.1,relu,0.44804009795188904
ENERGY,12,16,0.001,linear,0.2341553419828415
ENERGY,12,16,0.001,tanh,0.2977624833583832
ENERGY,12,16,0.001,relu,0.26477354764938354
ENERGY,12,16,0.01,linear,0.2805114686489105
ENERGY,12,16,0.01,tanh,0.35592782497406006
ENERGY,12,16,0.01,relu,0.438161700963974
ENERGY,12,16,0.1,linear,0.3659060597419739
ENERGY,12,16,0.1,tanh,0.5806992650032043
ENERGY,12,16,0.1,relu,0.4155074656009674
FIAT+EQUITY,12,4,0.001,linear,0.3632851243019104
FIAT+EQUITY,12,4,0.001,tanh,0.33941835165023804
FIAT+EQUITY,12,4,0.001,relu,0.2993271052837372
FIAT+EQUITY,12,4,0.01,linear,0.27487432956695557
FIAT+EQUITY,12,4,0.01,tanh,0.3737601935863495
FIAT+EQUITY,12,4,0.01,relu,0.4812142848968506
FIAT+EQUITY,12,4,0.1,linear,0.4152529239654541
FIAT+EQUITY,12,4,0.1,tanh,0.3368767499923706
FIAT+EQUITY,12,4,0.1,relu,0.34321752190589905
FIAT+EQUITY,12,8,0.001,linear,0.2874625623226166
FIAT+EQUITY,12,8,0.001,tanh,0.3485942780971527
FIAT+EQUITY,12,8,0.001,relu,0.2764991223812103
FIAT+EQUITY,12,8,0.01,linear,0.3784857988357544
FIAT+EQUITY,12,8,0.01,tanh,0.2973583936691284
FIAT+EQUITY,12,8,0.01,relu,0.3673405349254608
FIAT+EQUITY,12,8,0.1,linear,0.4700453281402588
FIAT+EQUITY,12,8,0.1,tanh,0.3483920395374298
FIAT+EQUITY,12,8,0.1,relu,0.741976261138916
FIAT+EQUITY,12,16,0.001,linear,0.30009543895721436
FIAT+EQUITY,12,16,0.001,tanh,0.36609402298927307
FIAT+EQUITY,12,16,0.001,relu,0.3022741675376892
FIAT+EQUITY,12,16,0.01,linear,0.44702455401420593
FIAT+EQUITY,12,16,0.01,tanh,0.32604002952575684
FIAT+EQUITY,12,16,0.01,relu,0.34139373898506165
FIAT+EQUITY,12,16,0.1,linear,0.8804246187210083
FIAT+EQUITY,12,16,0.1,tanh,0.5159193873405457
FIAT+EQUITY,12,16,0.1,relu,0.6302830576896667
FIAT+GOLD,12,4,0.001,linear,0.2522033452987671
FIAT+GOLD,12,4,0.001,tanh,0.25393274426460266
FIAT+GOLD,12,4,0.001,relu,0.25586485862731934
FIAT+GOLD,12,4,0.01,linear,0.2545422613620758
FIAT+GOLD,12,4,0.01,tanh,0.2572208046913147
FIAT+GOLD,12,4,0.01,relu,0.25647664070129395
FIAT+GOLD,12,4,0.1,linear,0.32284849882125854
FIAT+GOLD,12,4,0.1,tanh,0.2762027382850647
FIAT+GOLD,12,4,0.1,relu,0.3335200846195221
FIAT+GOLD,12,8,0.001,linear,0.25183892250061035
FIAT+GOLD,12,8,0.001,tanh,0.2538381516933441
FIAT+GOLD,12,8,0.001,relu,0.25298023223876953
FIAT+GOLD,12,8,0.01,linear,0.2595190703868866
FIAT+GOLD,12,8,0.01,tanh,0.25845906138420105
FIAT+GOLD,12,8,0.01,relu,0.2592809498310089
FIAT+GOLD,12,8,0.1,linear,0.3430371582508087
FIAT+GOLD,12,8,0.1,tanh,0.3143640160560608
FIAT+GOLD,12,8,0.1,relu,0.3192879557609558
