MarketAssets,Window,Hidden,LR,Activation,Val_RMSE
FIAT,12,4,0.001,linear,0.41332322359085083
FIAT,12,4,0.001,tanh,0.5407258868217468
FIAT,12,4,0.001,relu,0.34301361441612244
FIAT,12,4,0.01,linear,0.31911349296569824
FIAT,12,4,0.01,tanh,0.304657518863678
FIAT,12,4,0.01,relu,0.3606448173522949
FIAT,12,8,0.001,linear,0.2893683612346649
FIAT,12,8,0.001,tanh,0.25933510065078735
FIAT,12,8,0.001,relu,0.28146713972091675
FIAT,12,8,0.01,linear,0.35374119877815247
FIAT,12,8,0.01,tanh,0.2974953353404999
FIAT,12,8,0.01,relu,0.3050881624221802
FIAT,12,16,0.001,linear,0.43561774492263794
FIAT,12,16,0.001,tanh,0.2800792157649994
FIAT,12,16,0.001,relu,0.35090532898902893
FIAT,12,16,0.01,linear,0.31016531586647034
FIAT,12,16,0.01,tanh,0.33763551712036133
FIAT,12,16,0.01,relu,0.32390469312667847
EQUITY,12,4,0.001,linear,0.28522366285324097
EQUITY,12,4,0.001,tanh,0.2901202142238617
EQUITY,12,4,0.001,relu,0.277258038520813
EQUITY,12,4,0.01,linear,0.3014533221721649
EQUITY,12,4,0.01,tanh,0.43235015869140625
EQUITY,12,4,0.01,relu,0.32261624932289124
EQUITY,12,8,0.001,linear,0.4048243463039398
EQUITY,12,8,0.001,tanh,0.32213205099105835
EQUITY,12,8,0.001,relu,0.34639257192611694
EQUITY,12,8,0.01,linear,0.3734554052352905
EQUITY,12,8,0.01,tanh,0.3762655556201935
EQUITY,12,8,0.01,relu,0.3147370517253876
EQUITY,12,16,0.001,linear,0.2738090753555298
EQUITY,12,16,0.001,tanh,0.291999489068985
EQUITY,12,16,0.001,relu,0.28614962100982666
EQUITY,12,16,0.01,linear,0.3869151473045349
EQUITY,12,16,0.01,tanh,0.28565892577171326
EQUITY,12,16,0.01,relu,0.2881424129009247
GOLD,12,4,0.001,linear,0.43894046545028687
GOLD,12,4,0.001,tanh,0.4010923504829407
GOLD,12,4,0.001,relu,0.2881563603878021
GOLD,12,4,0.01,linear,0.352978378534317
GOLD,12,4,0.01,tanh,0.2933124303817749
GOLD,12,4,0.01,relu,0.2856515645980835
GOLD,12,8,0.001,linear,0.2896293103694916
GOLD,12,8,0.001,tanh,0.2809450030326843
GOLD,12,8,0.001,relu,0.2727627456188202
GOLD,12,8,0.01,linear,0.33928489685058594
GOLD,12,8,0.01,tanh,0.3027215898036957
GOLD,12,8,0.01,relu,0.28808584809303284
GOLD,12,16,0.001,linear,0.3300935626029968
GOLD,12,16,0.001,tanh,0.32140052318573
GOLD,12,16,0.001,relu,0.3184719383716583
GOLD,12,16,0.01,linear,0.3735394775867462
GOLD,12,16,0.01,tanh,0.3211659789085388
GOLD,12,16,0.01,relu,0.3015039563179016
ENERGY,12,4,0.001,linear,0.4081738591194153
ENERGY,12,4,0.001,tanh,0.616956353187561
ENERGY,12,4,0.001,relu,0.3808956742286682
ENERGY,12,4,0.01,linear,0.28439828753471375
ENERGY,12,4,0.01,tanh,0.3454766273498535
ENERGY,12,4,0.01,relu,0.34226134419441223
ENERGY,12,8,0.001,linear,0.3441961407661438
ENERGY,12,8,0.001,tanh,0.45401373505592346
ENERGY,12,8,0.001,relu,0.31877952814102173
ENERGY,12,8,0.01,linear,0.339139461517334
ENERGY,12,8,0.01,tanh,0.30439236760139465
ENERGY,12,8,0.01,relu,0.3200819492340088
ENERGY,12,16,0.001,linear,0.32664644718170166
ENERGY,12,16,0.001,tanh,0.3130147159099579
ENERGY,12,16,0.001,relu,0.33084380626678467
ENERGY,12,16,0.01,linear,0.3018310070037842
ENERGY,12,16,0.01,tanh,0.3378761410713196
ENERGY,12,16,0.01,relu,0.29053977131843567
FIAT+EQUITY,12,4,0.001,linear,0.29497939348220825
FIAT+EQUITY,12,4,0.001,tanh,0.4454599916934967
FIAT+EQUITY,12,4,0.001,relu,0.5410057902336121
FIAT+EQUITY,12,4,0.01,linear,0.32915207743644714
FIAT+EQUITY,12,4,0.01,tanh,0.33164429664611816
FIAT+EQUITY,12,4,0.01,relu,0.31718841195106506
FIAT+EQUITY,12,8,0.001,linear,0.3209850788116455
FIAT+EQUITY,12,8,0.001,tanh,0.3030533492565155
FIAT+EQUITY,12,8,0.001,relu,0.32647234201431274
FIAT+EQUITY,12,8,0.01,linear,0.33826693892478943
FIAT+EQUITY,12,8,0.01,tanh,0.33698609471321106
FIAT+EQUITY,12,8,0.01,relu,0.2692570388317108
FIAT+EQUITY,12,16,0.001,linear,0.29135453701019287
FIAT+EQUITY,12,16,0.001,tanh,0.28167542815208435
FIAT+EQUITY,12,16,0.001,relu,0.30355486273765564
FIAT+EQUITY,12,16,0.01,linear,0.3576747179031372
FIAT+EQUITY,12,16,0.01,tanh,0.34148457646369934
FIAT+EQUITY,12,16,0.01,relu,0.30068567395210266
FIAT+GOLD,12,4,0.001,linear,0.490152508020401
FIAT+GOLD,12,4,0.001,tanh,0.3538373112678528
FIAT+GOLD,12,4,0.001,relu,0.27433985471725464
FIAT+GOLD,12,4,0.01,linear,0.30764904618263245
FIAT+GOLD,12,4,0.01,tanh,0.28738531470298767
FIAT+GOLD,12,4,0.01,relu,0.2712797224521637
FIAT+GOLD,12,8,0.001,linear,0.2814897298812866
FIAT+GOLD,12,8,0.001,tanh,0.4521559774875641
FIAT+GOLD,12,8,0.001,relu,0.3138231337070465
FIAT+GOLD,12,8,0.01,linear,0.32304883003234863
FIAT+GOLD,12,8,0.01,tanh,0.29966291785240173
FIAT+GOLD,12,8,0.01,relu,0.2942968010902405
FIAT+GOLD,12,16,0.001,linear,0.2620714604854584
FIAT+GOLD,12,16,0.001,tanh,0.4095924198627472
FIAT+GOLD,12,16,0.001,relu,0.28438472747802734
FIAT+GOLD,12,16,0.01,linear,0.35340622067451477
FIAT+GOLD,12,16,0.01,tanh,0.3068922460079193
FIAT+GOLD,12,16,0.01,relu,0.2913956046104431
FIAT+EQUITY+GOLD+ENERGY,12,4,0.001,linear,0.41772696375846863
FIAT+EQUITY+GOLD+ENERGY,12,4,0.001,tanh,0.2680453956127167
FIAT+EQUITY+GOLD+ENERGY,12,4,0.001,relu,0.496610164642334
FIAT+EQUITY+GOLD+ENERGY,12,4,0.01,linear,0.2849675416946411
FIAT+EQUITY+GOLD+ENERGY,12,4,0.01,tanh,0.34269657731056213
FIAT+EQUITY+GOLD+ENERGY,12,4,0.01,relu,0.2905375063419342
FIAT+EQUITY+GOLD+ENERGY,12,8,0.001,linear,0.46010273694992065
FIAT+EQUITY+GOLD+ENERGY,12,8,0.001,tanh,0.2813919186592102
FIAT+EQUITY+GOLD+ENERGY,12,8,0.001,relu,0.3088594973087311
FIAT+EQUITY+GOLD+ENERGY,12,8,0.01,linear,0.35479113459587097
FIAT+EQUITY+GOLD+ENERGY,12,8,0.01,tanh,0.2772761881351471
FIAT+EQUITY+GOLD+ENERGY,12,8,0.01,relu,0.31301364302635193
FIAT+EQUITY+GOLD+ENERGY,12,16,0.001,linear,0.3925119936466217
FIAT+EQUITY+GOLD+ENERGY,12,16,0.001,tanh,0.35262128710746765
FIAT+EQUITY+GOLD+ENERGY,12,16,0.001,relu,0.27474692463874817
FIAT+EQUITY+GOLD+ENERGY,12,16,0.01,linear,0.315599262714386
FIAT+EQUITY+GOLD+ENERGY,12,16,0.01,tanh,0.282477468252182
FIAT+EQUITY+GOLD+ENERGY,12,16,0.01,relu,0.29899802803993225
