Crypto,Asset,N,Mean,Median,Std,Variance,Skew,Kurtosis,Min,P1,P5,P25,P50,P75,P95,P99,Max
BCH,ENERGY,9,-0.00058569346,-0.04138623,0.24734692,0.061180502,1.1273742618068086,3.0133087927404887,-0.25461122,-0.2477613842487335,-0.22036202549934386,-0.1603631228208542,-0.041386231780052185,-0.01499529741704464,0.42352132797241204,0.4897455310821533,0.5063016
BTC,ENERGY,9,0.018733326,-0.011957461,0.119879834,0.014371174,0.5767368721040643,2.0282201706583023,-0.13222405,-0.12734546780586242,-0.10783112645149232,-0.06888369470834732,-0.011957461014389992,0.07519959658384323,0.20380314886569975,0.20728858053684235,0.20815994
ETH,ENERGY,9,0.018996863,0.012331011,0.15311396,0.023443887,-0.19166449702870936,2.6486582290970477,-0.2638253,-0.2479640305042267,-0.184518963098526,-0.06314632296562195,0.012331010773777962,0.08854164183139801,0.22898230850696563,0.23191703140735626,0.23265071
LTC,ENERGY,9,0.025917811,0.013194246,0.14116861,0.019928575,0.5312779162412951,2.1008334356322886,-0.15949912,-0.1527281755208969,-0.12564438283443452,-0.07473628222942352,0.013194246217608452,0.062241338193416595,0.24471510648727415,0.2524446988105774,0.2543771
BCH,EQUITY,9,0.036744907,0.027515944,0.05767981,0.0033269606,1.1120069675020916,3.653342542839414,-0.026867144,-0.026209338307380675,-0.023578116297721864,-0.00037091225385665894,0.027515944093465805,0.059631261974573135,0.1268560171127319,0.15615986347198485,0.16348583
BTC,EQUITY,9,0.04085724,0.05211221,0.032667108,0.00106714,-0.49481690201511047,1.9345040069576684,-0.012436405,-0.011614182293415069,-0.008325292170047759,0.01951548084616661,0.05211221054196358,0.06132735684514046,0.07708946168422698,0.08162891328334808,0.082763776
ETH,EQUITY,9,0.039284807,0.0396217,0.035912648,0.0012897183,-1.2973831736092205,4.383285613689466,-0.043609142,-0.037837738990783694,-0.014752125740051268,0.030830036848783493,0.03962169960141182,0.05380495265126228,0.07783574163913726,0.08186924517154694,0.08287762
LTC,EQUITY,9,0.045337133,0.03242715,0.02894814,0.00083799474,1.1622766838855578,3.066717373896353,0.020372089,0.020656608194112778,0.02179468497633934,0.026095803827047348,0.03242715075612068,0.06200692430138588,0.0928072839975357,0.10365298807621003,0.106364414
BCH,FIAT,9,-0.06340452,-0.069224074,0.11434983,0.013075883,0.07976022867268359,1.9637862903236158,-0.22173324,-0.2208792245388031,-0.21746315360069274,-0.10799768567085266,-0.06922407448291779,0.005529120564460754,0.09595223516225815,0.10224495977163314,0.10381814
BTC,FIAT,9,-0.06880971,-0.056459412,0.06951686,0.0048325937,0.8059983177097781,2.994022906802154,-0.14727242,-0.14604780852794647,-0.14114935100078582,-0.13004136085510254,-0.05645941197872162,-0.03947874903678894,0.0337871894240379,0.06650510400533675,0.07468458
