Date,Asset,Quartile,MeanBeta,ExcessReturn
2023-01-31,FIAT,1,-0.29158407,0.30315844530440383
2023-01-31,FIAT,2,-0.27059248,0.35646384385255825
2023-01-31,FIAT,3,-0.26402956,0.3390070209891629
2023-01-31,FIAT,4,-0.24129778,0.3148680842510103
2023-02-28,FIAT,1,-0.27794394,-0.03162963282412434
2023-02-28,FIAT,2,-0.26110238,-0.022965666843773214
2023-02-28,FIAT,3,-0.25185013,-0.0195673137272383
2023-02-28,FIAT,4,-0.22291946,-0.007642921417265747
2023-03-31,FIAT,1,-0.20026918,0.2239376104973667
2023-03-31,FIAT,2,-0.18655819,-0.03039422211583087
2023-03-31,FIAT,3,-0.17975128,0.14301880116968047
2023-03-31,FIAT,4,-0.16353501,-0.04296743750631382
2023-04-30,FIAT,1,-0.32979155,-0.055206677696422624
2023-04-30,FIAT,2,-0.32273194,0.02694799884311916
2023-04-30,FIAT,3,-0.30224082,0.02766673452764934
2023-04-30,FIAT,4,-0.27334988,-0.014805514777011197
2023-05-31,FIAT,1,-0.17894244,0.009631549214383028
2023-05-31,FIAT,2,-0.16841957,-0.08731775778911643
2023-05-31,FIAT,3,-0.15748969,-0.012894439911917743
2023-05-31,FIAT,4,-0.14790933,-0.05195449452819023
2023-06-30,FIAT,1,-0.27313906,1.0041856187270932
2023-06-30,FIAT,2,-0.27122375,0.12483959739660211
2023-06-30,FIAT,3,-0.2566976,0.04354106093668886
2023-06-30,FIAT,4,-0.2224771,0.19829633603700625
2023-07-31,FIAT,1,-0.24986523,-0.028911707053916658
2023-07-31,FIAT,2,-0.22309658,-0.029036138530777578
2023-07-31,FIAT,3,-0.21335378,-0.19699275885746115
2023-07-31,FIAT,4,-0.20128132,-0.15358104941560846
2023-08-31,FIAT,1,-0.2512513,-0.3881305173035843
2023-08-31,FIAT,2,-0.21486545,-0.19732639283200193
2023-08-31,FIAT,3,-0.1973011,-0.14064646604012765
2023-08-31,FIAT,4,-0.1958734,-0.14007998846536474
2023-09-30,FIAT,1,-0.254468,0.10259910235016712
2023-09-30,FIAT,2,-0.22289343,-0.0015081753607670834
2023-09-30,FIAT,3,-0.2214329,0.022403976591304442
2023-09-30,FIAT,4,-0.18956204,0.015700575224980362
2023-10-31,FIAT,1,-0.26645976,0.03168488125313118
2023-10-31,FIAT,2,-0.23116314,0.07119441517334923
2023-10-31,FIAT,3,-0.22550762,0.23940716165404208
2023-10-31,FIAT,4,-0.1982801,0.03587196269607151
2023-11-30,FIAT,1,-0.21371454,-0.0720538050158428
2023-11-30,FIAT,2,-0.20282573,0.03736800358359904
2023-11-30,FIAT,3,-0.19936039,0.1526038659507698
2023-11-30,FIAT,4,-0.19038162,0.11425955246361053
2023-12-31,FIAT,1,-0.27466193,0.06164954309191728
2023-12-31,FIAT,2,-0.27083024,0.12882750483910943
2023-12-31,FIAT,3,-0.2623381,0.11948171366451721
2023-12-31,FIAT,4,-0.2458709,0.17240300141701326
2023-01-31,EQUITY,1,0.19246243,1.7854911891196545
2023-01-31,EQUITY,2,0.2661677,1.8096301258578071
2023-01-31,EQUITY,3,0.2776821,1.773781550173048
2023-01-31,EQUITY,4,0.32965288,1.8270869487212025
2023-02-28,EQUITY,1,0.23427391,-0.09999457022781755
2023-02-28,EQUITY,2,0.23524156,-0.11205688932470359
2023-02-28,EQUITY,3,0.26235288,-0.088070177917845
2023-02-28,EQUITY,4,0.29788497,-0.10339292334435246
2023-03-31,EQUITY,1,-0.16631955,0.43403989693896605
2023-03-31,EQUITY,2,-0.16035634,0.2606268736534547
2023-03-31,EQUITY,3,-0.15935785,0.5149587062666523
2023-03-31,EQUITY,4,-0.13664192,0.24805365826297177
