Date,Asset,Quartile,MeanBeta,ExcessReturn,WeightType
2023-01-31,FIAT,1,-0.21105802,0.3390070209891629,Equal
2023-01-31,FIAT,2,-0.14875168,0.3148680842510103,Equal
2023-01-31,FIAT,3,-0.14727242,0.35646384385255825,Equal
2023-01-31,FIAT,4,-0.1402682,0.30315844530440383,Equal
2023-01-31,FIAT,Q4-Q1,0.07078982,-0.035848575684759076,Equal
2023-02-28,FIAT,1,-0.13200584,-0.007642921417265747,Equal
2023-02-28,FIAT,2,-0.10492374,-0.0195673137272383,Equal
2023-02-28,FIAT,3,-0.069224074,-0.03162963282412434,Equal
2023-02-28,FIAT,4,-0.034869622,-0.022965666843773214,Equal
2023-02-28,FIAT,Q4-Q1,0.09713621800000001,-0.015322745426507467,Equal
2023-03-31,FIAT,1,0.010241307,-0.03039422211583087,Equal
2023-03-31,FIAT,2,0.07468458,0.2239376104973667,Equal
2023-03-31,FIAT,3,0.10381814,-0.04296743750631382,Equal
2023-03-31,FIAT,4,0.10925973,0.14301880116968047,Equal
2023-03-31,FIAT,Q4-Q1,0.099018423,0.17341302328551134,Equal
2023-05-31,FIAT,1,-0.05651974,0.009631549214383028,Equal
2023-05-31,FIAT,2,-0.03947875,-0.08731775778911643,Equal
2023-05-31,FIAT,3,-0.016418092,-0.012894439911917743,Equal
2023-05-31,FIAT,4,0.0055291206,-0.05195449452819023,Equal
2023-05-31,FIAT,Q4-Q1,0.0620488606,-0.06158604374257326,Equal
2023-06-30,FIAT,1,-0.09772012,1.0041856187270932,Equal
2023-06-30,FIAT,2,-0.08303632,0.04354106093668886,Equal
2023-06-30,FIAT,3,-0.056272652,0.12483959739660211,Equal
2023-06-30,FIAT,4,-0.051610865,0.19829633603700625,Equal
2023-06-30,FIAT,Q4-Q1,0.046109254999999995,-0.805889282690087,Equal
2023-07-31,FIAT,1,-0.13196474,-0.029036138530777578,Equal
2023-07-31,FIAT,2,-0.107997686,-0.19699275885746115,Equal
2023-07-31,FIAT,3,-0.0962334,-0.028911707053916658,Equal
2023-07-31,FIAT,4,-0.069285944,-0.15358104941560846,Equal
2023-07-31,FIAT,Q4-Q1,0.062678796,-0.12454491088483088,Equal
2023-08-31,FIAT,1,-0.073571585,-0.3881305173035843,Equal
2023-08-31,FIAT,2,-0.07012705,-0.14064646604012765,Equal
2023-08-31,FIAT,3,-0.027558897,-0.14007998846536474,Equal
2023-08-31,FIAT,4,0.08415338,-0.19732639283200193,Equal
2023-08-31,FIAT,Q4-Q1,0.157724965,0.19080412447158235,Equal
2023-10-31,FIAT,1,-0.22173324,0.03587196269607151,Equal
2023-10-31,FIAT,2,-0.18206954,0.03168488125313118,Equal
2023-10-31,FIAT,3,-0.056459412,0.23940716165404208,Equal
2023-10-31,FIAT,4,-0.021372046,0.07119441517334923,Equal
2023-10-31,FIAT,Q4-Q1,0.200361194,0.03532245247727772,Equal
2023-11-30,FIAT,1,-0.13004136,0.11425955246361053,Equal
2023-11-30,FIAT,2,-0.11436328,0.1526038659507698,Equal
2023-11-30,FIAT,3,-0.09935961,0.03736800358359904,Equal
2023-11-30,FIAT,4,-0.056408197,-0.0720538050158428,Equal
2023-11-30,FIAT,Q4-Q1,0.073633163,-0.18631335747945332,Equal
2023-01-31,EQUITY,1,0.023442168,0.24928021790230626,Equal
2023-01-31,EQUITY,2,0.032881502,0.22514128116415366,Equal
2023-01-31,EQUITY,3,0.039312664,0.2667370407657016,Equal
2023-01-31,EQUITY,4,0.053804953,0.21343164221754718,Equal
2023-01-31,EQUITY,Q4-Q1,0.030362785000000003,-0.035848575684759076,Equal
2023-02-28,EQUITY,1,-0.043609142,0.03742646928835411,Equal
2023-02-28,EQUITY,2,-0.018644575,0.013439757881495512,Equal
2023-02-28,EQUITY,3,-0.012436405,0.025502076978381555,Equal
2023-02-28,EQUITY,4,0.031486157,0.02210372386184664,Equal
2023-02-28,EQUITY,Q4-Q1,0.075095299,-0.015322745426507467,Equal
2023-03-31,EQUITY,1,0.023928579,-0.07021307221264361,Equal
2023-03-31,EQUITY,2,0.03060029,-0.08278628760312656,Equal
2023-03-31,EQUITY,3,0.030830037,0.10319995107286772,Equal
2023-03-31,EQUITY,4,0.05211221,0.18411876040055397,Equal
2023-03-31,EQUITY,Q4-Q1,0.028183631,0.2543318326131976,Equal
2023-05-31,EQUITY,1,-0.0021586232,-0.0732519495685228,Equal
2023-05-31,EQUITY,2,-0.00037091225,-0.0378886863075966,Equal
2023-05-31,EQUITY,3,0.026095804,0.02369735743497666,Equal
2023-05-31,EQUITY,4,0.028533403,0.0011713683086758905,Equal
2023-05-31,EQUITY,Q4-Q1,0.0306920262,0.07442331787719869,Equal
